tai buvo tiesiog sudėtingesnė tautinės sąmonės forma , būdinga tokiems žmonėms kaip mykolas riomeris .	tai būti tiesiog sudėtingas tautinis sąmonė forma , būdingas toks žmogus kaip mykolas riomeris .	PRO 3;ACT;FIN;IND;POS;PST;SG;V ADV ADJ;CMPR;FEM;INDF;NOM;SG ADJ;FEM;GEN;INDF;SG FEM;GEN;N;SG FEM;N;NOM;SG _ ADJ;FEM;INDF;NOM;SG DAT;DET;MASC;PL DAT;MASC;N;PL CONJ MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG _
jo teigimu , kaip ir kiti panašūs savirašiai prietaisai , mars bm įrašinėdavo 30 minučių pokalbių pilotų kabinoje .	jo teigimas , kaip ir kitas panašus savirašis prietaisas , mars bm įrašinėti 30 minutė pokalbis pilotas kabina .	DET INS;MASC;N;SG _ CONJ PART ADJ;INDF;MASC;NOM;PL ADJ;INDF;MASC;NOM;PL ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL _ PROPN PROPN 3;ACT;FIN;IND;PL;POS;V NUM FEM;GEN;N;PL GEN;MASC;N;PL GEN;MASC;N;PL ESS;FEM;N;SG _
žmonės įprato mąstyti vien tautinėmis kategorijomis , prarado norą ir sugebėjimą pripažinti , kad esama kitokių kategorijų , kitokių vertybių – kartais netgi svarbesnių .	žmogus įprasti mąstyti vien tautinis kategorija , prarasti noras ir sugebėjimas pripažinti , kad būti kitoks kategorija , kitoks vertybė – kartais netgi svarbus .	MASC;N;NOM;PL 3;ACT;FIN;IND;PL;POS;PST;V ACT;NFIN;POS;V PART ADJ;FEM;INDF;INS;PL FEM;INS;N;PL _ 3;ACT;FIN;IND;PL;POS;PST;V ACC;MASC;N;SG CONJ ACC;MASC;N;SG ACT;NFIN;POS;V _ CONJ INDF;NEUT;PASS;POS;PRS;V;V.PTCP ADJ;FEM;GEN;INDF;PL FEM;GEN;N;PL _ ADJ;FEM;GEN;INDF;PL FEM;GEN;N;PL _ ADV PART ADJ;CMPR;GEN;INDF;MASC;PL _
tiesa , strepsiadas ir negalėjo laimėti .	tiesa , strepsiadas ir galėti laimėti .	FEM;N;NOM;SG _ MASC;NOM;PROPN;SG PART 3;ACT;FIN;IND;NEG;PST;SG;V ACT;NFIN;POS;V _
daugelį apima stačiai rasistinis siaubas pagalvojus , kad lietuviu gali būti laikomas vietnamietis arba juodaodis , jeigu jis gyvena lietuvoje , turi jos pilietybę vykdo piliečio pareigas ir kalba lietuviškai – juo labiau lietuvis gali būti ( ir turi būti ) laikomi jo vaikai .	daugelis apimti stačiai rasistinis siaubas pagalvoti , kad lietuvis galėti būti laikyti vietnamietis arba juodaodis , jeigu jis gyventi lietuva , turėti jos pilietybė vykdyti pilietis pareigos ir kalbėti lietuviškai – juo labai lietuvis galėti būti ( ir turėti būti ) laikyti jo vaikas .	ACC;MASC;N;SG INDF;NEUT;PASS;POS;PRS;V;V.PTCP ADV ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG ACT;POS;V _ CONJ ADJ;INDF;INS;MASC;SG 3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V INDF;MASC;NOM;PASS;POS;PRS;SG;V;V.PTCP MASC;N;NOM;SG CONJ MASC;N;NOM;SG _ CONJ 3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;POS;PRS;SG;V ESS;FEM;PROPN;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V DET ACC;FEM;N;SG 3;ACT;FIN;IND;POS;PRS;SG;V GEN;MASC;N;SG ACC;FEM;N;PL CONJ 3;ACT;FIN;IND;POS;PRS;SG;V ADV _ PART ADV;CMPR ADJ;INDF;MASC;NOM;SG 3;ACT;FIN;IND;PL;POS;PRS;V ACT;NFIN;POS;V _ CONJ 3;ACT;FIN;IND;PL;POS;PRS;V ACT;NFIN;POS;V _ INDF;MASC;NOM;PASS;PL;POS;PRS;V;V.PTCP DET MASC;N;NOM;PL _
savirašio prietaisą iš juodosios jūros dugno ištraukę tyrėjai duomenis analizuoja jau daugiau kaip savaitę .	savirašis prietaisas iš juodas jūra dugnas ištraukyti tyrėjas duomuo analizuoti jau daug kaip savaitė .	ADJ;GEN;INDF;MASC;SG ACC;MASC;N;SG ADP ADJ;DEF;FEM;GEN;SG FEM;GEN;N;SG GEN;MASC;N;SG ACT;INDF;MASC;NOM;PL;POS;V;V.PTCP MASC;N;NOM;PL ACC;MASC;N;PL 3;ACT;FIN;IND;PL;POS;PRS;V PART ADV;CMPR CONJ ACC;FEM;N;SG _
komedijos centre – sodietis strepsiadas , šalia kurio namų įsirengė „ mąstyklą “ filosofas sokratas ( tada jis dar buvo gyvas ir greičiausiai matė spektaklį ) .	komedija centras – sodietis strepsiadas , šalia kuris namai įsirengti „ mąstykla “ filosofas sokratas ( tada jis dar būti gyvas ir greitai matyti spektaklis ) .	FEM;GEN;N;SG ESS;MASC;N;SG _ MASC;N;NOM;SG MASC;NOM;PROPN;SG _ ADP GEN;MASC;PRO;SG GEN;MASC;N;PL 3;ACT;FIN;IND;POS;PST;SG;V _ ACC;FEM;N;SG _ MASC;N;NOM;SG MASC;NOM;PROPN;SG _ ADV 3;MASC;NOM;PRO;SG ADV 3;ACT;FIN;IND;POS;PST;SG;V ADJ;INDF;MASC;NOM;SG CONJ ADV;RL 3;ACT;FIN;IND;POS;PST;SG;V ACC;MASC;N;SG _ _
beje , visa tai nėra didelė naujovė .	beje , visas tai būti didelis naujovė .	PART _ DET;FEM;NOM;SG PRO 3;ACT;FIN;IND;NEG;PRS;SG;V ADJ;FEM;INDF;NOM;SG FEM;N;NOM;SG _
anot jo , rašytoja viena pirmųjų žengė drąsų žingsnį ir viešai atskleidė , kad jos giminaitis dalyvavo holokauste .	anot jis , rašytoja vienas pirmas žengti drąsųs žingsnis ir viešai atskleisti , kad jos giminaitis dalyvauti holokaustas .	ADP 3;GEN;MASC;PRO;SG _ FEM;N;NOM;SG ADJ;FEM;INDF;NOM;SG ADJ;DEF;FEM;GEN;PL 3;ACT;FIN;IND;POS;PST;SG;V ACC;ADJ;INDF;MASC;SG ACC;MASC;N;SG CONJ ADV 3;ACT;FIN;IND;POS;PST;SG;V _ CONJ DET MASC;N;NOM;SG 3;ACT;FIN;IND;POS;PST;SG;V ESS;MASC;PROPN;SG _
mat nors savirašiai prietaisai , dar kitaip vadinami juodosiomis dėžėmis , pagaminti taip , kad atlaikytų ypač stiprius smūgius katastrofų metu , juos aptikti jūros dugne neretai būna ypač sunku .	mat nors savirašis prietaisas , dar kitaip vadinti juodas dėžė , pagaminti taip , kad atlaikyti ypač stiprus smūgis katastrofa metas , jie aptikti jūra dugnas neretai būti ypač sunkus .	PART PART ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL _ ADV ADV ACT;INDF;MASC;NOM;PL;POS;PRS;V;V.PTCP ADJ;DEF;FEM;INS;PL FEM;INS;N;PL _ ACT;NFIN;POS;V ADV _ CONJ 3;ACT;COND;FIN;PL;POS;V ADV ACC;ADJ;INDF;MASC;PL ACC;MASC;N;PL FEM;GEN;N;PL INS;MASC;N;SG _ 3;ACC;PL;PRO ACT;NFIN;POS;V FEM;GEN;N;SG ESS;MASC;N;SG ADV;NEG 3;ACT;FIN;IND;POS;PRS;SG;V ADV ADJ;INDF;NEUT _
daugeliui tas „ eurokolaboravimas “ iš esmės nesiskiria nuo kolaboravimo su sovietais , nebent yra dar blogesnis , nes tauta dabar nyksta greitesniu tempu .	daugelis tas „ eurokolaboravimas “ iš esmės skirtis nuo kolaboravimas su sovietai , nebent būti dar blogas , nes tauta dabar nykti greitas tempas .	DAT;MASC;N;SG DET;MASC;NOM;SG _ MASC;N;NOM;SG _ ADP ADV 3;ACT;FIN;IND;NEG;PRS;REFL;SG;V ADP GEN;MASC;N;SG ADP INS;MASC;N;PL _ CONJ 3;ACT;FIN;IND;POS;PRS;SG;V ADV ADJ;CMPR;INDF;MASC;NOM;SG _ CONJ FEM;N;NOM;SG ADV 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;CMPR;INDF;INS;MASC;SG INS;MASC;N;SG _
remiantis pirminiais duomenimis , tinkamai nesuveikė užsparniai – juos į skirtingas puses pakreipę pilotai galėjo tiesiog supainioti svirtis , o tai padaryti sudėtingai valdomame tu-154 nėra sudėtinga net patyrusiems pilotams – aviacijos istorijoje jau yra nesyk pasitaikę atvejų , kai viena nedidelė klaida ar jų virtinė lėmė siaubingas katastrofas .	remti pirminis duomuo , tinkamai suveikti užsparnis – jie į skirtingas pusė pakreipti pilotas galėti tiesiog supainioti svirtis , o tai padaryti sudėtingai valdyti tu-154 būti sudėtingas net patirti pilotas – aviacija istorija jau būti syti pasitaikyti atvejis , kai vienas nedidelis klaida ar jis virtinis lemti siaubingas katastrofa .	POS;PRS;REFL;V ADJ;INDF;INS;MASC;PL INS;MASC;N;PL _ ADV 3;ACT;FIN;IND;NEG;PL;PST;V MASC;N;NOM;PL _ 3;ACC;PL;PRO ADP ADJ;INDF;MASC;NOM;SG ACC;FEM;N;PL ACT;INDF;MASC;NOM;PL;POS;V;V.PTCP MASC;N;NOM;PL 3;ACT;FIN;IND;PL;POS;PST;V ADV ACT;NFIN;POS;V ACC;FEM;N;PL _ CONJ PART ACT;NFIN;POS;V ADV ACT;ESS;INDF;MASC;POS;PRS;SG;V;V.PTCP ESS;MASC;PROPN;SG 3;ACT;FIN;IND;NEG;PRS;SG;V ADJ;FEM;INDF;NOM;SG PART ACT;DAT;INDF;MASC;PL;POS;V;V.PTCP DAT;MASC;N;PL _ FEM;GEN;N;SG ESS;FEM;N;SG PART 3;ACT;FIN;IND;POS;PRS;SG;V 2;ACT;FIN;IMP;NEG;SG;V ACT;INDF;MASC;NOM;PL;POS;PST;REFL;V;V.PTCP GEN;MASC;N;PL _ CONJ FEM;NOM;PRO;SG ADJ;FEM;INDF;NEG;NOM;SG FEM;N;NOM;SG CONJ DET FEM;N;NOM;SG 3;ACT;FIN;IND;POS;PST;SG;V ADJ;INDF;MASC;NOM;SG ACC;FEM;N;PL _
tolerancijos žmogumi paskelbta rašytoja v. juknaitė	tolerancija žmogus paskelbti rašytoja v. juknaitė	FEM;GEN;N;SG INS;MASC;N;SG FEM;INDF;NOM;PASS;POS;PST;SG;V;V.PTCP FEM;N;NOM;SG PROPN FEM;NOM;PROPN;SG
pasak tos doktorinos , tautą , iš viso visuomenę integruoja ir palaiko tik priešo įvaizdis .	pasak tas doktorina , tauta , iš visas visuomenė integruoti ir palaikyti tik priešas įvaizdis .	ADP DET;FEM;GEN;SG FEM;N;NOM;SG _ ACC;FEM;N;SG _ ADP DET;GEN;MASC;SG ACC;FEM;N;SG 3;ACT;FIN;IND;POS;PRS;SG;V CONJ 3;ACT;FIN;IND;POS;PST;SG;V ADV GEN;MASC;N;SG MASC;N;NOM;SG _
stalino laikais sovietai mąstė ne tautinėmis , o klasinėmis , vėliau , po stalino , grynai pragmatinėmis kategorijomis : jeigu tu nesipriešinsi mūsų valdžiai , tai nebūsi naikinamas ir galėsi daryti karjerą , vis vien kokiai tautai priklausai .	stalinas laikas sovietai mąstyti ne tautinis , o klasinis , vėlai , po stalinas , grynai pragmatinis kategorija : jeigu tu priešintis mūsų valdžia , tai būti naikinti ir galėti daryti karjera , vis vien kokiai tauta priklausyti .	GEN;MASC;PROPN;SG INS;MASC;N;PL MASC;N;NOM;PL 3;ACT;FIN;IND;PL;POS;PST;V NEG;PART ADJ;FEM;INDF;INS;PL _ CONJ ADJ;FEM;INDF;INS;PL _ ADV;CMPR _ ADP GEN;MASC;PROPN;SG _ ADV ADJ;FEM;INDF;INS;PL FEM;INS;N;PL _ CONJ 2;NOM;PRO;SG 2;ACT;FIN;FUT;IND;NEG;REFL;SG;V DET DAT;FEM;N;SG _ CONJ 2;ACT;FIN;FUT;IND;NEG;SG;V INDF;MASC;NOM;PASS;POS;PRS;SG;V;V.PTCP CONJ 2;ACT;FIN;FUT;IND;POS;SG;V ACT;NFIN;POS;V ACC;FEM;N;SG _ CONJ ADV DAT;DET;FEM;SG DAT;FEM;N;SG 2;ACT;FIN;IND;POS;PRS;SG;V _
be kita ko , nesibaigiantis sąskaitų suvedinėjimas su rusija ir senųjų žaizdų demonstravimas turbūt jau darosi įkyrus gyventojų daugumai .	be kitas kas , baigtis sąskaita suvedinėjimas su rusija ir senas žaizda demonstravimas turbūt jau darytis įkyrus gyventojas dauguma .	ADP ACC;ADJ;FEM;INDF;PL GEN;PRO _ ACT;INDF;MASC;NEG;NOM;PRS;REFL;SG;V;V.PTCP FEM;GEN;N;PL MASC;N;NOM;SG ADP FEM;INS;PROPN;SG CONJ ADJ;DEF;FEM;GEN;PL FEM;GEN;N;PL MASC;N;NOM;SG PART PART 3;ACT;FIN;IND;POS;PRS;REFL;SG;V ADJ;INDF;MASC;NOM;SG GEN;MASC;N;PL DAT;FEM;N;SG _
priešingai , visuomenės ir teismų neartikuliuotas , bet aiškiai juntamas nusiteikimas buvo , kad visas tokias bylas pridera tyliai sabotuoti .	priešingai , visuomenė ir teismas artikuliuoti , bet aiškiai justi nusiteikimas būti , kad visas toks byla priderėti tyliai sabotuoti .	ADV _ FEM;GEN;N;SG CONJ GEN;MASC;N;PL INDF;MASC;NEG;NOM;PASS;PST;SG;V;V.PTCP _ CONJ ADV INDF;MASC;NOM;PASS;POS;PRS;SG;V;V.PTCP MASC;N;NOM;REFL;SG 3;ACT;FIN;IND;POS;PST;SG;V _ CONJ ACC;DET;FEM;PL ACC;DET;FEM;PL ACC;FEM;N;PL 3;ACT;FIN;IND;POS;PRS;SG;V ADV ACT;NFIN;POS;V _
be to , jis domisi ne tik atika , ne tik savuoju demu , kaip strepsiadas , bet ir kitais kraštais , netgi visata – taigi yra aiškus globalistas , kosmopolitas .	be tas , jis domėtis ne tik atika , ne tik savas demas , kaip strepsiadas , bet ir kitas kraštas , netgi visata – taigi būti aiškus globalistas , kosmopolitas .	ADP GEN;MASC;PRO;SG _ 3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;POS;PRS;REFL;SG;V CONJ;NEG ADV INS;MASC;PROPN;SG _ CONJ;NEG ADV DEF;DET;INS;MASC;SG INS;MASC;N;SG _ CONJ MASC;NOM;PROPN;SG _ CONJ CONJ ADJ;INDF;INS;MASC;PL INS;MASC;N;PL _ PART FEM;N;NOM;SG _ PART 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG _ MASC;N;NOM;SG _
emocijos ir ekstatiški ritualai yra gana pavojingas daiktas – tuos metodus naudojo ir nacizmas , ir stalinizmas .	emocija ir ekstatiškis ritualas būti gana pavojingas daiktas – tuos metodas naudoti ir nacizmas , ir stalinizmas .	FEM;GEN;N;SG CONJ ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL 3;ACT;FIN;IND;PL;POS;PRS;V ADV ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG _ DET ACC;MASC;N;PL 3;ACT;FIN;IND;PL;POS;PST;V CONJ MASC;N;NOM;SG _ CONJ MASC;N;NOM;SG _
tų laikų entuziazmas buvo gražus , o sudėtos aukos vertos didelės pagarbos .	tų laikas entuziazmas būti gražus , o sudėti auka vertas didelis pagarba .	DET;GEN;INDF;MASC;PL GEN;MASC;N;PL MASC;N;NOM;SG 3;ACT;FIN;IND;POS;PST;SG;V ADJ;INDF;MASC;NOM;SG _ CONJ FEM;GEN;INDF;PASS;POS;PST;SG;V;V.PTCP FEM;GEN;N;SG ADJ;FEM;GEN;INDF;SG ADJ;FEM;GEN;INDF;SG FEM;GEN;N;SG _
ką tas putinas dar prasimanys “ .	kas tas putinas dar prasimanyti “ .	ACC;PRO DET;MASC;NOM;SG MASC;NOM;PROPN;SG PART 3;ACT;FIN;FUT;IND;POS;REFL;SG;V _ _
bet reikia prie jos prisidėti , o ne pasiduoti tiems , kas bando įamžinti prieštvaninį mentalitetą .	bet reikėti prie ji prisidėti , o ne pasiduoti tie , kas bandyti įamžinti prieštvaninis mentalitetas .	CONJ 3;ACT;FIN;IND;POS;PRS;SG;V ADP 3;FEM;GEN;PRO;SG ACT;NFIN;POS;V _ CONJ NEG;PART ACT;NFIN;POS;V DAT;MASC;PL;PRO _ NOM;PRO 3;ACT;FIN;IND;POS;PST;SG;V ACT;NFIN;POS;V ACC;ADJ;INDF;MASC;SG ACC;MASC;N;SG _
kas mums lieka dabartinėje ne itin linksmoje situacijoje ?	kas mes likti dabartinis ne itin linksmas situacija ?	NOM;PRO 1;DAT;PL;PRO 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;ESS;FEM;INDF;SG NEG;PART ADV ADJ;ESS;FEM;INDF;SG ESS;FEM;N;SG _
tiesiog rūpi turėti skaitytoją , ir ne tik šiandien , bet ir ateityje .	tiesiog rūpėti turėti skaitytojas , ir ne tik šiandien , bet ir ateitis .	ADV 3;ACT;FIN;IND;PL;POS;PRS;V ACT;NFIN;POS;V ACC;MASC;N;SG _ CONJ NEG;PART ADV ADV _ CONJ PART ESS;FEM;N;SG _
„ aš dūstu “	„ aš dusti “	_ 1;NOM;PRO;SG 1;ACT;FIN;IND;POS;PRS;SG;V _
sąjūdžio ir ankstyvosios nepriklausomybės laikais kartais atrodė , jog tie nesutarimai pamažu , bet sėkmingai sprendžiasi .	sąjūdis ir ankstyvas nepriklausomybė laikas kartais atrodyti , jog tas nesutarimas pamažu , bet sėkmingai spręstis .	GEN;MASC;PROPN;SG CONJ ADJ;DEF;FEM;GEN;SG FEM;GEN;N;SG INS;MASC;N;PL INS;MASC;N;PL 3;ACT;FIN;IND;POS;PST;SG;V _ CONJ DET;MASC;NOM;PL MASC;N;NEG;NOM;PL ADV _ CONJ ADV 3;ACT;FIN;IND;PL;POS;PRS;REFL;V _
kad ir ką manytum , apie efraimą zuroffą , jo teisybė , kada jis sako , jog lietuviai , skirtingai negu kroatai , nenuteisė nė vieno žydšaudžio .	kad ir kas manyti , apie efraimas zuroffa , jis teisybė , kada jis sakyti , jog lietuvis , skirtingai negu kroatas , nuteisti nė vienas žydšaudys .	CONJ CONJ ACC;PRO 2;ACT;COND;FIN;POS;SG;V _ ADP ACC;MASC;PROPN;SG ACC;FEM;PROPN;SG _ 3;GEN;MASC;PRO;SG FEM;N;NOM;SG _ ADV 3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;POS;PRS;SG;V _ CONJ ADJ;INDF;MASC;NOM;PL _ ADV CONJ MASC;N;NOM;PL _ 3;ACT;FIN;IND;NEG;PL;PST;V NEG;PART GEN;MASC;PRO;SG GEN;MASC;N;SG _
rusija , panaši į kemalio turkiją , atitiktų mūsų interesus , nors ne mūsų amžinai konfrontuojančių ir nieko kito nemokančių politikų interesus .	rusija , panašus į kemalis turkija , atitikti mūsų interesas , nors ne mūsų amžinai konfrontuoti ir niekas kitas mokėti politikas interesas .	FEM;NOM;PROPN;SG _ ADJ;FEM;INDF;NOM;SG ADP GEN;MASC;PROPN;SG ACC;FEM;PROPN;SG _ 3;ACT;COND;FIN;POS;SG;V DET ACC;MASC;N;PL _ CONJ NEG;PART DET ADV ACT;GEN;INDF;MASC;PL;POS;PRS;V;V.PTCP CONJ GEN;MASC;PRO;SG GEN;MASC;PRO;SG ACT;GEN;INDF;MASC;NEG;PL;PRS;V;V.PTCP GEN;MASC;N;PL ACC;MASC;N;PL _
ko gero , tas grįžtamasis ryšys veikia nuo 1939 metų .	kas geras , tas grįžti ryšys veikti nuo 1939 metai .	ADV ADJ;GEN;INDF;MASC;SG _ DET;MASC;NOM;SG DEF;MASC;NOM;PASS;POS;PRS;SG;V;V.PTCP MASC;N;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADP ADJ GEN;MASC;N;PL _
taip nėra : mes tik draudžiame drausti , draudžiame prievartauti .	taip būti : mes tik drausti drausti , drausti prievartauti .	PART 3;ACT;FIN;IND;NEG;PRS;SG;V _ 1;NOM;PL;PRO ADV 1;ACT;FIN;IND;PL;POS;PRS;V ACT;NFIN;POS;V _ 1;ACT;FIN;IND;PL;POS;PRS;V ACT;NFIN;POS;V _
jei būtų laimėjęs strepsiadas , tiksliau , strepsiado idėja – ligi šiol gyventume dorų , darbščių , patriarchališkų , tėvynę mylinčių žemdirbių bendruomenėse , nieko nežinančiose ir nenorinčiose žinoti apie tolimesnius kraštus ir visatą – beje , apsuptose nekenčiamų ir iš tikro pavojingų barbarų genčių .	jei būti laimėti strepsiadas , tiksliai , strepsiadas idėja – ligi šis gyventi doras , darbštus , patriarchališkas , tėvynė mylėti žemdirbys bendruomenė , niekas žinoti ir norėti žinoti apie tolimas kraštas ir visata – beje , apsupti nekentėti ir iš tikras pavojingas barbaras gentis .	CONJ 3;ACT;COND;FIN;POS;SG;V ACT;INDF;MASC;NOM;POS;SG;V;V.PTCP MASC;NOM;PROPN;SG _ ADV;CMPR _ GEN;MASC;PROPN;SG FEM;N;NOM;SG _ ADP ADV 1;ACT;COND;FIN;PL;POS;V ADJ;GEN;INDF;MASC;PL _ ADJ;GEN;INDF;MASC;PL _ ADJ;GEN;INDF;MASC;PL _ ACC;FEM;N;SG ACT;GEN;INDF;MASC;PL;POS;PRS;V;V.PTCP GEN;MASC;N;PL ESS;FEM;N;PL _ GEN;MASC;PRO;SG ACT;ESS;FEM;INDF;NEG;PL;PRS;V;V.PTCP CONJ ACT;ESS;FEM;INDF;NEG;PL;PRS;V;V.PTCP ACT;NFIN;POS;V ADP ACC;ADJ;CMPR;INDF;MASC;PL ACC;MASC;N;PL CONJ ACC;FEM;N;SG _ PART _ ACT;ESS;FEM;INDF;PL;POS;PST;V;V.PTCP GEN;INDF;MASC;PASS;PL;POS;PRS;V;V.PTCP CONJ ADP ADV ADJ;GEN;INDF;MASC;PL GEN;MASC;N;PL FEM;GEN;N;PL _
niekas iš mūsų nėra nei platonas , nei aristotelis , nei netgi ksenofontas .	niekas iš mes būti nei platonas , nei aristotelis , nei netgi ksenofontas .	MASC;N;NOM;SG ADP 1;GEN;PL;PRO 3;ACT;FIN;IND;NEG;PRS;SG;V CONJ MASC;NOM;PROPN;SG _ CONJ MASC;NOM;PROPN;SG _ CONJ PART MASC;NOM;PROPN;SG _
tačiau nesutinku , kad dera mylėti tik tokią tėvynę , tautą ir lietuvybę , kokias įsivaizduoja daugelis mūsų filosofų ir nefilosofų – atseit , mylėti ir baigta , jokiu būdu jų nereflektuoti .	tačiau sutikti , kad derėti mylėti tik toks tėvynė , tauta ir lietuvybė , kokis įsivaizduoti daugelis mūsų filosofas ir nefilosofas – atseit , mylėti ir baigti , joks būdas jie reflektuoti .	CONJ 1;ACT;IND;NEG;NFIN;PRS;SG;V _ CONJ 3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V ADV ACC;DET;FEM;SG ACC;FEM;N;SG _ ACC;FEM;N;SG CONJ ACC;FEM;N;SG _ ACC;DET;FEM;PL 3;ACT;FIN;IND;PL;POS;PRS;REFL;V MASC;N;NOM;SG DET GEN;MASC;N;PL CONJ GEN;MASC;N;PL _ PART _ ACT;NFIN;POS;V CONJ ACT;FEM;INDF;NOM;POS;PST;SG;V;V.PTCP _ INS;MASC;PRO;SG INS;MASC;N;SG 3;GEN;MASC;PL;PRO ACT;NEG;NFIN;V _
turbūt ir pats vytautas kavolis juos pakartotų .	turbūt ir pats vytautas kavolis jie pakartoti .	PART PART MASC;NOM;PRO;SG MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG 3;ACC;PL;PRO 3;ACT;COND;FIN;POS;SG;V _
be abejonės , tada būtų tekę ( kad ir nenoromis ) surengti laikinosios vyriausybės procesą , kaip prancūzijoje buvo surengtas pétaine‘o procesas .	be abejonė , tada būti tekti ( kad ir nenoromis ) surengti laikinas vyriausybė procesas , kaip prancūzija būti surengti pétaine‘as procesas .	ADP FEM;GEN;N;SG _ ADV 3;ACT;COND;FIN;POS;SG;V ACT;INDF;MASC;NOM;PL;POS;PST;V;V.PTCP _ CONJ PART ADV;NEG _ ACT;NFIN;POS;V ADJ;DEF;FEM;GEN;SG FEM;GEN;N;SG ACC;MASC;N;SG _ CONJ ESS;FEM;PROPN;SG 3;ACT;FIN;IND;POS;PST;SG;V INDF;MASC;NOM;PASS;POS;PST;SG;V;V.PTCP GEN;MASC;PROPN;SG MASC;N;NOM;SG _
dešimtys mūsų politologų ir žurnalistų yra pavertę savo specialybe rusijos demaskavimą ( beje , ir vilnius lenkų demaskavimą , ir „ žydų pretenzijų “ demaskavimą ) .	dešimtis mūsų politologas ir žurnalistas būti paversti savo specialybė rusija demaskavimas ( beje , ir vilnius lenkas demaskavimas , ir „ žydas pretenzija “ demaskavimas ) .	FEM;NOM;NUM;PL DET GEN;MASC;N;PL CONJ GEN;MASC;N;PL 3;ACT;FIN;IND;PL;POS;PRS;V INDF;MASC;NOM;PASS;PL;POS;V;V.PTCP DET FEM;INS;N;SG FEM;GEN;PROPN;SG ACC;MASC;N;SG _ PART _ CONJ MASC;NOM;PROPN;SG GEN;MASC;N;PL ACC;MASC;N;SG _ CONJ _ GEN;MASC;N;PL FEM;GEN;N;PL _ ACC;MASC;N;SG _ _
tuo tarpu sokratas , pagal aristofaną , yra skeptikas ir reliatyvistas , bando vertinti daiktus ir įvykius įvairiais požiūriais , netvirtina , kad tėvai visada teisūs .	tuo tarpu sokratas , pagal aristofanas , būti skeptikas ir reliatyvistas , bandyti vertinti daiktas ir įvykis įvairus požiūris , tvirtinti , kad tėvas visada teisus .	ADV ADV MASC;NOM;PROPN;SG _ ADP ACC;MASC;PROPN;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V MASC;N;NOM;SG CONJ MASC;N;NOM;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V ACC;MASC;N;PL CONJ ACC;MASC;N;PL ADJ;INDF;INS;MASC;PL INS;MASC;N;PL _ 3;ACT;FIN;IND;NEG;PRS;SG;V _ CONJ MASC;N;NOM;PL ADV ADJ;INDF;MASC;NOM;PL _
net jeigu laikysimės tokio požiūrio – kuris man atrodo klaidingas , - valstybės interesas yra penktąją koloną ne didinti , o mažinti ; ne stumti kitataučius nuo savęs , nuolat juos puldinėt , pabrėžti jų priešiškumą ir demaskuoti jų kėslus , o priešingai , juos prie savęs įvairiais protingais būdais – taip pat nuolaidomis – pritraukti .	net jeigu laikytis toks požiūris – kuris aš atrodyti klaidingas , - valstybė interesas būti penktas kolona ne didinti , o mažinti ; ne stumti kitatautis nuo savęs , nuolat jie puldinėti , pabrėžti jų priešiškumas ir demaskuoti jų kėslas , o priešingai , jie prie savęs įvairus protingas būdas – taip pat nuolaida – pritraukti .	PART CONJ 1;ACT;FIN;FUT;IND;PL;POS;REFL;V DET;GEN;MASC;SG GEN;MASC;N;SG _ MASC;NOM;PRO;SG 1;ACC;PRO;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;INDF;MASC;NOM;SG _ _ FEM;GEN;N;SG MASC;N;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V ACC;ADJ;DEF;FEM;SG ACC;FEM;N;SG NEG;PART ACT;NFIN;POS;V _ CONJ ACT;NFIN;POS;V _ NEG;PART ACT;NFIN;POS;V ACC;MASC;N;PL ADP GEN;PRO _ ADV 3;ACC;PL;PRO ACT;POS;PRS;V _ ACT;NFIN;POS;V DET ACC;MASC;N;SG CONJ ACT;NFIN;POS;V DET ACC;MASC;N;PL _ CONJ ADP _ 3;ACC;PL;PRO ADP GEN;PRO ADJ;INDF;INS;MASC;PL ADJ;INDF;INS;MASC;PL INS;MASC;N;PL _ PART ADV FEM;INS;N;PL _ ACT;NFIN;POS;V _
