w tutej dobje rozłama jednota duchowneje a swětneje mocy .	w tutón doba rozłamać jednota duchowny a swětny moc .	ADP DET;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PST;SG;V FEM;N;NOM;SG ADJ;FEM;GEN;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;N;SG _
wjace hač 7 . 500 kupow wobsahuja hromadźe twjerdźowu přestrjeń wot nimale 1 , 3 mio . kwadratowych kilometrow a su po mórskim teritoriju wot něhdźe 70 mio . kwadratowych kilometrow rozdźělene .	wjele hač 7 . 500 kupa wobsahować hromadźe twjerdźowy přestrjeń wot nimale 1 , 3 milion . kwadratowy kilometer a być po mórski teritorij wot něhdźe 70 milion . kwadratowy kilometer rozdźěleny .	ADV;CMPR CONJ NUM _ NUM FEM;GEN;N;PL 3;FIN;IND;PL;PRS;V ADV ACC;ADJ;FEM;SG ACC;FEM;N;SG ADP ADV NUM _ NUM GEN;INAN;MASC;NUM;PL _ ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL CONJ 3;FIN;IND;PL;PRS;V ADP ADJ;ESS;NEUT;SG ESS;INAN;MASC;N;SG ADP ADV NUM GEN;INAN;MASC;NUM;PL _ ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL ADJ;FEM;NOM;PASS;PL;V.PTCP _
k dnjej archiwow přeprošuje serbski kulturny archiw w budyšinje na dwórnišćowu 6 - sobotu , dnja 6 . měrca wot 14 hodź .	k dźeń archiw přeprošować serbski kulturny archiw w budyšin na dwórnišćowy 6 - sobota , dźeń 6 . měrc wot 14 hodźina .	ADP DAT;INAN;MASC;N;SG GEN;INAN;MASC;N;PL 3;FIN;IND;PL;PRS;V ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP ESS;INAN;MASC;PROPN;SG ADP ADJ;ESS;FEM;SG NUM _ ACC;FEM;N;SG _ GEN;INAN;MASC;N;SG NUM _ GEN;INAN;MASC;N;SG ADP NUM GEN;N;PL _
je dobra rozpušćadło , a ma sylnu powjerchowu napjatosć .	być dobry rozpušćadło , a měć sylny powjerchowy napjatosć .	3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG N;NEUT;NOM;SG _ CONJ 3;FIN;IND;PRS;SG;V ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;N;SG _
8 . wužiwar je woprawnjeny , so samostatnje posłužić wědomostnych pomocnych srědkow , na př . bibliografijow a časopisow , kiž su w čitarni za wólnoručne wužiwanje nastajene .	8 . wužiwar być woprawnjeny , so samostatnje posłužić wědomostny pomocny srědk , na přikład . bibliografija a časopis , kiž być w čitarnja za wólnoručny wužiwanje nastajeny .	NUM _ ANIM;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;MASC;NOM;PASS;SG;V.PTCP _ ACC;PRO;REFL ADV NFIN;V ADJ;GEN;MASC;PL ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ ADP ACC;INAN;MASC;N;SG _ FEM;GEN;N;PL CONJ GEN;INAN;MASC;N;PL _ NOM;PL;PRO 3;FIN;IND;PL;PRS;V ADP ESS;FEM;N;SG ADP ACC;ADJ;NEUT;SG ACC;N;NEUT;SG ADJ;INAN;MASC;NOM;PASS;PL;V.PTCP _
sorbisches institut - serbski institut | bahnhofstraße / dwórnišćowa 6 | d - 02625 bautzen / budyšin	sorbisches institut - serbski institut | bahnhofstraße / dwórnišćowy 6 | d - 02625 bautzen / budyšin	_ _ _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ FEM;NOM;PROPN;SG _ ADJ;FEM;NOM;SG NUM _ _ _ NUM INAN;MASC;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG
na zemi su 193 njewotwisnych a wot strony zjednoćenych narodow připóznatych statow .	na zemja być 193 wotwisny a wot strona zjednoćeny narod připóznaty stat .	ADP ESS;FEM;N;SG 3;FIN;IND;PL;PRS;V NUM ADJ;GEN;MASC;NEG;PL CONJ ADP FEM;GEN;N;SG ADJ;GEN;MASC;PASS;PL;V.PTCP GEN;INAN;MASC;N;PL ADJ;GEN;MASC;PASS;PL;V.PTCP GEN;INAN;MASC;N;PL _
nimo toho maja šěsć padow , kotrychž formy wotwisuja wot numerusa ( gramatiskeho čisła ) a klasy deklinacije .	nimo to měć šěsć pad , kotryž forma wotwisować wot numerus ( gramatiski čisło ) a klasa deklinacija .	ADP GEN;NEUT;PRO;SG 3;FIN;IND;PL;PRS;V NUM GEN;INAN;MASC;N;PL _ DET;GEN;INAN;MASC;PL FEM;N;NOM;PL 3;FIN;IND;PL;PRS;V ADP GEN;INAN;MASC;N;SG _ ADJ;GEN;NEUT;SG GEN;N;NEUT;SG _ CONJ FEM;GEN;N;SG FEM;GEN;N;SG _
w kapitlu " do lisćiny " móžeš nastawki namjetować , kotrež po twojim měnjenju su čitanja hódne .	w kapitl " do lisćina " móc nastawk namjetować , kotryž po twój měnjenje być čitanje hódny .	ADP ESS;INAN;MASC;N;SG _ ADP FEM;GEN;N;SG _ 2;FIN;IND;PRS;SG;V ACC;INAN;MASC;N;PL NFIN;V _ DET;INAN;MASC;NOM;PL ADP 2;DET;ESS;NEUT;PSSS;SG ESS;N;NEUT;SG 3;FIN;IND;PL;PRS;V GEN;N;NEUT;SG ADJ;INAN;MASC;NOM;PL _
tajke wašnje dodać wobrazy by mał w cyłku so wužiwać w nastawkach .	tajki wašnje dodać wobraz być měć w cyłk so wužiwać w nastawk .	DET;NEUT;NOM;SG N;NEUT;NOM;SG NFIN;V ACC;INAN;MASC;N;PL 3;COND;FIN;SG;V ACT;INAN;MASC;PST;SG;V;V.PTCP ADP ESS;INAN;MASC;N;SG ACC;PRO;REFL NFIN;V ADP ESS;INAN;MASC;N;PL _
wón bě nazhonity politikar , kiž bě jara wobčitany .	wón być nazhonity politikar , kiž być jara wobčitany .	3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ NOM;PRO 3;FIN;IND;PST;SG;V ADV ADJ;MASC;NOM;PASS;SG;V.PTCP _
klemenowa prěna elektroniska kniha vilnius wuńdźe w jendźelskej rěči , kotraž bu wot shaya wooda přełožena .	klemenowy prěny elektroniski kniha vilnius wuńć w jendźelski rěč , kotryž być wot shay wood přełoženy .	ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG FEM;N;NOM;SG INAN;MASC;NOM;PROPN;SG 3;FIN;IND;PRS;SG;V ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG _ DET;FEM;NOM;SG 3;FIN;IND;PASS;PST;SG;V ADP ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG ADJ;FEM;NOM;PASS;SG;V.PTCP _
assur a niniwa buštej dospołnje zničenej a assyričenjo so skónčnje z pomjatka naslědnych generacijow zhubjachu , doniž so tute mjeno z politisko - socialnych přičinow znutřka assyriskeho luda na wuchodźe w 19 . lětstotku n . l . zaso njewožiwi .	assur a niniwa być dospołnje zničeny a assyričen so skónčnje z pomjatk naslědny generacija zhubić , doniž so tutón mjeno z politiski - socialny přičina znutřka assyriski lud na wuchod w 19 . lětstotk naš . lětoličba . zaso wožiwić .	INAN;MASC;NOM;PROPN;SG CONJ FEM;NOM;PROPN;SG 3;DU;FIN;IND;PASS;PST;V ADV ADJ;DU;NOM;PASS;V.PTCP CONJ ANIM;MASC;NOM;PL;PROPN ACC;PRO;REFL ADV ADP GEN;INAN;MASC;N;SG ADJ;GEN;PL FEM;GEN;N;PL 3;FIN;IND;PL;PST;V _ CONJ ACC;PRO;REFL DET;NEUT;NOM;SG N;NEUT;NOM;SG ADP ADJ _ ADJ;GEN;PL FEM;GEN;N;PL ADV ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ADP ESS;INAN;MASC;N;SG ADP NUM _ ESS;INAN;MASC;N;SG DET _ FEM;GEN;N;SG _ ADV 3;FIN;IND;NEG;PST;SG;V _
rostlina je jako kulturnu rostlinu w europje wot młodokamjentneje doby dopokazana .	rostlina być jako kulturny rostlina w europa wot młodokamjentny doba dopokazany .	FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V CONJ ADJ;FEM;INS;SG FEM;INS;N;SG ADP ESS;FEM;PROPN;SG ADP ADJ;FEM;GEN;SG FEM;GEN;N;SG ADJ;FEM;NOM;PASS;SG;V.PTCP _
jeli někotři wužiwarjo listowany namjet podpěruja , to so dyrbi předłohu { { ekscelentny } } z nastawka wotstronić .	jeli někotry wužiwar listowany namjet podpěrować , to so dyrbjeć předłoha { { ekscelentny } } z nastawk wotstronić .	CONJ ANIM;DET;MASC;NOM;PL ANIM;MASC;N;NOM;PL ACC;ADJ;INAN;MASC;PASS;SG;V.PTCP ACC;INAN;MASC;N;SG 3;FIN;IND;PL;PRS;V _ ADV ACC;PRO;REFL 3;FIN;IND;PRS;SG;V ACC;FEM;N;SG _ _ ADJ;MASC;NOM;SG _ _ ADP GEN;INAN;MASC;N;SG NFIN;V _
pod wjednistwom hitlera su nacionalsocialisća zawjedowali w němskim reichu diktaturu " třećeho reicha " .	pod wjednistwo hitler być nacionalsocialist zawjedować w němski reich diktatura " třeći reich " .	ADP INS;N;NEUT;SG ANIM;GEN;MASC;PROPN;SG 3;FIN;IND;PL;PRS;V ANIM;MASC;N;NOM;PL ACT;ANIM;MASC;PL;PST;V;V.PTCP ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ACC;FEM;N;SG _ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ _
z opcijami left , right , center a none móžeš wusměrić wobrazy , ale rezultat wotwisuje z wužiwaneho syćoweho wobhladowaka .	z opcija left , right , center a none móc wusměrić wobraz , ale rezultat wotwisować z wužiwany syćowy wobhladowak .	ADP FEM;INS;N;PL _ _ _ _ _ CONJ _ 2;FIN;IND;PRS;SG;V NFIN;V ACC;INAN;MASC;N;PL _ CONJ INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADP ADJ;GEN;MASC;PASS;SG;V.PTCP ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
nimo toho su interdisciplinarne slědźenja instituta na aktualne połoženje , na wosebitosće a na přirunowanje małych rěčow a kulturow w europje wusměrjene .	nimo to być interdisciplinarny slědźenje institut na aktualny połoženje , na wosebitosć a na přirunowanje mały rěč a kultura w europa wusměrjeny .	ADP GEN;NEUT;PRO;SG 3;FIN;IND;PL;PRS;V ADJ;NEUT;NOM;PL N;NEUT;NOM;PL GEN;INAN;MASC;N;SG ADP ACC;ADJ;NEUT;SG ACC;N;NEUT;SG _ ADP ACC;FEM;N;PL CONJ ADP ACC;N;NEUT;SG ADJ;GEN;PL FEM;GEN;N;PL CONJ FEM;GEN;N;PL ADP ESS;FEM;PROPN;SG ADJ;NEUT;NOM;PASS;PL;V.PTCP _
wysokoněmske słowo wein , starowysokoněmske wîn abo winam , francoske słowo vin a jendźelske słowo wine su wšě z łaćonskeho słowa vinum wupožčene .	wysokoněmski słowo wein , starowysokoněmske wîn abo winam , francoski słowo vin a jendźelski słowo wine być wšě z łaćonski słowo vinum wupožčeny .	ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ _ N;NEUT;NOM;SG _ CONJ _ _ ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ CONJ ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ 3;FIN;IND;PL;PRS;V DET;NEUT;NOM;PL ADP ADJ;GEN;NEUT;SG GEN;N;NEUT;SG _ ADJ;NEUT;NOM;PASS;PL;V.PTCP _
tutón je wo wjele młódši zjaw hač indoeuropski ablawt , čehoždla ani njeje systematiski abo historiski zwisk ze změnu w ablawtowych rjadach a přezwuk so zwjetša k ablawtowym fenomenam njeliči .	tutón być wo wjele młody zjaw hač indoeuropski ablawt , čehoždla ani być systematiski abo historiski zwisk z změna w ablawtowy rjad a přezwuk so zwjetša k ablawtowy fenomen ličić .	DET;INAN;MASC;NOM;SG 3;FIN;IND;PRS;SG;V ADP ADV ADJ;CMPR;MASC;NOM;SG INAN;MASC;N;NOM;SG CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ ADV CONJ 3;FIN;IND;NEG;PRS;SG;V ADJ;MASC;NOM;SG CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP FEM;INS;N;SG ADP ADJ;ESS;FEM;PL ESS;INAN;MASC;N;PL CONJ INAN;MASC;N;NOM;SG ACC;PRO;REFL ADV ADP ADJ;DAT;MASC;PL DAT;INAN;MASC;N;PL 3;FIN;IND;NEG;PRS;SG;V _
sobudźěłaćerjo spytaja kulturnu a rěčnu praksu serbow we woběmaj łužicomaj ze swojimi móžnosćemi podpěrać .	sobudźěłaćer spytać kulturny a rěčny praksa serb w wobaj łužica z swój móžnosć podpěrać .	ANIM;MASC;N;NOM;PL 3;FIN;IND;PL;PRS;V ACC;ADJ;FEM;SG CONJ ACC;ADJ;FEM;SG ACC;FEM;N;SG ANIM;GEN;MASC;PL;PROPN ADP DU;ESS;FEM;NUM DU;ESS;FEM;PROPN ADP DET;FEM;INS;PL;REFL FEM;INS;N;PL NFIN;V _
woni su wužiwarjo , kotrymž so dowěrja , zo budu swoje rozšěrjene funkcije ( strony wušmórnyć , strony škitać a jich škit zaso zběhnyć , wužiwarjow blokować ) na dobro projekta wužiwać .	wón być wužiwar , kotryž so dowěrjeć , zo być swój rozšěrjeny funkcija ( strona wušmórnyć , strona škitać a jich škit zaso zběhnyć , wužiwar blokować ) na dobro projekt wužiwać .	3;ANIM;MASC;NOM;PL;PRO 3;FIN;IND;PL;PRS;V ANIM;MASC;N;NOM;PL _ ANIM;DAT;DET;MASC;PL ACC;PRO;REFL 3;FIN;IND;PRS;SG;V _ CONJ 3;FIN;FUT;IND;SG;V ACC;DET;FEM;PL;REFL ACC;ADJ;FEM;PASS;PL;V.PTCP ACC;FEM;N;PL _ ACC;FEM;N;PL NFIN;V _ ACC;FEM;N;SG NFIN;V CONJ 3;DET;PSSP ACC;INAN;MASC;N;SG ADV NFIN;V _ ACC;ANIM;MASC;N;PL NFIN;V _ ADP ACC;N;NEUT;SG GEN;INAN;MASC;N;SG NFIN;V _
wjacore tutych kralowskich rowow namakachu blisko města ur .	wjacory tutón kralowski row namakać blisko město ur .	ADJ;MASC;NOM;PL DET;GEN;MASC;PL ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL 3;FIN;IND;PL;PST;V ADP GEN;N;NEUT;SG INAN;MASC;NOM;PROPN;SG _
město akkad , kotrehož zbytki hišće njebuchu namakane , bu knježerstwowe sydło .	město akkad , kotryž zbytk hišće być namakany , być knježerstwowy sydło .	N;NEUT;NOM;SG INAN;MASC;NOM;PROPN;SG _ DET;GEN;MASC;SG INAN;MASC;N;NOM;PL ADV 3;FIN;IND;NEG;PL;PST;V ADJ;INAN;MASC;NOM;PASS;PL;V.PTCP _ 3;FIN;IND;PASS;PST;SG;V ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _
wulku lěpšinu měješe wobsydstwo na pódźe - wono bě bjezdawkowe .	wulki lěpšina měć wobsydstwo na póda - wón być bjezdawkowy .	ACC;ADJ;FEM;SG ACC;FEM;N;SG 3;FIN;IND;PST;SG;V N;NEUT;NOM;SG ADP ESS;FEM;N;SG _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADJ;NEUT;NOM;SG _
tež eksistuja radijowe wusyłanja w tutej rěče .	tež eksistować radijowy wusyłanje w tutón rěč .	ADV 3;FIN;IND;PL;PRS;V ADJ;NEUT;NOM;PL N;NEUT;NOM;PL ADP DET;ESS;FEM;SG ESS;FEM;N;SG _
něhdy kulojte bydlišća přeměnjachu so do róžkatych domow , kotrež nětko tež nad wjacorymi rumnosćemi disponowachu .	něhdy kulojty bydlišćo přeměnjeć so do róžkaty dom , kotryž nětko tež nad wjacory rumnosć disponować .	ADV ADJ;NEUT;NOM;PL N;NEUT;NOM;PL 3;FIN;IND;PL;PST;V ACC;PRO;REFL ADP ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ DET;INAN;MASC;NOM;PL ADV ADV ADP ADJ;FEM;INS;PL FEM;INS;N;PL 3;FIN;IND;PL;PST;V _
kislik je bjezbarbny , njewonjaty a bjezsłodowy płun .	kislik być bjezbarbny , wonjaty a bjezsłodowy płun .	INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;MASC;NOM;SG _ ADJ;MASC;NEG;NOM;SG CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _
specialny porjad pokazuje podobnosće na kult mortwych jericha .	specialny porjad pokazować podobnosć na kult mortwy jericho .	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ACC;FEM;N;PL ADP ACC;INAN;MASC;N;SG ADJ;GEN;MASC;PL GEN;NEUT;PROPN;SG _
wot bronzoweje doby su znate kulturne formy z wjetšimi symjenjemi .	wot bronzowy doba być znaty kulturny forma z wulki symjenjo .	ADP ADJ;FEM;GEN;SG FEM;GEN;N;SG 3;FIN;IND;PL;PRS;V ADJ;FEM;NOM;PL;V.PTCP ADJ;FEM;NOM;PL FEM;N;NOM;PL ADP ADJ;CMPR;INS;PL INS;N;NEUT;PL _
posledni rozmach dožiwi mócnarstwo z kralom aššur - danom iii . ( 935 - 912 př . n . l . ) , kiž wjele aramejske města dobywaše .	posledni rozmach dožiwić mócnarstwo z kral aššur - dan iii . ( 935 - 912 před . naš . lětoličba . ) , kiž wjele aramejski město dobywać .	ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG 3;FIN;IND;PST;SG;V N;NEUT;NOM;SG ADP ANIM;INS;MASC;N;SG ANIM;MASC;NOM;PROPN;SG _ ANIM;INS;MASC;PROPN;SG NUM _ _ NUM _ NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ _ _ NOM;PRO ADV ACC;ADJ;NEUT;PL ACC;N;NEUT;PL 3;FIN;IND;PST;SG;V _
recentne ( njewotemrěne ) zastupnicy rostlinow tworja štyri jasnje mjez sobu rozdźělene skupiny .	recentny ( wotemrěny ) zastupnik rostlina tworić štyri jasnje mjez so rozdźěleny skupina .	ADJ;ANIM;MASC;NOM;PL _ ADJ;ANIM;MASC;NEG;NOM;PASS;PL;V.PTCP _ ANIM;MASC;N;NOM;PL FEM;GEN;N;PL 3;FIN;IND;PL;PRS;V FEM;NUM ADV ADP INS;PRO;REFL ACC;ADJ;FEM;PASS;PL;V.PTCP ACC;FEM;N;PL _
sumeriska lisćina kralow , kotraž tež wo lijeńcy powěda , dokumentuje tute pućowanja přez mjenowanje semitiskich mjenow .	sumeriski lisćina kral , kotryž tež wo lijeńca powědać , dokumentować tutón pućowanje přez mjenowanje semitiski mjeno .	ADJ;FEM;NOM;SG FEM;N;NOM;SG ANIM;GEN;MASC;N;PL _ DET;FEM;NOM;SG ADV ADP ESS;FEM;N;SG 3;FIN;IND;PRS;SG;V _ 3;FIN;IND;PRS;SG;V ACC;DET;NEUT;PL ACC;N;NEUT;PL ADP ACC;N;NEUT;SG ADJ;GEN;NEUT;PL GEN;N;NEUT;PL _
hlej k tomu tež tutón edit .	hladać k to tež tutón edit .	2;FIN;IMP;SG;V ADP DAT;NEUT;PRO;SG ADV ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG _
leidenska uniwersita je najstarša uniwersita w nižozemskej .	leidenski uniwersita być stary uniwersita w nižozemska .	ADJ;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;RL;SG FEM;N;NOM;SG ADP ESS;FEM;PROPN;SG _
druhe pomjenowanje " hodownik " pokazuje na to , zo padnje do tutoho měsaca wažny cyrkwinski swjedźeń , hody : patoržica ( 24 . decembra ) , 1 . a 2 . swjaty dźeń ( 25 . a 26 . decembra ) , zdźěla so tež 27 . december jako 3 . swjaty dźeń swjeći .	druhi pomjenowanje " hodownik " pokazować na to , zo padnyć do tutón měsac wažny cyrkwinski swjedźeń , hody : patoržica ( 24 . december ) , 1 . a 2 . swjaty dźeń ( 25 . a 26 . december ) , zdźěla so tež 27 . december jako 3 . swjaty dźeń swjećić .	ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ INAN;MASC;N;NOM;SG _ 3;FIN;IND;PRS;SG;V ADP ACC;NEUT;PRO;SG _ CONJ 3;FIN;IND;PRS;SG;V ADP DET;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ INAN;MASC;N;NOM _ FEM;N;NOM;SG _ NUM _ GEN;INAN;MASC;N;SG _ _ NUM _ CONJ NUM _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ NUM _ CONJ NUM _ GEN;INAN;MASC;N;SG _ _ ADV ACC;PRO;REFL ADV NUM _ INAN;MASC;N;NOM;SG CONJ NUM _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V _
rozpušćomnosć płunow wotewza z přiběracu temperaturu , mjeztym zo rozpušćomnosć selow přiběra z přiběracu temperaturu .	rozpušćomnosć płun wotewzać z přiběracy temperatura , mjeztym zo rozpušćomnosć sel přiběrać z přiběracy temperatura .	FEM;N;NOM;SG GEN;INAN;MASC;N;PL 3;FIN;IND;PRS;SG;V ADP ACT;ADJ;FEM;INS;PRS;SG;V.PTCP FEM;INS;N;SG _ ADV CONJ FEM;N;NOM;SG FEM;GEN;N;PL 3;FIN;IND;PRS;SG;V ADP ACT;ADJ;FEM;INS;PRS;SG;V.PTCP FEM;INS;N;SG _
jeli wobraz nima so pokazać , potom móže so wotkazować na tutu stronu , z tym zo ty dodaš před słowom wobraz dwójny dypk .	jeli wobraz měć so pokazać , potom móc so wotkazować na tutón strona , z to zo ty dodać před słowo wobraz dwójny dypk .	CONJ INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ACC;PRO;REFL NFIN;V _ ADV 3;FIN;IND;PRS;SG;V ACC;PRO;REFL NFIN;V ADP ACC;DET;FEM;SG ACC;FEM;N;SG _ ADP INS;NEUT;PRO;SG CONJ 2;NOM;PRO;SG 2;FIN;IND;PRS;SG;V ADP INS;N;NEUT;SG ACC;INAN;MASC;N;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _
ale namakane dokumenty wo tutej wikowanskej formje ničo njerozprawjeja .	ale namakany dokument wo tutón wikowanski forma ništo rozprawjeć .	CONJ ADJ;INAN;MASC;NOM;PASS;PL;V.PTCP INAN;MASC;N;NOM;PL ADP DET;ESS;FEM;SG ADJ;ESS;FEM;SG ESS;FEM;N;SG ACC;NEUT;PRO;SG 3;FIN;IND;NEG;PL;PRS;V _
rjemjesło a wikowanje nabywaštej dale a bóle wuznam a města buchu dale a bóle zamóžite .	rjemjesło a wikowanje nabywać daloko a mnoho wuznam a město być daloko a mnoho zamóžity .	N;NEUT;NOM;SG CONJ N;NEUT;NOM;SG 3;DU;FIN;IND;PST;V ADV;CMPR CONJ ADV;CMPR ACC;INAN;MASC;N;SG CONJ N;NEUT;NOM;PL 3;FIN;IND;PL;PST;V ADV;CMPR CONJ ADV;CMPR ADJ;NEUT;NOM;PL _
planowane je tež pytansku funkciju integrować , kiž wužiwarjej dowoli , wopak pisane słowo namakać .	planowany być tež pytanski funkcija integrować , kiž wužiwar dowollić , wopak pisany słowo namakać .	ADJ;NOM;PASS;PL;V.PTCP 3;FIN;IND;PRS;SG;V ADV ACC;ADJ;FEM;SG ACC;FEM;N;SG NFIN;V _ NOM;PRO ANIM;DAT;MASC;N;SG 3;FIN;IND;PRS;SG;V _ ADV ACC;ADJ;NEUT;PASS;SG;V.PTCP ACC;N;NEUT;SG NFIN;V _
w tutej dobje pisachu na papyrusu a pergamenće .	w tutón doba pisać na papyrus a pergament .	ADP DET;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PL;PST;V ADP ESS;INAN;MASC;N;SG CONJ ESS;INAN;MASC;N;SG _
najebać toho , někajke substancy so njederje měšeja z wodu , inkluziwnje wolijow a hydrofobnych substancow .	najebać to , někajki substanca so derje měšeć z woda , inkluziwnje wolij a hydrofobny substanca .	ADP GEN;NEUT;PRO;SG _ DET;FEM;NOM;PL FEM;N;NOM;PL ACC;PRO;REFL ADV;NEG 3;FIN;IND;PL;PRS;V ADP FEM;INS;N;SG _ ADP GEN;INAN;MASC;N;PL CONJ ADJ;FEM;GEN;PL FEM;GEN;N;PL _
woda wobsteji z wodźika a kislika w poměrje 2 : 1 .	woda wobstać z wodźik a kislik w poměr 2 : 1 .	FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADP GEN;INAN;MASC;N;SG CONJ GEN;INAN;MASC;N;SG ADP ESS;INAN;MASC;N;SG NUM _ NUM _
kruta faza je mjenje husta hač kapalna woda , dla geometrije sylnych wodźikowych wjazbow kotrež so jenož při niskich temperaturach zdźěłuja .	kruty faza być mało husty hač kapalny woda , dla geometrija sylny wodźikowy wjazba kotryž so jenož při niski temperatura zdźěłować .	ADJ;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADV;CMPR ADJ;FEM;NOM;SG CONJ ADJ;FEM;NOM;SG FEM;N;NOM;SG _ ADP FEM;GEN;N;SG ADJ;FEM;GEN;PL ADJ;FEM;GEN;PL FEM;GEN;N;PL DET;FEM;NOM;PL ACC;PRO;REFL PART ADP ADJ;ESS;FEM;PL ESS;FEM;N;PL 3;FIN;IND;PL;PRS;V _
najstarše archeologiske wobsydlenske sćěhi hodźa so za połojcu 11 . lěttysaca př . n . l . při srjedźnmy eufraće w murejbeće dopokazać , hdźež su so pochowane byče nopy w kulojtych domach namakali .	stary archeologiski wobsydlenski sćěh hodźić so za połojca 11 . lěttysac před . naš . lětoličba . při srjedźnmy eufrat w murejbet dopokazać , hdźež być so pochowany byči nopa w kulojty dom namakać .	ADJ;INAN;MASC;NOM;PL;RL ADJ;INAN;MASC;NOM;PL ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL 3;FIN;IND;PL;PRS;V ACC;PRO;REFL ADP ACC;FEM;N;SG NUM _ GEN;INAN;MASC;N;SG ADP _ 1;DET;INAN;INS;MASC;PSSP;SG _ FEM;INS;N;SG _ ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;PROPN;SG ADP ESS;INAN;MASC;PROPN;SG NFIN;V _ ADV 3;FIN;IND;PL;PRS;V ACC;PRO;REFL ADJ;INAN;MASC;NOM;PASS;PL;V.PTCP ADJ;INAN;MASC;NOM;PL FEM;N;NOM;PL ADP ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL ACT;PL;PST;V;V.PTCP _
na juhu indiskeje so drawidske rěče rěča , na přikład tamilsce .	na juh indiska so drawidski rěč rěčeć , na přikład tamilsce .	ADP ESS;INAN;MASC;N;SG FEM;GEN;PROPN;SG ACC;PRO;REFL ADJ;FEM;NOM;PL FEM;N;NOM;PL 3;FIN;IND;PL;PRS;V _ ADP ACC;INAN;MASC;N;SG ADV _
pod škrějnym dypkom bywa kruta maćizna , a to lód .	pod škrějny dypk bywać kruty maćizna , a to lód .	ADP ADJ;ESS;NEUT;SG ESS;INAN;MASC;N;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG FEM;N;NOM;SG _ CONJ NEUT;NOM;PRO;SG INAN;MASC;N;NOM;SG _
