1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
compared to previous third party candidates at the gubernatorial level , you have done exceptionally well in opinion polling .	compare to previous third party candidate at the gubernatorial level , you have do exceptionally well in opinion polling .	PST;V;V.PTCP ADP ADJ ADJ N;SG N;PL ADP DEF;DET ADJ N;SG _ 2;NOM;PRO FIN;IND;PRS;V PST;V;V.PTCP ADV ADV ADP N;SG N;SG _
however you do n't have to have magical powers to play .	however you do n't have to have magical power to play .	ADV 2;NOM;PRO FIN;IND;PRS;V NEG;PART NFIN;V PART NFIN;V ADJ N;PL PART NFIN;V _
the chatham islands consist of the main island , chatham island itself , with a population of 600 , smaller pitt island with about 40 inhabitants , and a number of rocky outcrops .	the chatham island consist of the main island , chatham island itself , with a population of @card@ , small pitt island with about @card@ inhabitant , and a number of rocky outcrop .	DEF;DET PROPN;SG PL;PROPN FIN;IND;PRS;V ADP DEF;DET ADJ N;SG _ PROPN;SG PROPN;SG 3;NEUT;PRO;SG _ ADP DET;INDF N;SG ADP NUM _ ADJ;CMPR PROPN;SG PROPN;SG ADP ADV NUM N;PL _ CONJ DET;INDF N;SG ADP ADJ N;PL _
daniel smith daniel.smith2@durham.ac.uk durham university , united kingdom	daniel smith daniel.smith2@durham.ac.uk durham university , united kingdom	PROPN;SG PROPN;SG PROPN;SG PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG
you either 1 ) sacrifice on breadth and do n't produce the topics that wo n't interest advertisers , or 2 ) you sacrifice on quality and produce content that does n't cost much to write .	you either 1 ) sacrifice on breadth and do n't produce the topic that wo n't interest advertiser , or 2 ) you sacrifice on quality and produce content that do n't cost much to write .	2;NOM;PRO CONJ NUM _ FIN;IND;PRS;V ADP N;SG CONJ FIN;IND;PRS;V NEG;PART NFIN;V DEF;DET N;PL PRO FIN;V NEG;PART NFIN;V N;PL _ CONJ NUM _ 2;NOM;PRO FIN;IND;PRS;V ADP N;SG CONJ FIN;IND;PRS;V N;SG PRO 3;FIN;IND;PRS;SG;V NEG;PART NFIN;V ADV PART NFIN;V _
mandatory diversity trainings in professional settings , for example , are intended to reduce bias in the workplace by increasing the awareness of employees regarding the challenges facing minority group members . [ 12 ]	mandatory diversity training in professional setting , for example , be intend to reduce bias in the workplace by increase the awareness of employee regard the challenge face minority group member . [ @card@ ]	ADJ N;SG N;PL ADP ADJ N;PL _ ADP N;SG _ FIN;IND;PRS;V PST;V;V.PTCP PART NFIN;V N;SG ADP DEF;DET N;SG CONJ V;V.MSDR DEF;DET N;SG ADP N;PL V;V.MSDR DEF;DET N;PL V;V.MSDR N;SG N;SG N;PL _ _ NUM _
these are good signs of arrogance .	these be good sign of arrogance .	PL;PRO FIN;IND;PRS;V ADJ N;PL ADP N;SG _
" are you ashamed of her ? "	'' be you ashamed of her ? ''	_ FIN;IND;PRS;V 2;NOM;PRO ADJ ADP 3;ACC;FEM;PRO;SG _ _
in 1947 , large scale deep sea fishing was introduced to coron , and the town experienced another boom , a fishing boom .	in @card@ , large scale deep sea fishing be introduce to coron , and the town experience another boom , a fishing boom .	ADP NUM _ ADJ N;SG ADJ N;SG N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP PROPN;SG _ CONJ DEF;DET N;SG FIN;IND;PST;V DET N;SG _ DET;INDF N;SG N;SG _
wikinews spoke with william evans , president of the international brotherhood of magicians , about the current state of magic and what its future looks like in the world of entertainment .	wikinews speak with william evans , president of the international brotherhood of magician , about the current state of magic and what its future look like in the world of entertainment .	PROPN;SG FIN;IND;PST;V ADP PROPN;SG PROPN;SG _ N;SG ADP DEF;DET PROPN;SG PROPN;SG ADP PL;PROPN _ ADP DEF;DET ADJ N;SG ADP N;SG CONJ PRO 3;NEUT;PRO;SG N;SG 3;FIN;IND;PRS;SG;V ADP ADP DEF;DET N;SG ADP N;SG _
start near the chicken 's beak and draw the line slowly outward , in front of its head .	start near the chicken 's beak and draw the line slowly outward , in front of its head .	NFIN;V ADP DEF;DET N;SG PART N;SG CONJ NFIN;V DEF;DET N;SG ADV ADV _ ADP N;SG ADP 3;NEUT;PRO;SG N;SG _
the authors say the results confirm the existence of inadequate iodine intake in the australian population .	the author say the result confirm the existence of inadequate iodine intake in the australian population .	DEF;DET N;PL FIN;IND;PRS;V DEF;DET N;PL FIN;IND;PRS;V DEF;DET N;SG ADP ADJ N;SG N;SG ADP DEF;DET ADJ N;SG _
like everything else , infrastructure and transportation has only just begun in recent years .	like everything else , infrastructure and transportation have only just begin in recent year .	ADP N;SG ADV _ N;SG CONJ N;SG 3;FIN;IND;PRS;SG;V ADV ADV PST;V;V.PTCP ADP ADJ N;PL _
i ’ll call it herein ( as everyone mostly does ) simply the chemical wedding .	i will call it herein ( as everyone mostly do ) simply the chemical wedding .	1;NOM;PRO;SG FIN;V NFIN;V 3;ACC;NEUT;PRO;SG ADV _ CONJ N;SG ADV 3;FIN;IND;PRS;SG;V _ ADV DEF;DET PROPN;SG PROPN;SG _
even though they might not be the best way to get around the island , a ride on the bus is still an experience you should not miss .	even though they might not be the good way to get around the island , a ride on the bus be still an experience you should not miss .	ADV CONJ 3;NOM;PL;PRO FIN;V NEG;PART NFIN;V DEF;DET ADJ;RL N;SG PART NFIN;V ADP DEF;DET N;SG _ DET;INDF N;SG ADP DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV DET;INDF N;SG 2;NOM;PRO FIN;V NEG;PART NFIN;V _
from there , you can look up at the islands la désirade , petite terre , marie galante , les saintes , la dominique but also have a perfect view of the islands grande terre and far away basse terre .	from there , you can look up at the island la désirade , petite terre , marie galante , les saintes , la dominique but also have a perfect view of the island grande terre and far away basse terre .	ADP ADV _ 2;NOM;PRO FIN;V NFIN;V ADP ADP DEF;DET N;PL PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG CONJ ADV NFIN;V DET;INDF ADJ N;SG ADP DEF;DET N;PL PROPN;SG PROPN;SG CONJ ADV ADV PROPN;SG PROPN;SG _
set the correct lid next to each container .	set the correct lid next to each container .	NFIN;V DEF;DET ADJ N;SG ADJ ADP DET N;SG _
significant differences were not observed between all and cardinal numbers or all and some .	significant difference be not observe between all and cardinal number or all and some .	ADJ N;PL FIN;IND;PST;V NEG;PART PST;V;V.PTCP ADP PRO CONJ ADJ N;PL CONJ PRO CONJ PRO _
i could not help arching my back a little , i wanted to push against his hand like a cat but the instinct that comes with being thirteen , the half-understood caution that makes a girl timid , or wild , the shyness told me to just walk .	i could not help arch my back a little , i want to push against his hand like a cat but the instinct that come with be thirteen , the half-understood caution that make a girl timid , or wild , the shyness tell me to just walk .	1;NOM;PRO;SG FIN;V NEG;PART NFIN;V V;V.MSDR 1;PRO;SG N;SG DET;INDF ADJ _ 1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V ADP 3;MASC;PRO;SG N;SG ADP DET;INDF N;SG CONJ DEF;DET N;SG PRO 3;FIN;IND;PRS;SG;V CONJ V;V.MSDR NUM _ DEF;DET ADJ N;SG CONJ 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADJ _ CONJ ADJ _ DEF;DET N;SG FIN;IND;PST;V 1;ACC;PRO;SG PART ADV NFIN;V _
tell me , what events is today important such as how many elephants hannibal had on the alps , when you can have helicopters ?	tell me , what event be today important such as how many elephant hannibal have on the alps , when you can have helicopter ?	NFIN;V 1;ACC;PRO;SG _ DET N;PL 3;FIN;IND;PRS;SG;V N;SG ADJ CONJ ADP CONJ ADJ N;PL PROPN;SG FIN;IND;PST;V ADP DEF;DET PL;PROPN _ CONJ 2;NOM;PRO FIN;V NFIN;V N;PL _
demosisto 's nathan law earned a surprise victory as second place in the constituency with 50,818 votes , and becomes the youngest legislative council member in hong kong 's history .	demosisto 's nathan law earn a surprise victory as second place in the constituency with @card@ vote , and become the young legislative council member in hong kong 's history .	PROPN;SG PART PROPN;SG PROPN;SG FIN;IND;PST;V DET;INDF N;SG N;SG ADP ADJ N;SG ADP DEF;DET N;SG ADP NUM N;PL _ CONJ 3;FIN;IND;PRS;SG;V DEF;DET ADJ;RL ADJ N;SG N;SG ADP PROPN;SG PROPN;SG PART N;SG _
we were coming with comics , like , left and right , we were coming up with things like karis , in high school she came up with that one , i came up with an individual story called thad 's world destruction and , she wanted to illustrate it , and so , that 's the way we ended up doing it .	we be come with comic , like , left and right , we be come up with thing like karis , in high school she come up with that one , i come up with an individual story call thad 's world destruction and , she want to illustrate it , and so , that be the way we end up do it .	1;NOM;PL;PRO FIN;IND;PST;V PRS;V;V.PTCP ADP N;PL _ INTJ _ ADV CONJ ADV _ 1;NOM;PL;PRO FIN;IND;PST;V PRS;V;V.PTCP ADP ADP N;PL ADP PROPN;SG _ ADP ADJ N;SG 3;FEM;NOM;PRO;SG FIN;IND;PST;V ADP ADP DET;SG NUM _ 1;NOM;PRO;SG FIN;IND;PST;V ADP ADP DET;INDF ADJ N;SG PST;V;V.PTCP PROPN;SG PART PROPN;SG PROPN;SG CONJ _ 3;FEM;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V 3;ACC;NEUT;PRO;SG _ CONJ ADV _ PRO;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG 1;NOM;PL;PRO FIN;IND;PST;V ADP V;V.MSDR 3;ACC;NEUT;PRO;SG _
i wanted to go home .	i want to go home .	1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V N;SG _
the content of these sessions should enable them to provide services to researchers and students , identify remaining gaps in knowledge or skills that they could address by self-directed learning and ( perhaps ) to automate their daily library work .	the content of these session should enable them to provide service to researcher and student , identify remain gap in knowledge or skill that they could address by self-directed learning and ( perhaps ) to automate their daily library work .	DEF;DET N;SG ADP DET;PL N;PL FIN;V NFIN;V 3;ACC;PL;PRO PART NFIN;V N;PL ADP N;PL CONJ N;PL _ NFIN;V V;V.MSDR N;PL ADP N;SG CONJ N;PL PRO 3;NOM;PL;PRO FIN;V NFIN;V ADP ADJ N;SG CONJ _ ADV _ PART NFIN;V 3;PL;PRO ADJ N;SG N;SG _
you have received a good deal of attention recently .	you have receive a good deal of attention recently .	2;NOM;PRO FIN;IND;PRS;V PST;V;V.PTCP DET;INDF ADJ N;SG ADP N;SG ADV _
both countries have put their militaries on high levels of alert .	both country have put their military on high level of alert .	DET N;PL FIN;IND;PRS;V PST;V;V.PTCP 3;PL;PRO N;PL ADP ADJ N;PL ADP N;SG _
remember to notify the local policeman , or ministry of fisheries officer if you are entering new zealand via the chathams .	remember to notify the local policeman , or ministry of fishery officer if you be enter new zealand via the chatham .	NFIN;V PART NFIN;V DEF;DET ADJ N;SG _ CONJ PROPN;SG ADP PL;PROPN N;SG CONJ 2;NOM;PRO FIN;IND;PRS;V PRS;V;V.PTCP PROPN;SG PROPN;SG ADP DEF;DET PL;PROPN _
serve and enjoy !	serve and enjoy !	NFIN;V CONJ NFIN;V _
sunday , november 25 , 2007	sunday , november @card@ , @card@	PROPN;SG _ PROPN;SG NUM _ NUM
and it has , because it is spring and inside the ground something is stirring .	and it have , because it be spring and inside the ground something be stir .	CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V _ CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V N;SG CONJ ADP DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP _
in a statement , governor of washington chris gregoire said , " the museum of flight put a tremendous amount of effort into landing a retired shuttle in the pacific northwest .	in a statement , governor of washington chris gregoire say , " the museum of flight put a tremendous amount of effort into land a retire shuttle in the pacific northwest .	ADP DET;INDF N;SG _ PROPN;SG ADP PROPN;SG PROPN;SG PROPN;SG FIN;IND;PST;V _ _ DEF;DET PROPN;SG ADP PROPN;SG FIN;IND;PST;V DET;INDF ADJ N;SG ADP N;SG CONJ V;V.MSDR DET;INDF PST;V;V.PTCP N;SG ADP DEF;DET PROPN;SG PROPN;SG _
do	do	NFIN;V
he gives you a hooded look .	he give you a hooded look .	3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V 2;ACC;PRO DET;INDF ADJ N;SG _
yesterday , north korea fired artillery rounds aimed at a loudspeaker in south korea that broadcasts anti-pyongyang propaganda into the north .	yesterday , north korea fire artillery round aim at a loudspeaker in south korea that broadcast anti-pyongyang propaganda into the north .	N;SG _ PROPN;SG PROPN;SG FIN;IND;PST;V N;SG N;PL PST;V;V.PTCP ADP DET;INDF N;SG ADP PROPN;SG PROPN;SG PRO 3;FIN;IND;PRS;SG;V ADJ N;SG ADP DEF;DET PROPN;SG _
the traveler stood up from the table .	the traveler stand up from the table .	DEF;DET N;SG FIN;IND;PST;V ADP ADP DEF;DET N;SG _
my mother says , “ is it time to go ? ”	my mother say , " be it time to go ? "	1;PRO;SG N;SG 3;FIN;IND;PRS;SG;V _ _ 3;FIN;IND;PRS;SG;V 3;NEUT;NOM;PRO;SG N;SG PART NFIN;V _ _
you go through quite a bit .	you go through quite a bit .	2;NOM;PRO FIN;IND;PRS;V ADP PRO DET;INDF N;SG _
a tourist visa card ( visa de tarjeta del turista ) is necessary for travelers from most nations .	a tourist visa card ( visa de tarjeta del turista ) be necessary for traveler from most nation .	DET;INDF N;SG N;SG N;SG _ _ _ _ _ _ _ 3;FIN;IND;PRS;SG;V ADJ ADP N;PL ADP ADJ;RL N;PL _
also see where all the other teams are at as well .	also see where all the other team be at as well .	ADV NFIN;V CONJ PRO DEF;DET ADJ N;PL FIN;IND;PRS;V ADP ADP ADV _
the more you know about your audience the better you ’ll be able to tailor your jokes to them .	the more you know about your audience the well you will be able to tailor your joke to them .	DEF;DET ADJ;CMPR 2;NOM;PRO FIN;IND;PRS;V ADP 2;PRO N;SG DEF;DET ADV;CMPR 2;NOM;PRO FIN;V NFIN;V ADJ PART NFIN;V 2;PRO N;PL ADP 3;ACC;PL;PRO _
during its " comeback ' years , cleveland has added : the rock and roll hall of fame and museum , the great lakes science center with omnimax theatre , and four new sports facilities in the downtown area - progressive field ( still known as " the jake ' after a recent corporate name change ) for the major league baseball indians , quickenloans arena ( " the q ' ) for the nba cavaliers , cleveland browns stadium for the nfl browns and the wolstein center for the cleveland state university vikings basketball team .	during its " comeback ' year , cleveland have add : the rock and roll hall of fame and museum , the great lakes science center with omnimax theatre , and four new sport facility in the downtown area - progressive field ( still know as " the jake ' after a recent corporate name change ) for the major league baseball indians , quickenloans arena ( " the q ' ) for the nba cavaliers , cleveland browns stadium for the nfl browns and the wolstein center for the cleveland state university viking basketball team .	ADP 3;NEUT;PRO;SG _ N;SG _ N;PL _ PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP _ DEF;DET PROPN;SG CONJ PROPN;SG PROPN;SG ADP PROPN;SG CONJ PROPN;SG _ DEF;DET PROPN;SG PL;PROPN PROPN;SG PROPN;SG ADP PROPN;SG N;SG _ CONJ NUM ADJ N;PL N;PL ADP DEF;DET N;SG N;SG _ PROPN;SG PROPN;SG _ ADV PST;V;V.PTCP ADP _ PROPN;SG PROPN;SG _ ADP DET;INDF ADJ ADJ N;SG N;SG _ ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG PL;PROPN _ PROPN;SG PROPN;SG _ _ PROPN;SG PROPN;SG _ _ ADP DEF;DET PROPN;SG PL;PROPN _ PROPN;SG PL;PROPN PROPN;SG ADP DEF;DET PROPN;SG PL;PROPN CONJ DEF;DET PROPN;SG PROPN;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG PL;PROPN N;SG N;SG _
scientology officials have stated they have not received the materials .	scientology official have state they have not receive the material .	PROPN;SG N;PL FIN;IND;PRS;V PST;V;V.PTCP 3;NOM;PL;PRO FIN;IND;PRS;V NEG;PART PST;V;V.PTCP DEF;DET N;PL _
for example the most famous is lewis carrol , author of alice in wonderland .	for example the most famous be lewis carrol , author of alice in wonderland .	ADP N;SG DEF;DET ADV ADJ 3;FIN;IND;PRS;SG;V PROPN;SG PROPN;SG _ N;SG ADP PROPN;SG ADP PROPN;SG _
in september 1944 , a fleet of japanese ships hiding in the harbor were sunk in a daring raid by the us navy .	in september 1944 , a fleet of japanese ship hide in the harbor be sink in a daring raid by the us navy .	ADP PROPN;SG NUM _ DET;INDF N;SG ADP ADJ N;PL V;V.MSDR ADP DEF;DET N;SG FIN;IND;PST;V PST;V;V.PTCP ADP DET;INDF ADJ N;SG ADP DEF;DET PROPN;SG N;SG _
carroll met rachel in the jellicoh college library , where he had a part-time job .	carroll meet rachel in the jellicoh college library , where he have a part-time job .	PROPN;SG FIN;IND;PST;V PROPN;SG ADP DEF;DET PROPN;SG PROPN;SG N;SG _ CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V DET;INDF ADJ N;SG _
on march 13 , professor chomsky sat down with michael dranove for an interview in his mit office in cambridge , massachusetts .	on march @card@ , professor chomsky sit down with michael dranove for an interview in his mit office in cambridge , massachusetts .	ADP PROPN;SG NUM _ PROPN;SG PROPN;SG FIN;IND;PST;V ADP ADP PROPN;SG PROPN;SG ADP DET;INDF N;SG ADP 3;MASC;PRO;SG PROPN;SG N;SG ADP PROPN;SG _ PROPN;SG _
we walked back through the school because it was drizzling , my father tall in his navy suit and my shoes going click on the linoleum .	we walk back through the school because it be drizzle , my father tall in his navy suit and my shoe go click on the linoleum .	1;NOM;PL;PRO FIN;IND;PST;V ADV ADP DEF;DET N;SG CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V PRS;V;V.PTCP _ 1;PRO;SG N;SG ADJ ADP 3;MASC;PRO;SG ADJ N;SG CONJ 1;PRO;SG N;PL V;V.MSDR N;SG ADP DEF;DET N;SG _
right now , yeah , he 's helping us right now .	right now , yeah , he be help us right now .	ADV ADV _ INTJ _ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP 1;ACC;PL;PRO ADV ADV _
depending on the adjusters , you may be able to leave them a little loose too .	depend on the adjuster , you may be able to leave them a little loose too .	CONJ;V.MSDR ADP DEF;DET N;PL _ 2;NOM;PRO FIN;V NFIN;V ADJ PART NFIN;V 3;ACC;PL;PRO DET;INDF ADV ADJ ADV _
take a sieve , line it with a piece of cheesecloth ( muslin ) or a coffee filter , place above a large jug and pour the vodka through slowly .	take a sieve , line it with a piece of cheesecloth ( muslin ) or a coffee filter , place above a large jug and pour the vodka through slowly .	NFIN;V DET;INDF N;SG _ NFIN;V 3;ACC;NEUT;PRO;SG ADP DET;INDF N;SG ADP N;SG _ N;SG _ CONJ DET;INDF N;SG N;SG _ NFIN;V ADP DET;INDF ADJ N;SG CONJ NFIN;V DEF;DET N;SG ADP ADV _
learn the quality of their friendships .	learn the quality of their friendship .	NFIN;V DEF;DET N;SG ADP 3;PL;PRO N;PL _
her first stories were published in a minor newspaper under her pen name , ichiyo higuchi .	her first storey be publish in a minor newspaper under her pen name , ichiyo higuchi .	3;FEM;PRO;SG ADJ N;PL FIN;IND;PST;V PST;V;V.PTCP ADP DET;INDF ADJ N;SG ADP 3;FEM;PRO;SG N;SG N;SG _ PROPN;SG PROPN;SG _
the function of this palace was for holding religious-national ceremonies and royal festivals and for receiving royal ambassadors and guests .	the function of this palace be for hold religious-national ceremony and royal festival and for receive royal ambassador and guest .	DEF;DET N;SG ADP DET;SG N;SG 3;FIN;IND;PST;SG;V CONJ V;V.MSDR ADJ N;PL CONJ ADJ N;PL CONJ CONJ V;V.MSDR ADJ N;PL CONJ N;PL _
well-food indoor kitties might just see the mouse as a toy , and grow quickly bored of it after scaring it half witless .	well-fed indoor kitty might just see the mouse as a toy , and grow quickly bored of it after scare it half witless .	ADJ ADJ N;PL FIN;V ADV NFIN;V DEF;DET N;SG ADP DET;INDF N;SG _ CONJ NFIN;V ADV ADJ ADP 3;NEUT;NOM;PRO;SG CONJ V;V.MSDR 3;NEUT;NOM;PRO;SG ADV ADJ _
do you think your parents will like me ? " he said .	do you think your parent will like me ? '' he say .	NFIN;V 2;NOM;PRO NFIN;V 2;PRO N;PL FIN;V NFIN;V 1;ACC;PRO;SG _ _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V _
the beast	the beast	DEF;DET N;SG
do n’t you think darfur is repetition ?	do n't you think darfur be repetition ?	FIN;IND;PRS;V PART 2;NOM;PRO FIN;IND;PRS;V PROPN;SG 3;FIN;IND;PRS;SG;V N;SG _
mandatory mass evacuations have been carried out , which is essential to minimize loss of life in these situations .	mandatory mass evacuation have be carry out , which be essential to minimize loss of life in these situation .	ADJ ADJ N;PL FIN;IND;PRS;V PST;V;V.PTCP PST;V;V.PTCP ADP _ PRO 3;FIN;IND;PRS;SG;V ADJ PART NFIN;V N;SG ADP N;SG ADP DET;PL N;PL _
follow-up studies with increased stimuli and participants are needed .	follow-up study with increase stimulus and participant be need .	N;SG N;PL ADP PST;V;V.PTCP N;PL CONJ N;PL FIN;IND;PRS;V PST;V;V.PTCP _
that 's good and well and fine with us .	that be good and well and fine with us .	PRO;SG 3;FIN;IND;PRS;SG;V ADJ CONJ ADV CONJ ADJ ADP 1;ACC;PL;PRO _
tips	tip	N;PL
also , there are other sites , notably podiobooks.com , which are better suited to cc works than librivox .	also , there be other site , notably podiobooks.com , which be well suit to cc work than librivox .	ADV _ PRO FIN;IND;PRS;V ADJ N;PL _ ADV N;SG _ PRO FIN;IND;PRS;V ADV;CMPR PST;V;V.PTCP ADP PROPN;SG N;PL ADP PROPN;SG _
many recommend that women wear only full length dresses and skirts ;	many recommend that woman wear only full length dress and skirt ;	ADJ FIN;IND;PRS;V CONJ N;PL FIN;IND;PRS;V ADV ADJ N;SG N;PL CONJ N;PL _
local public transportation hubs are often swamped by the event .	local public transportation hub be often swamp by the event .	ADJ ADJ N;SG N;PL FIN;IND;PRS;V ADV PST;V;V.PTCP ADP DEF;DET N;SG _
do n't pry into his or her personal life — keep things light , fun , and focused on worry-free subjects .	do n't pry into his or her personal life — keep thing light , fun , and focus on worry subject .	NFIN;V NEG;PART NFIN;V ADP 3;MASC;PRO;SG CONJ 3;FEM;PRO;SG ADJ N;SG _ NFIN;V N;PL ADJ _ ADJ _ CONJ PST;V;V.PTCP ADP ADJ N;PL _
there is even a section of lanterns sponsored by foreign countries .	there be even a section of lantern sponsor by foreign country .	PRO 3;FIN;IND;PRS;SG;V ADV DET;INDF N;SG ADP N;PL PST;V;V.PTCP ADP ADJ N;PL _
pack books and heavy items into smaller boxes .	pack book and heavy item into small box .	NFIN;V N;PL CONJ ADJ N;PL ADP ADJ;CMPR N;PL _
it 's portrayed as though it 's dark , black and evil .	it be portray as though it be dark , black and evil .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP CONJ CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _ ADJ CONJ ADJ _
in 1902 that coron was registered as a town and the name of the town was officially changed from penon de coron to coron .	in @card@ that coron be register as a town and the name of the town be officially change from penon de coron to coron .	ADP NUM DET;SG PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DET;INDF N;SG CONJ DEF;DET N;SG ADP DEF;DET N;SG 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP ADP PROPN;SG PROPN;SG PROPN;SG ADP PROPN;SG _
those glowing mountain dew videos with peroxide and baking soda are all hoaxes .	those glowing mountain dew video with peroxide and bake soda be all hoax .	DET;PL ADJ PROPN;SG PROPN;SG N;PL ADP N;SG CONJ V;V.MSDR N;SG FIN;IND;PRS;V PRO N;PL _
wilkins said , " [ warhol ] liked the way photo booths and the polaroid 's front flash looked " .	wilkins say , " [ warhol ] like the way photo booth and the polaroid 's front flash look " .	PROPN;SG FIN;IND;PST;V _ _ _ PROPN;SG _ FIN;IND;PST;V DEF;DET N;SG N;SG N;PL CONJ DEF;DET PROPN;SG PART ADJ N;SG PST;V;V.PTCP _ _
at the 131st , below her , is the old stock exchange , hung upside-down now as a hipster den .	at the 131st , below her , be the old stock exchange , hang upside-down now as a hipster den .	ADP DEF;DET ADJ _ ADP 3;ACC;FEM;PRO;SG _ 3;FIN;IND;PRS;SG;V DEF;DET ADJ PROPN;SG PROPN;SG _ PST;V;V.PTCP ADV ADV ADP DET;INDF N;SG N;SG _
just by talking to them ?	just by talk to them ?	ADV CONJ V;V.MSDR ADP 3;ACC;PL;PRO _
the center of transportation by bart and by bus is there , if one wants to branch out .	the center of transportation by bart and by bus be there , if one want to branch out .	DEF;DET N;SG ADP N;SG ADP PROPN;SG CONJ ADP N;SG 3;FIN;IND;PRS;SG;V ADV _ CONJ NUM 3;FIN;IND;PRS;SG;V PART NFIN;V ADP _
quinoa is rich in protein and much lighter than other grains .	quinoa be rich in protein and much light than other grain .	N;SG 3;FIN;IND;PRS;SG;V ADJ ADP N;SG CONJ ADV ADJ;CMPR ADP ADJ N;PL _
and what was the verse that we have ?	and what be the verse that we have ?	CONJ PRO 3;FIN;IND;PST;SG;V DEF;DET N;SG PRO 1;NOM;PL;PRO FIN;IND;PRS;V _
kathryn waters , director of the gallery , expressed interest in further donations from the foundation in the future .	kathryn waters , director of the gallery , express interest in further donation from the foundation in the future .	PROPN;SG PROPN;SG _ N;SG ADP DEF;DET N;SG _ FIN;IND;PST;V N;SG ADP ADJ;CMPR N;PL ADP DEF;DET N;SG ADP DEF;DET N;SG _
you ’ve probably got them just the way you like them , but if you move the adjusters up or down on the straps occasionally , the straps will last longer .	you have probably got them just the way you like them , but if you move the adjuster up or down on the strap occasionally , the strap will last longer .	2;NOM;PRO FIN;IND;PRS;V ADV NFIN;V 3;ACC;PL;PRO ADV DEF;DET N;SG 2;NOM;PRO FIN;IND;PRS;V 3;ACC;PL;PRO _ CONJ CONJ 2;NOM;PRO FIN;IND;PRS;V DEF;DET N;PL ADP CONJ ADP ADP DEF;DET N;PL ADV _ DEF;DET N;PL FIN;V NFIN;V ADV;CMPR _
rather than asking a question , you can also simply offer your comments on these things .	rather than ask a question , you can also simply offer your comment on these thing .	ADV ADP V;V.MSDR DET;INDF N;SG _ 2;NOM;PRO FIN;V ADV ADV NFIN;V 2;PRO N;PL ADP DET;PL N;PL _
north / south is divided by admiral blvd .	north / south be divide by admiral blvd .	PROPN;SG _ PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP PROPN;SG PROPN;SG _
when the plants become a few inches tall and their leaves mature , it 's time to transplant them to a larger container .	when the plant become a few inch tall and their leave mature , it be time to transplant them to a large container .	CONJ DEF;DET N;PL FIN;IND;PRS;V DET;INDF ADJ N;PL ADJ CONJ 3;PL;PRO N;PL FIN;IND;PRS;V _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V N;SG PART NFIN;V 3;ACC;PL;PRO ADP DET;INDF ADJ;CMPR N;SG _
carroll put on his pants , admiring the crease .	carroll put on his pant , admire the crease .	PROPN;SG FIN;IND;PST;V ADP 3;MASC;PRO;SG N;PL _ V;V.MSDR DEF;DET N;SG _
topless sunbathing is common by western women at many tourist beaches .	topless sunbathe be common by western woman at many tourist beach .	ADJ V;V.MSDR 3;FIN;IND;PRS;SG;V ADJ ADP ADJ N;PL ADP ADJ N;SG N;PL _
