ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
har berre sokke rett ned ?	ha berre søkke rett ned $?	FIN;IND;PRS;V ADV V;V.PTCP ADJ;INDF;NEUT;SG ADP _
var norske det vesentlege det var sånn .	vere norsk det vesentleg det vere sånn $.	FIN;IND;PST;V ADJ;PL DET;NEUT;SG ADJ;DEF;SG 3;NEUT;PRO;SG FIN;IND;PST;V ADV _
ja han hadde nå same luten han òg men så hadde han òg bruket .	ja han ha nå same lut han òg men så ha han òg bruk $.	INTJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADV DEF;DET DEF;MASC;N;SG 3;MASC;NOM;PRO;SG ADV CONJ ADV FIN;IND;PST;V 3;MASC;NOM;PRO;SG ADV DEF;N;NEUT;SG _
ja ja # .	ja ja # $.	INTJ INTJ _ _
det var jo # billig for så vidt for veden var jo billig og berre han fekk s- til # oreved .	det vere jo # billig for så vid for ved vere jo billig og berre han få s- til # oreved $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV _ ADJ;INDF;NEUT;SG ADP ADV ADJ;INDF;NEUT;SG ADP DEF;MASC;N;SG FIN;IND;PST;V ADV ADJ;INDF;SG CONJ ADV 3;MASC;NOM;PRO;SG FIN;IND;PST;V _ ADP _ INDF;MASC;N;SG _
ja visst .	ja visst $.	INTJ ADV _
var større doryar òg da .	vere stor dory òg da $.	FIN;IND;PST;V ADJ INDF;MASC;N;PL ADV ADV _
så han er omkommen der utpå .	så han vere omkomme der utpå $.	CONJ 3;MASC;NOM;PRO;SG FIN;IND;PRS;V ADJ;INDF;SG ADV ADP _
du måtte opp og fyre om morgonen da ?	du måtte opp og fyre om morgon da $?	2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP CONJ NFIN;V ADP DEF;MASC;N;SG ADV _
ja .	ja $.	INTJ _
ja vel .	ja vel $.	INTJ ADV _
det var bilkjøring og # og jordbruk og .	det vere bilkjøring og # og jordbruk og $.	3;NEUT;PRO;SG FIN;IND;PST;V FEM;INDF;N;SG CONJ _ CONJ INDF;N;NEUT;SG CONJ _
ja det er synd at det skal vere slik .	ja det vere synd at det skulle vere slik $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V FEM;INDF;N;SG CONJ 3;NEUT;PRO;SG FIN;IND;PRS;V NFIN;V ADV _
og det var ei stong # ei jernstong i den enden så dei halte ut imot # orkastebåten .	og det vere ein stong # ein jernstong i den ende så dei hale ut imot # orkestebåt $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;FEM;SG FEM;INDF;N;SG _ DET;FEM;SG FEM;INDF;N;SG ADP DET;MASC;SG DEF;MASC;N;SG CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP ADP _ DEF;MASC;N;SG _
så det var stans ?	så det vere stans $?	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V INDF;MASC;N;SG _
for den der der .	for den der der $.	ADP 3;NOM;PRO;SG ADV ADV _
det var jo lettvint ja .	det vere jo lettvinn ja $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG INTJ _
ja .	ja $.	INTJ _
ja da var vi under krigen # ja ja .	ja da vere vi under krig # ja ja $.	INTJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP DEF;MASC;N;SG _ INTJ INTJ _
mm mm mm ja da .	mm mm mm ja da $.	INTJ INTJ INTJ INTJ ADV _
det måtte vi lesse utor sjølv ja .	det måtte vi lesse utor sjølv ja $.	3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PL;PRO NFIN;V ADP ADV INTJ _
mm # ja ## ja vel .	mm # ja ## ja vel $.	INTJ _ INTJ _ INTJ ADV _
e ja da hadde dei håvar # som vi # gjorde først eit orkast .	e ja da ha dei håv # som vi # gjere først ein _ $.	_ INTJ ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO INDF;MASC;N;PL _ PRO 1;HUM;NOM;PL;PRO _ FIN;IND;PST;V ADV DET;NEUT;SG N _
eg veit ikkje .	eg vite ikkje $.	1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART _
mm .	mm $.	INTJ _
korleis fekk du det opp e utan stenger da ?	korleis få du det opp e utan stong da $?	ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG 3;NEUT;PRO;SG ADP _ ADP FEM;INDF;N;PL ADV _
mm .	mm $.	INTJ _
# båten har fått ein lekkasje så # vere noko anna det er ikkje så godt å seie kva det kan vere .	# båt ha få ein lekkasje så # vere nokon annan det vere ikkje så god å seie kva det kunne vere $.	_ DEF;MASC;N;SG FIN;IND;PRS;V V;V.PTCP DET;MASC;SG INDF;MASC;N;SG ADV _ NFIN;V DET;NEUT;SG DET;INDF;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PRS;V NEG;PART ADV ADJ;INDF;NEUT;SG PART NFIN;V PRO 3;NEUT;PRO;SG FIN;IND;PRS;V NFIN;V _
at dei var så fæle til å synge og song og det var sånt liv med det derre der .	at dei vere så fæl til å synge og synge og det vere sånn liv med det derre der $.	CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV ADJ;PL CONJ PART NFIN;V CONJ FIN;IND;PST;V CONJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;NEUT;SG INDF;N;NEUT;SG ADP 3;NEUT;PRO;SG ADV ADV _
i niogtjue # eg trur ikkje eg var med og leverte # før i niogtjue hektoliter .	i niogtjue # eg tru ikkje eg vere med og levere # før i niogtjue hektoliter $.	ADP NUM;PL _ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP CONJ FIN;IND;PST;V _ ADP ADP NUM;PL INDF;MASC;N;PL _
men om helgene da ?	men om helg da $?	CONJ ADP DEF;FEM;N;PL ADV _
ja vel .	ja vel $.	INTJ ADV _
ja vel ja .	ja vel ja $.	INTJ ADV INTJ _
somme det var heller da at dei hadde mange nøter så vart kasta etter einannan liksom # skøytte og .	somme det vere heller da at dei ha mange not så bli kaste etter einannan liksom # skøyte og $.	3;NOM;PL;PRO 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADV CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADJ;PL FEM;INDF;N;PL ADV FIN;IND;PST;V V;V.PTCP CONJ HUM;NOM;PL;PRO ADV _ FIN;IND;PST;V CONJ _
hadde du tid til noko meir da ?	ha du tid til nokon mykje da $?	FIN;IND;PST;V 2;HUM;NOM;PRO;SG FEM;INDF;N;SG ADP DET;NEUT;SG ADJ ADV _
ja # eller i e # sperra langt utigjennom og .	ja # eller i e # sperre lang utigjennom og $.	INTJ _ CONJ ADP _ _ FIN;IND;PST;V ADJ;INDF;NEUT;SG ADP CONJ _
ja .	ja $.	INTJ _
var det han spurde etter da spesielt ?	vere det han spørje etter da spesiell $?	FIN;IND;PST;V 3;NEUT;PRO;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP ADV ADJ;INDF;NEUT;SG _
.	$.	_
å ja .	å ja $.	INTJ INTJ _
ja var det mykje # var det mykje sånne # rare folk inni der # i byen ?	ja vere det mykje # vere det mykje sånn # rar folk inni der # i by $?	INTJ FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;INDF;NEUT;SG _ FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;INDF;NEUT;SG DET;PL _ ADJ;PL INDF;N;NEUT;PL ADP ADV _ ADP DEF;MASC;N;SG _
ja .	ja $.	INTJ _
ja # var det på landnot så var det seks mann så rodde og så var det to så # kasta nota .	ja # vere det på landnot så vere det seks mann så ro og så vere det to så # kaste not $.	INTJ _ FIN;IND;PST;V 3;NEUT;PRO;SG ADP FEM;INDF;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG NUM;PL INDF;MASC;N;SG CONJ FIN;IND;PST;V CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG NUM;PL CONJ _ FIN;IND;PST;V DEF;FEM;N;SG _
eg veit ikkje for dei yngre som veks # til så kan det jo vere # dei synest nå at det var slik # at ja # eg veit ikkje kva eg skal seie om .	eg vite ikkje for dei ung som vekse # til så kunne det jo vere # dei synast nå at det vere slik # at ja # eg vite ikkje kva eg skulle seie om $.	1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART ADP DET;PL ADJ PRO FIN;IND;PRS;V _ ADP ADV FIN;IND;PRS;V 3;NEUT;PRO;SG ADV NFIN;V _ 3;HUM;NOM;PL;PRO FIN;IND;PRS;V ADV CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV _ CONJ INTJ _ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART PRO 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NFIN;V ADP _
jaha .	jaha $.	INTJ _
mhm .	mhm $.	INTJ _
mykje kosta det å komme inn på festen da ?	mykje koste det å komme inn på fest da $?	ADJ;INDF;NEUT;SG FIN;IND;PST;V 3;NEUT;PRO;SG PART NFIN;V ADP ADP DEF;MASC;N;SG ADV _
sånn var det # og ferietida veit du # da var det jo gørmykje folk # som dei måtte køyre .	sånn vere det # og ferietid vite du # da vere det jo gørmykje folk # som dei måtte køyre $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG _ CONJ DEF;FEM;N;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG _ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV ADJ;PL INDF;N;NEUT;PL _ PRO 3;HUM;NOM;PL;PRO FIN;IND;PST;V NFIN;V _
det var tungvint? ja # det var e tungvint .	det vere tungvint ja # det vere e tungvint $.	3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG INTJ _ 3;NEUT;PRO;SG FIN;IND;PST;V _ ADJ;INDF;NEUT;SG _
til å begynne med # så gjekk han opp i ein seks sju øre og .	til å begynne med # så gå han opp i ein seks sju øre og $.	ADP PART NFIN;V ADP _ ADV FIN;IND;PST;V 3;MASC;NOM;PRO;SG ADP ADP DET;MASC;SG NUM;PL NUM;PL INDF;N;NEUT;PL CONJ _
mm .	mm $.	INTJ _
trettande desember kan du seie på datoen ja det kan du seie ## ja .	trettande desember kunne du seie på dato ja det kunne du seie ## ja $.	ADJ;PL INDF;MASC;N;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG NFIN;V ADP DEF;MASC;N;SG INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG NFIN;V _ INTJ _
og e1 da ?	og e1 da $?	CONJ PROPN ADV _
jaha .	jaha $.	INTJ _
men det stemte jo ikkje bestandig det gjorde det ikkje # men gjekk jo godt .	men det stemme jo ikkje bestandig det gjere det ikkje # men gå jo god $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV NEG;PART ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG NEG;PART _ CONJ FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG _
for å få e # for å komme til noko større materiell .	for å få e # for å komme til nokon stor materiell $.	ADP PART NFIN;V _ _ ADP PART NFIN;V ADP DET;NEUT;SG ADJ INDF;N;NEUT;SG _
da møtte eg e- s- e- b- var eg opp i askim ved fossumbrua .	da møte eg e- s- e- b- vere eg opp i askim ved fossumbrua $.	ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG _ _ _ _ FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADP ADP PROPN ADP PROPN _
dei største båtane dei # på banken og dei minste var nærare land .	dei stor båt dei # på bank og dei liten vere nær land $.	DET;PL ADJ;DEF;RL DEF;MASC;N;PL 3;HUM;NOM;PL;PRO _ ADP DEF;MASC;N;SG CONJ DET;PL ADJ;DEF;RL FIN;IND;PST;V ADP INDF;N;NEUT;PL _
ja mm .	ja mm $.	INTJ INTJ _
med mjølka .	med mjølk $.	ADP DEF;FEM;N;SG _
laut du levere til guano så kom det nå .	lyte du levere til guano så komme det nå $.	FIN;IND;PST;V 2;HUM;NOM;PRO;SG NFIN;V ADP INDF;MASC;N;SG CONJ FIN;IND;PST;V 3;NEUT;PRO;SG ADV _
mm ## ja .	mm ## ja $.	INTJ _ INTJ _
ja # nordre langgata .	ja # nordre langgata $.	INTJ _ ADJ;INDF;SG PROPN _
aldri noko sunde og viss om dei rauk så kunne du berre ta ein ståltråd sette på så gjekk den igjen .	aldri nokon sund og viss om dei ryke så kunne du berre ta ein ståltråd sette på så gå den igjen $.	ADV DET;NEUT;SG ADJ;PL CONJ CONJ CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADV NFIN;V DET;MASC;SG INDF;MASC;N;SG FIN;IND;PST;V ADP ADV FIN;IND;PST;V 3;ACC;PRO;SG ADV _
ja .	ja $.	INTJ _
attved da hadde vi jo spanna altså .	attved da ha vi jo spann altså $.	ADP ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADV DEF;N;NEUT;PL ADV _
mm .	mm $.	INTJ _
ja # kasta .	ja # kaste $.	INTJ _ FIN;IND;PST;V _
over heile på slutten .	over heil på slutt $.	ADP ADJ;PL ADP DEF;MASC;N;SG _
det var nå gjerne ein ut og ein lettbåt så kom inn og kasta med .	det vere nå gjerne ein ut og ein lettbåt så komme inn og kaste med $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV ADV HUM;NOM;PRO;SG ADP CONJ DET;MASC;SG INDF;MASC;N;SG ADV FIN;IND;PST;V ADP CONJ FIN;IND;PST;V ADP _
å .	å $.	INTJ _
ja .	ja $.	INTJ _
eller så går ja # så hadde dei fiske og det var nå ikkje så bra dei var nå mykje utsette der altså det var jo båtar som kom heilt bort på den måten veit dei korleis det har foregått veit ingen som veit .	eller så gå ja # så ha dei fiske og det vere nå ikkje så bra dei vere nå mykje utsett der altså det vere jo båt som komme heil bort på den måte vite dei korleis det ha foregå vite ingen som vite $.	CONJ ADV FIN;IND;PRS;V INTJ _ ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO INDF;N;NEUT;PL CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV NEG;PART ADV ADJ;INDF;NEUT;SG 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG ADJ;PL ADV ADV 3;NEUT;PRO;SG FIN;IND;PST;V ADV INDF;MASC;N;PL PRO FIN;IND;PST;V ADJ;INDF;NEUT;SG ADP ADP DET;MASC;SG DEF;MASC;N;SG FIN;IND;PRS;V 3;HUM;NOM;PL;PRO ADV 3;NEUT;PRO;SG FIN;IND;PRS;V V;V.PTCP FIN;IND;PRS;V 3;ACC;MASC;NEG;PRO;SG PRO FIN;IND;PRS;V _
nei det er det ikkje nei da det er det ikkje .	nei det vere det ikkje nei da det vere det ikkje $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V 3;NEUT;PRO;SG NEG;PART INTJ ADV 3;NEUT;PRO;SG FIN;IND;PRS;V 3;NEUT;PRO;SG NEG;PART _
dei kom hit med eg hadde e # ein rapt- ein sånn ein e .	dei komme hit med eg ha e # ein rapt- ein sånn ein e $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV ADP 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ _ DET;MASC;SG _ DET;MASC;SG DET;MASC;SG HUM;NOM;PRO;SG _ _
jaså .	jaså $.	INTJ _
å da måtte gutane stå på # foran .	å da måtte gut stå på # foran $.	INTJ ADV FIN;IND;PST;V DEF;MASC;N;PL NFIN;V ADP _ ADP _
ja eg i alle fall .	ja eg i all fall $.	INTJ 1;HUM;NOM;PRO;SG ADP DET;PL INDF;N;NEUT;PL _
det var den siste han kom og gjekk forbi dei og spurde # etter sa han leita etter øre det er det siste # elles så veit eg ikkje noko .	det vere den sist han komme og gå forbi dei og spørje # etter seie han leite etter øre det vere det sist # elles så vite eg ikkje noko $.	3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG ADJ;DEF;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V ADP 3;ACC;HUM;PL;PRO CONJ FIN;IND;PST;V _ ADP FIN;IND;PST;V 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP INDF;MASC;N;PL 3;NEUT;PRO;SG FIN;IND;PRS;V DET;NEUT;SG ADJ;DEF;SG _ ADV ADV FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NEG;PART 3;ACC;NEUT;PRO;SG _
ja det var e selvfølgelig var det det # det var jo ein del .	ja det vere e selvfølgelig vere det det # det vere jo ein del $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V _ ADV FIN;IND;PST;V 3;NEUT;PRO;SG 3;NEUT;PRO;SG _ 3;NEUT;PRO;SG FIN;IND;PST;V ADV DET;MASC;SG INDF;MASC;N;SG _
og så e # tente vi opp den om morgonen å s- fyrte opp så vi fekk gass t- på den måten å så reiste vi .	og så e # tenne vi opp den om morgon å s- fyre opp så vi få gass t- på den måte å så reise vi $.	CONJ ADV _ _ FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP 3;ACC;PRO;SG ADP DEF;MASC;N;SG INTJ _ FIN;IND;PST;V ADP ADV 1;HUM;NOM;PL;PRO FIN;IND;PST;V INDF;MASC;N;SG _ ADP DET;MASC;SG DEF;MASC;N;SG INTJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO _
så møttest dei da i ?	så møtast dei da i $?	ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO ADV ADP _
så det gjekk bra det køyrde eg ein masse # kvar helg .	så det gå bra det køyre eg ein masse # kvar helg $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG DET;MASC;SG INDF;MASC;N;SG _ DET;FEM;SG FEM;INDF;N;SG _
ja du hadde ikkje noko med den å gjera du ?	ja du ha ikkje noko med den å gjere du $?	INTJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V NEG;PART 3;ACC;NEUT;PRO;SG ADP 3;NOM;PRO;SG PART NFIN;V 2;HUM;NOM;PRO;SG _
det var vel kanskje skal seie # ja ja eg kan jo .	det vere vel kanskje skulle seie # ja ja eg kunne jo $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV ADV FIN;IND;PRS;V NFIN;V _ INTJ INTJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V ADV _
dei seier « elleve » ?	dei seie « elleve » $?	3;HUM;NOM;PL;PRO FIN;IND;PRS;V _ NUM;PL _ _
han m9 for eksempel på mysen han dreiv og kjøpte dreiv jo slaktebutikk .	han m9 for eksempel på mysen han drive og kjøpe drive jo slaktebutikk $.	3;MASC;NOM;PRO;SG PROPN ADP INDF;N;NEUT;PL ADP PROPN 3;MASC;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V FIN;IND;PST;V ADV INDF;MASC;N;SG _
ja .	ja $.	INTJ _
mo i rana .	mo i rana $.	PROPN ADP PROPN _
ja .	ja $.	INTJ _
så det var ikkje noko særleg # enn e .	så det vere ikkje nokon særleg # enn e $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART DET;NEUT;SG ADJ;INDF;NEUT;SG _ ADP _ _
ja .	ja $.	INTJ _
ja # men # ja .	ja # men # ja $.	INTJ _ CONJ _ INTJ _
e m2 # var med mykje .	e m2 # vere med mykje $.	_ PROPN _ FIN;IND;PST;V ADP ADJ;INDF;NEUT;SG _
det e trur eg ikkje .	det e tru eg ikkje $.	3;NEUT;PRO;SG _ FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NEG;PART _
dei kom på staden dei òg ?	dei komme på stad dei òg $?	3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP DEF;MASC;N;SG 3;HUM;NOM;PL;PRO ADV _
som oftast # du veit at der er betre sjå det # i fjernsynet .	som ofte # du vite at der vere god sjå det # i fjernsyn $.	ADP ADJ;RL _ 2;HUM;NOM;PRO;SG FIN;IND;PRS;V CONJ ADV FIN;IND;PRS;V ADJ NFIN;V 3;NEUT;PRO;SG _ ADP DEF;N;NEUT;SG _
e når tid han # han flytta til vadsø det kan eg ikkje seie men omkring # ja # omkring århundreskiftet .	e når tid han # han flytte til vadsø det kunne eg ikkje seie men omkring # ja # omkring århundreskift $.	_ CONJ FEM;INDF;N;SG 3;MASC;NOM;PRO;SG _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP PROPN 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NEG;PART NFIN;V CONJ ADP _ INTJ _ ADP DEF;N;NEUT;SG _
ja # # ja .	ja # # ja $.	INTJ _ _ INTJ _
og når ho gjorde slik opp og så ned så var neste mann på hi side og så var det han oppe # og ned .	og når ho gjere slik opp og så ned så vere neste mann på hin side og så vere det han oppe # og ned $.	CONJ CONJ 3;FEM;NOM;PRO;SG FIN;IND;PST;V ADV ADP CONJ ADV ADP ADV FIN;IND;PST;V ADJ;INDF;NEUT;SG INDF;MASC;N;SG ADP DET;FEM;SG FEM;INDF;N;SG CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG 3;ACC;MASC;PRO;SG ADP _ CONJ ADP _
baggetorp og .	baggetorp og $.	PROPN CONJ _
for eg skulle jo vere f- # ferdig eg au da .	for eg skulle jo vere f- # ferdig eg au da $.	CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV NFIN;V _ _ ADJ;INDF;NEUT;SG 1;HUM;NOM;PRO;SG ADV ADV _
jaså # du # var du sjuk nokon gong når du dreiv og køyrde # måtte du # var du sjuk .	jaså # du # vere du sjuk nokon gong når du drive og køyre # måtte du # vere du sjuk $.	ADV _ 2;HUM;NOM;PRO;SG _ FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADJ;INDF;SG DET;MASC;SG INDF;MASC;N;SG CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V _ FIN;IND;PST;V 2;HUM;NOM;PRO;SG _ FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADJ;INDF;SG _
kven da han .	kven da han $.	ACC;HUM;PRO ADV 3;MASC;NOM;PRO;SG _
det var folk som budde i oslo .	det vere folk som bu i oslo $.	3;NEUT;PRO;SG FIN;IND;PST;V INDF;N;NEUT;PL PRO FIN;IND;PST;V ADP PROPN _
mm .	mm $.	INTJ _
e ja eg hadde vegarbeid innimellom jobb # berre når eg var på fiske sånn så .	e ja eg ha vegarbeid innimellom jobb # berre når eg vere på fiske sånn så $.	_ INTJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V INDF;N;NEUT;PL ADP INDF;MASC;N;SG _ ADV CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP INDF;N;NEUT;PL ADV ADV _
mm .	mm $.	INTJ _
da kunne eg køyre .	da kunne eg køyre $.	ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG NFIN;V _
dei var evakuerte i # førti om # våren det var vel ja omkring .	dei vere evakuere i # førti om # vår det vere vel ja omkring $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V ADJ;PL ADP _ NUM;PL ADP _ DEF;MASC;N;SG 3;NEUT;PRO;SG FIN;IND;PST;V ADV INTJ ADP _
ja det hugsar eg # det trur eg heilt borte nå .	ja det hugse eg # det tru eg heil borte nå $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG _ 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG ADJ;INDF;NEUT;SG ADP ADV _
og skulle reise heim om laurdagen .	og skulle reise heim om laurdag $.	CONJ FIN;IND;PST;V NFIN;V ADP ADP DEF;MASC;N;SG _
blei vi kontrollert # når vi # især når vi reiste heim .	bli vi kontrollere # når vi # især når vi reise heim $.	FIN;IND;PST;V 1;HUM;NOM;PL;PRO V;V.PTCP _ CONJ 1;HUM;NOM;PL;PRO _ ADV CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP _
å da var det mykje uhell og greier for det at det var e # den var det ingen som hadde maken til .	å da vere det mykje uhell og greie for det at det vere e # den vere det ingen som ha make til $.	INTJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADJ;PL INDF;N;NEUT;PL CONJ FEM;INDF;N;PL CONJ 3;NEUT;PRO;SG CONJ 3;NEUT;PRO;SG FIN;IND;PST;V _ _ 3;NOM;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG 3;NEG;NOM;PL;PRO PRO FIN;IND;PST;V DEF;MASC;N;SG ADP _
ja .	ja $.	INTJ _
mm .	mm $.	INTJ _
så eg køyrde på dieselolje .	så eg køyre på dieselolje $.	CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP FEM;INDF;N;SG _
jaså .	jaså $.	ADV _
sjuogførti da var vi # med f3 på håkjerringfiske ## par gongar sjuogførti # og åttogførti .	sjuogførti da vere vi # med f3 på håkjerringfiske ## par gong sjuogførti # og åtteogførti $.	NUM;PL ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO _ ADP PROPN ADP INDF;N;NEUT;PL _ INDF;N;NEUT;PL INDF;MASC;N;PL NUM;PL _ CONJ NUM;PL _
ja da .	ja da $.	INTJ ADV _
ja .	ja $.	INTJ _
ja det er mange slags det .	ja det vere mange slags det $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V ADJ;DEF;SG N;NEUT 3;NEUT;PRO;SG _
dei dreiv hadde ikkje noko anna enn mjølk å .	dei drive ha ikkje nokon annan enn mjølk å $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V FIN;IND;PST;V NEG;PART DET;NEUT;SG DET;NEUT;SG ADP FEM;INDF;N;SG PART _
kan jo med dieselen nå det var jo ikkje .	kunne jo med diesel nå det vere jo ikkje $.	FIN;IND;PRS;V ADV ADP DEF;MASC;N;SG ADV 3;NEUT;PRO;SG FIN;IND;PST;V ADV NEG;PART _
da e # da blei vi tatt # og da blei dei køyrt ned på hotellet på mysen .	da e # da bli vi ta # og da bli dei køyre ned på hotell på mysen $.	ADV _ _ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO V;V.PTCP _ CONJ ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO V;V.PTCP ADP ADP DEF;N;NEUT;SG ADP PROPN _
kom det bilar frå heile austlandet dit da ?	komme det bil frå heil austlandet dit da $?	FIN;IND;PST;V 3;NEUT;PRO;SG INDF;MASC;N;PL ADP ADJ;PL PROPN ADV ADV _
og den e # nummer to av barna # dei har ei forretning lita kolonialforretning her i # ganske nedi byens sentrum .	og den e # nummer to av barn # dei ha ein forretning liten kolonialforretning her i # ganske nedi by sentrum $.	CONJ 3;NOM;PRO;SG _ _ INDF;N;NEUT;SG NUM;PL ADP DEF;N;NEUT;PL _ 3;HUM;NOM;PL;PRO FIN;IND;PRS;V DET;FEM;SG FEM;INDF;N;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG ADV ADP _ ADV ADP DEF;MASC;N;SG INDF;N;NEUT;SG _
så vi hadde a- hadde spann nok e # heime .	så vi ha a- ha spann nok e # heime $.	CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V _ FIN;IND;PST;V INDF;N;NEUT;PL ADV _ _ ADP _
.	$.	_
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
.	$.	_
m2 ja det er søskenbarnet mitt .	m2 ja det vere søskenbarn min $.	PROPN INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V DEF;N;NEUT;SG NEUT;PRO;SG _
