в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
дать настояться ( 3 часа ) .	дать настояться ( 3 час ) .	ACT;NFIN;PFV;V IPFV;MID;NFIN;V _ NUM GEN;INAN;MASC;N;SG _ _
потому что сценарий 2013 писали у меня на глазах еще в 2004 .	потому что сценарий 2013 писать у я на глаз еще в 2004 .	ADV CONJ ACC;INAN;MASC;N;SG ADJ ACT;FIN;IND;IPFV;PL;PST;V ADP 1;GEN;PRO;SG ADP ESS;INAN;MASC;N;PL ADV ADP ADJ _
вход свободный !	вход свободный !	INAN;MASC;N;NOM;SG ADJ;MASC;NOM;SG _
6 декабря ( вт ) в 19:00	6 декабрь ( вторник ) в 19:00	ADJ GEN;INAN;MASC;N;SG _ N _ ADP _
преодолевая сопротивление напряженных мышц шеи , прижать подбородок к яремной ямке .	преодолевать сопротивление напряженный мышца шея , прижать подбородок к яремный ямка .	ACT;IPFV;PRS;V;V.CVB ACC;INAN;N;NEUT;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL FEM;GEN;INAN;N;SG _ ACT;NFIN;PFV;V ACC;INAN;MASC;N;SG ADP ADJ;DAT;FEM;SG DAT;FEM;INAN;N;SG _
😍 южные закаты прекрасны ) 😍 #сукко	😍 южный закат прекрасный ) 😍 #сукко	_ ADJ;NOM;PL INAN;MASC;N;NOM;PL ADJ;PL _ _ _
но лично для меня он омерзительный манипулятор .	но лично для я он омерзительный манипулятор .	CONJ ADV ADP 1;GEN;PRO;SG 3;MASC;NOM;PRO;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _
о , как же вы доверяли мне , стада мои и сады !	о , как же вы доверять я , стадо мой и сад !	INTJ _ ADV PART 2;NOM;PL;PRO ACT;FIN;IND;IPFV;PL;PST;V 1;DAT;PRO;SG _ INAN;N;NEUT;NOM;PL DET;NOM;PL CONJ INAN;MASC;N;NOM;PL _
тогдашний глав. мент чичин пригрозил , что .... возбудит уголовное дело на меня !	тогдашний главный мент чичин пригрозить , что .... возбудить уголовный дело на я !	ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ACT;FIN;IND;MASC;PFV;PST;SG;V _ CONJ _ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;NEUT;NOM;SG ACC;INAN;N;NEUT;SG ADP 1;ACC;PRO;SG _
rt @xxxxxx : в волгограде " яблоко " собирается пробиться в госдуму " с помощью ручек , ножек	rt @xxxxxx : в волгоград " яблоко " собираться пробиться в госдума " с помощь ручка , ножка	N _ _ ADP ESS;INAN;MASC;PROPN;SG _ INAN;NEUT;NOM;PROPN;SG _ 3;FIN;IND;IPFV;MID;PRS;SG;V MID;NFIN;PFV;V ADP ACC;FEM;INAN;PROPN;SG _ ADP FEM;INAN;INS;N;SG FEM;GEN;INAN;N;PL _ FEM;GEN;INAN;N;PL
2 ) в друзьях у вас должно быть не менее 30-ти человек .	2 ) в друг у вы должен быть не менее 30-ть человек .	NUM _ ADP ANIM;ESS;MASC;N;PL ADP 2;GEN;PL;PRO ADJ;NEUT;SG ACT;IPFV;NFIN;V NEG;PART ADV;CMPR GEN;NUM ANIM;GEN;MASC;N;PL _
сегодня в 21,00 ждём в прямом эфире !	сегодня в 21,00 ждать в прямой эфир !	ADV ADP _ 1;ACT;FIN;IND;IPFV;PL;PRS;V ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG _
арбузные корки 1 кг	арбузный корка 1 килограмм	ADJ;NOM;PL FEM;INAN;N;NOM;PL NUM GEN;INAN;MASC;N;PL
а потому , что то нквд сейчас называется " единая россия " .	а потому , что тот нквд сейчас называться " единый россия " .	CONJ ADV _ CONJ DET;NEUT;NOM;SG INAN;MASC;NOM;PROPN;SG ADV 3;FIN;IND;IPFV;MID;PRS;SG;V _ ADJ;FEM;NOM;SG FEM;INAN;NOM;PROPN;SG _ _
- улыбнуться , открыть рот	- улыбнуться , открыть рот	_ MID;NFIN;PFV;V _ ACT;NFIN;PFV;V ACC;INAN;MASC;N;SG
сироп кофейный	сироп кофейный	INAN;MASC;N;NOM;SG ADJ;MASC;NOM;SG
я очень жду новогоднюю речь путина .	я очень ждать новогодний речь путин .	1;NOM;PRO;SG ADV 1;ACT;FIN;IND;IPFV;PRS;SG;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _
сразу при регистрации ты получаешь ваучер на 20 евро , а потом еще бонусы за приглашенных друзей .	сразу при регистрация ты получать ваучер на 20 евро , а потом еще бонус за пригласить друг .	ADV ADP ESS;FEM;INAN;N;SG 2;NOM;PRO;SG 2;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG ADP NUM GEN;INAN;MASC;N;PL _ CONJ ADV ADV INAN;MASC;N;NOM;PL ADP GEN;PASS;PFV;PL;PST;V;V.PTCP ANIM;GEN;MASC;N;PL _
да , женя , у меня тоже поначалу были недоуменные мысли - как воцерковленный человек , матушка , которому положено быть скромным , не на виду , держаться подальше от мира и тем более не быть связанной политикой , быть не от мира , вдруг пошел в политику , в партию , депутаты и т. д. - это же вопреки всем библейским заветам .	да , женя , у я тоже поначалу быть недоуменный мысль - как воцерковленный человек , матушка , который положенный быть скромный , не на вид , держаться далеко от мир и то более не быть связанный политика , быть не от мир , вдруг пойти в политика , в партия , депутат и так далее - это же вопреки весь библейский завет .	PART _ ANIM;MASC;NOM;PROPN;SG _ ADP 1;GEN;PRO;SG PART ADV ACT;FIN;IND;IPFV;PL;PST;V ADJ;NOM;PL FEM;INAN;N;NOM;PL _ ADV ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ ANIM;FEM;N;NOM;SG _ DAT;PRO ADJ;NEUT;SG ACT;IPFV;NFIN;V ADJ;INS;MASC;SG _ NEG;PART ADP ESS;INAN;MASC;N;SG _ IPFV;MID;NFIN;V ADV;CMPR ADP GEN;INAN;MASC;N;SG CONJ INAN;INS;NEUT;PRO;SG ADV;CMPR NEG;PART ACT;IPFV;NFIN;V ADJ;FEM;INS;SG FEM;INAN;INS;N;SG _ ACT;IPFV;NFIN;V NEG;PART ADP GEN;INAN;MASC;N;SG _ ADV ACT;FIN;IND;MASC;PFV;PST;SG;V ADP ACC;FEM;INAN;N;SG _ ADP ACC;FEM;INAN;N;SG _ ANIM;MASC;N;NOM;PL CONJ ADV ADV _ INAN;NEUT;NOM;PRO;SG PART ADP DAT;DET;PL ADJ;DAT;PL DAT;INAN;MASC;N;PL _
но я уверена , женя , что бог творил чудеса , и оберегал подопечных анны от телегонии и никто из них об этом не слышал из уст матушки анны .	но я уверенный , женя , что бог творить чудо , и оберегать подопечный анна от телегония и никто из они об это не слышать из уста матушка анна .	CONJ 1;NOM;PRO;SG ADJ;FEM;SG _ ANIM;MASC;NOM;PROPN;SG _ CONJ ANIM;MASC;N;NOM;SG ACT;FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;N;NEUT;PL _ CONJ ACT;FIN;IND;IPFV;MASC;PST;SG;V ACC;ANIM;MASC;N;PL ANIM;FEM;GEN;PROPN;SG ADP FEM;GEN;INAN;N;SG CONJ NOM;PRO ADP 3;GEN;PL;PRO ADP ESS;INAN;NEUT;PRO;SG NEG;PART ACT;FIN;IND;IPFV;MASC;PST;SG;V ADP GEN;INAN;N;NEUT;PL ANIM;FEM;GEN;N;SG ANIM;FEM;GEN;PROPN;SG _
я думаю вам известен опыт предков , по освоению целины именно типовыми проектами сельхозпроизводств .	я думать вы известный опыт предок , по освоение целина именно типовый проект сельхозпроизводство .	1;NOM;PRO;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V 2;DAT;PL;PRO ADJ;MASC;SG INAN;MASC;N;NOM;SG ANIM;GEN;MASC;N;PL _ ADP DAT;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG PART ADJ;INS;PL INAN;INS;MASC;N;PL GEN;INAN;N;NEUT;PL _
прошу молиться за мою семью так как голод в семье порой даже хлеба не бывает дома и проблема с финансами не на что купить продукты	просить молиться за мой семья так как голод в семья порой даже хлеб не бывать дома и проблема с финансы не на что купить продукт	1;ACT;FIN;IND;IPFV;PRS;SG;V IPFV;MID;NFIN;V ADP ACC;DET;FEM;SG ACC;FEM;INAN;N;SG ADV CONJ INAN;MASC;N;NOM;SG ADP ESS;FEM;INAN;N;SG ADV PART GEN;INAN;MASC;N;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV CONJ FEM;INAN;N;NOM;SG ADP INAN;INS;MASC;N;PL NEG;PART ADP ACC;INAN;NEUT;PRO;SG ACT;NFIN;PFV;V ACC;INAN;MASC;N;PL
- масло сливочное - 100 гр. ,	- масло сливочный - 100 грамм ,	_ INAN;N;NEUT;NOM;SG ADJ;NEUT;NOM;SG _ NUM N _
ты и есть тот змей в золотом луче на величественном гербе !	ты и быть тот змей в золотой луч на величественный герб !	2;NOM;PRO;SG PART 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;MASC;NOM;SG ANIM;MASC;N;NOM;SG ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG _
ширина отельного модуля : 71 см	ширина отельный модуль : 71 сантиметр	FEM;INAN;N;NOM;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ NUM ESS;INAN;MASC;N;PL
желательно , чтобы сироп из сахара и сока был вровень с корочками .	желательный , чтобы сироп из сахар и сок быть вровень с корочка .	ADJ;NEUT;SG _ COND;CONJ INAN;MASC;N;NOM;SG ADP GEN;INAN;MASC;N;SG CONJ GEN;INAN;MASC;N;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V ADV ADP FEM;INAN;INS;N;PL _
так что , спор бессмыслен .	так что , спор бессмысленный .	ADV CONJ _ INAN;MASC;N;NOM;SG ADJ;MASC;SG _
не ропщи , не смей , не дыши вообще , не крутись в напрасной борьбе !	не роптать , не сметь , не дышать вообще , не крутиться в напрасный борьба !	NEG;PART 2;ACT;FIN;IMP;IPFV;SG;V _ NEG;PART 2;ACT;FIN;IMP;IPFV;SG;V _ NEG;PART 2;ACT;FIN;IMP;IPFV;SG;V ADV _ NEG;PART 2;FIN;IMP;IPFV;MID;SG;V ADP ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG _
следите за обновлениями :)	следить за обновление :)	2;ACT;FIN;IMP;IPFV;PL;V ADP INAN;INS;N;NEUT;PL _
нанесение жидких обоев от компании элит-декор .	нанесение жидкий обои от компания элит-декор .	INAN;N;NEUT;NOM;SG ADJ;GEN;PL GEN;INAN;MASC;N;PL ADP FEM;GEN;INAN;N;SG INAN;MASC;NOM;PROPN;SG _
только семь народов имеют численность более одного миллиона -- русские , татары , украинцы , башкиры , чуваши , чеченцы и армяне .	только семь народ иметь численность более один миллион -- русский , татарин , украинец , башкир , чуваш , чеченец и армянин .	PART NOM;NUM GEN;INAN;MASC;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;FEM;INAN;N;SG ADV;CMPR GEN;MASC;NUM GEN;INAN;MASC;N;SG _ ANIM;MASC;N;NOM;PL _ ANIM;MASC;N;NOM;PL _ ANIM;MASC;N;NOM;PL _ ANIM;MASC;N;NOM;PL _ ANIM;MASC;N;NOM;PL _ ANIM;MASC;N;NOM;PL CONJ ANIM;MASC;N;NOM;PL _
1 ) шведская стенка	1 ) шведский стенка	NUM _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG
а когда им надо были голоса , то приезжали и обещали посодействовать в ремонте .	а когда они надо быть голос , то приезжать и обещать посодействовать в ремонт .	CONJ CONJ 3;DAT;PL;PRO V ACT;FIN;IND;IPFV;PL;PST;V INAN;MASC;N;NOM;PL _ CONJ ACT;FIN;IND;IPFV;PL;PST;V CONJ ACT;FIN;IND;IPFV;PL;PST;V ACT;NFIN;PFV;V ADP ESS;INAN;MASC;N;SG _
@xxxxxx ничего не имею против лдпр !	@xxxxxx ничто не иметь против лдпр !	_ GEN;PRO NEG;PART 1;ACT;FIN;IND;IPFV;PRS;SG;V ADP FEM;INAN;NOM;PROPN;SG _
в кастрюлю насыпают сахар , заливают водой .	в кастрюля насыпать сахар , заливать вода .	ADP ACC;FEM;INAN;N;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;N;SG _ 3;ACT;FIN;IND;IPFV;PL;PRS;V FEM;INAN;INS;N;SG _
rt @xxxxxx : касьянов и парнас , в рамках предвыборной кампании , начали размещать агитационные материалы	rt @xxxxxx : касьянов и парнас , в рамка предвыборный кампания , начать размещать агитационный материал	N _ _ ANIM;MASC;NOM;PROPN;SG CONJ INAN;MASC;NOM;PROPN;SG _ ADP ESS;FEM;INAN;N;PL ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ ACT;FIN;IND;PFV;PL;PST;V ACT;IPFV;NFIN;V ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL
она заставляет смартфон постоянно испускать высокочастотный звук , неразличимый для человеческого уха , но улавливаемый микрофоном устройства .	она заставлять смартфон постоянно испускать высокочастотный звук , неразличимый для человеческий ухо , но улавливать микрофон устройство .	3;FEM;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG ADV ACT;IPFV;NFIN;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _ ACC;ADJ;INAN;MASC;SG ADP ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ CONJ IPFV;MASC;NOM;PASS;PRS;SG;V;V.PTCP INAN;INS;MASC;N;SG GEN;INAN;N;NEUT;SG _
-- будем искать .	-- быть искать .	_ 1;ACT;FIN;IND;IPFV;PL;PRS;V ACT;IPFV;NFIN;V _
ты иди историю учи .	ты идти история учить .	2;NOM;PRO;SG 2;ACT;FIN;IMP;IPFV;SG;V ACC;FEM;INAN;N;SG 2;ACT;FIN;IMP;IPFV;SG;V _
уже при ссср была попытка обучить всех этих пролетариев местному языку , о чем на " инфодоне " есть статья того же самого автора : http://xxxxxx	уже при ссср быть попытка обучить весь этот пролетарий местный язык , о что на " инфодон " быть статья тот же самый автор : http://xxxxxx	ADV ADP ESS;INAN;MASC;PROPN;SG ACT;FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;N;NOM;SG ACT;NFIN;PFV;V ACC;ANIM;DET;PL ACC;ANIM;DET;PL ACC;ANIM;MASC;N;PL ADJ;DAT;MASC;SG DAT;INAN;MASC;N;SG _ ADP ESS;INAN;NEUT;PRO;SG ADP _ ESS;INAN;MASC;PROPN;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INAN;N;NOM;SG DET;GEN;MASC;SG PART ADJ;GEN;MASC;SG ANIM;GEN;MASC;N;SG _ _
подробности	подробность	FEM;INAN;N;NOM;PL
сидит думает , как реагировать ...	сидеть думать , как реагировать ...	3;ACT;FIN;IND;IPFV;PRS;SG;V 3;ACT;FIN;IND;IPFV;PRS;SG;V _ ADV ACT;IPFV;NFIN;V _
а вы знали , что прямо сейчас за вами следят ?	а вы знать , что прямо сейчас за вы следить ?	CONJ 2;NOM;PL;PRO ACT;FIN;IND;IPFV;PL;PST;V _ CONJ ADV ADV ADP 2;INS;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V _
один мой знакомый в экстазе и от того , и от другого ( а зюганова считает тюфяком ) .	один мой знакомый в экстаз и от то , и от другой ( а зюганов считать тюфяк ) .	DET;MASC;NOM;SG DET;MASC;NOM;SG ANIM;MASC;N;NOM;SG ADP ESS;INAN;MASC;N;SG CONJ ADP GEN;INAN;NEUT;PRO;SG _ CONJ ADP ADJ;GEN;NEUT;SG _ CONJ ACC;ANIM;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INAN;INS;MASC;N;SG _ _
это живая масса , которой пользуются , о которых вытирают ноги и которая зовётся народ .	это живой масса , который пользоваться , о который вытирать нога и который зваться народ .	INAN;NEUT;NOM;PRO;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ INS;PRO 3;FIN;IND;IPFV;MID;PL;PRS;V _ ADP ESS;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;FEM;INAN;N;PL CONJ NOM;PRO 3;FIN;IND;IPFV;MID;PRS;SG;V INAN;MASC;N;NOM;SG _
ею нельзя " заниматься " , она сама " занимается " всеми нами .	она нельзя " заниматься " , она сам " заниматься " весь мы .	3;FEM;INS;PRO;SG ADV _ IPFV;MID;NFIN;V _ _ 3;FEM;NOM;PRO;SG ADJ;FEM;NOM;SG _ 3;FIN;IND;IPFV;MID;PRS;SG;V _ DET;INS;PL 1;INS;PL;PRO _
скользкая канада	скользкий канада	ADJ;FEM;NOM;SG FEM;INAN;NOM;PROPN;SG
дети просто обожают эти песни ! 😃	ребенок просто обожать этот песня ! 😃	ANIM;MASC;N;NOM;PL PART 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;DET;PL ACC;FEM;INAN;N;PL _ _
как работает телевизор !	как работать телевизор !	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V INAN;MASC;N;NOM;SG _
к утру папатут исчезает .	к утро папатут исчезать .	ADP DAT;INAN;N;NEUT;SG INAN;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _
они заранее знали про пакет яровой и поэтому в соцсети и не шли !	они заранее знать про пакет яровый и поэтому в соцсеть и не идти !	3;NOM;PL;PRO ADV ACT;FIN;IND;IPFV;PL;PST;V ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG CONJ ADV ADP ESS;FEM;INAN;N;SG PART NEG;PART ACT;FIN;IND;IPFV;PL;PST;V _
кому не сложно , разместите эту запись	кто не сложный , разместить этот запись	ANIM;DAT;MASC;PRO;SG NEG;PART ADJ;NEUT;SG _ 2;ACT;FIN;IMP;PFV;PL;V ACC;DET;FEM;SG ACC;FEM;INAN;N;SG
затем охлаждают его и вводят ароматические вещества : любой ликер или настойку , ванилин , коньяк , кофейный настой , любые фруктовые эссенции .	затем охлаждать он и вводить ароматический вещество : любой ликер или настойка , ванилин , коньяк , кофейный настой , любой фруктовый эссенция .	ADV 3;ACT;FIN;IND;IPFV;PL;PRS;V 3;ACC;MASC;PRO;SG CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;INAN;PL ACC;INAN;N;NEUT;PL _ ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG CONJ ACC;FEM;INAN;N;SG _ ACC;INAN;MASC;N;SG _ ACC;INAN;MASC;N;SG _ ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _ ACC;DET;INAN;PL ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _
в чашку влить примерно на 1/3 вишневого сока , добавить 1 - 2 ст. л. сахара , 3 - 4 ст. л. коньяка и долить водой чтобы общее количество пропитки было примерно 1 чашка .	в чашка влить примерно на 1/3 вишневый сок , добавить 1 - 2 столовый ложка сахар , 3 - 4 столовый ложка коньяк и долить вода чтобы общий количество пропитка быть примерно 1 чашка .	ADP ACC;FEM;INAN;N;SG ACT;NFIN;PFV;V ADV ADP NUM ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ACT;NFIN;PFV;V NUM _ NUM ADJ N GEN;INAN;MASC;N;SG _ NUM _ NUM ADJ N GEN;INAN;MASC;N;SG CONJ ACT;NFIN;PFV;V FEM;INAN;INS;N;SG COND;CONJ ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG FEM;GEN;INAN;N;SG ACT;FIN;IND;IPFV;NEUT;PST;SG;V ADV NUM FEM;INAN;N;NOM;SG _
как слетать куда-нибудь почти на халяву ?	как слетать куда-нибудь почти на халява ?	ADV ACT;IPFV;NFIN;V ADV ADV ADP ACC;FEM;INAN;N;SG _
отличный торт ☺	отличный торт ☺	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _
что носилась по дому вечно ,	что носиться по дом вечно ,	INAN;NEUT;NOM;PRO;SG FEM;FIN;IND;MID;PFV;PST;SG;V ADP DAT;INAN;MASC;N;SG ADV _
-- успокойтесь .	-- успокоться .	_ 2;FIN;IMP;IPFV;MID;PL;V _
крем : 500 гр. сметаны , 100 гр. сах. песка .	крем : 500 грамм сметана , 100 грамм сахарный песок .	INAN;MASC;N;NOM;SG _ NUM N FEM;GEN;INAN;N;SG _ NUM N ADJ GEN;INAN;MASC;N;SG _
материал : сосна ( стойки ) , береза ( круглые перекладины )	материал : сосна ( стойка ) , береза ( круглый перекладина )	INAN;MASC;N;NOM;SG _ FEM;INAN;N;NOM;SG _ FEM;GEN;INAN;N;SG _ _ FEM;INAN;N;NOM;SG _ ADJ;NOM;PL FEM;INAN;N;NOM;PL _
- а теперь фырчит ежонок ( улыбнулись , прикусили верхними зубками нижнюю губу : фь-фь ) ;	- а теперь фырчать ежонок ( улыбнуться , прикусить верхний зубка нижний губа : фь-фь ) ;	_ CONJ ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V ANIM;MASC;N;NOM;SG _ FIN;IND;MID;PFV;PL;PST;V _ ACT;FIN;IND;PFV;PL;PST;V ADJ;INS;PL FEM;INAN;INS;N;PL ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ INTJ _ _
приглашён только я .	пригласить только я .	MASC;PASS;PFV;PST;SG;V;V.PTCP PART 1;NOM;PRO;SG _
наш сукин сын / ск не хочет отдавать жириновского под суд .	наш сукин сын / ск не хотеть отдавать жириновский под суд .	DET;MASC;NOM;SG ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ INAN;MASC;NOM;PROPN;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V ACC;ANIM;MASC;PROPN;SG ADP ACC;INAN;MASC;N;SG _
чтобы у вас не случилось такой же оказии - предлагаю свой проверенный вариант цукатов .	чтобы у вы не случиться такой же оказия - предлагать свой проверить вариант цукат .	COND;CONJ ADP 2;GEN;PL;PRO NEG;PART FIN;IND;MID;NEUT;PFV;PST;SG;V DET;FEM;GEN;SG PART FEM;GEN;INAN;N;SG _ 1;ACT;FIN;IND;IPFV;PRS;SG;V ACC;DET;INAN;MASC;SG ACC;INAN;MASC;PASS;PFV;PST;SG;V;V.PTCP ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;PL _
гиркина особенно рекомендую .	гиркин особенно рекомендовать .	ACC;ANIM;MASC;PROPN;SG ADV 1;ACT;FIN;IND;IPFV;PRS;SG;V _
когда все у нас закипит - даем покипеть минут 5 , выключаем огонь и оставляем до полного остывания и впитывания корочками сиропа .	когда всё у мы закипеть - давать покипеть минута 5 , выключать огонь и оставлять до полный остывание и впитывание корочка сироп .	CONJ INAN;NEUT;NOM;PRO;SG ADP 1;GEN;PL;PRO 3;ACT;FIN;FUT;IND;PFV;SG;V _ 1;ACT;FIN;IND;IPFV;PL;PRS;V ACT;NFIN;PFV;V FEM;GEN;INAN;N;PL NUM _ 1;ACT;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;N;SG CONJ 1;ACT;FIN;IND;IPFV;PL;PRS;V ADP ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG CONJ GEN;INAN;N;NEUT;SG FEM;INAN;INS;N;PL GEN;INAN;MASC;N;SG _
и ладно бы жители дальнего зарубежья .	и ладно бы житель дальний зарубежье .	CONJ ADV COND;PART ANIM;MASC;N;NOM;PL ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _
они без меня — никуда , никак , и я от них — никуда .	они без я — никуда , никак , и я от они — никуда .	3;NOM;PL;PRO ADP 1;GEN;PRO;SG _ ADV _ ADV _ CONJ 1;NOM;PRO;SG ADP 3;GEN;PL;PRO _ ADV _
последние 2 дня — лучшие в моей жизни	последний 2 день — лучший в мой жизнь	ADJ;NOM;PL NUM GEN;INAN;MASC;N;SG _ ADJ;NOM;PL ADP DET;ESS;FEM;SG ESS;FEM;INAN;N;SG
нехорошо , либералы !	нехороший , либерал !	ADJ;NEUT;SG _ ANIM;MASC;N;NOM;PL _
мягко говоря .	мягко говорить .	ADV ACT;IPFV;PRS;V;V.CVB _
и не	и не	CONJ NEG;PART
жириновский предположил , что россияне слишком часто занимаются сексом .	жириновский предположить , что россиянин слишком часто заниматься секс .	ANIM;MASC;NOM;PROPN;SG ACT;FIN;IND;MASC;PFV;PST;SG;V _ CONJ ANIM;MASC;N;NOM;PL ADV ADV 3;FIN;IND;IPFV;MID;PL;PRS;V INAN;INS;MASC;N;SG _
русским за границей меня называли раза 4 или 5 .	русский за граница я называть раз 4 или 5 .	ADJ;INS;MASC;SG ADP FEM;INAN;INS;N;SG 1;ACC;PRO;SG ACT;FIN;IND;IPFV;PL;PST;V GEN;INAN;MASC;N;SG NUM CONJ NUM _
создание комиссии по переорганизации всех взаимоотношений с бывшими республиками совецкого периода .	создание комиссия по переорганизация весь взаимоотношения с бывшой республика советский период .	INAN;N;NEUT;NOM;SG FEM;GEN;INAN;N;SG ADP DAT;FEM;INAN;N;SG DET;GEN;PL GEN;INAN;N;NEUT;PL ADP ADJ;INS;PL FEM;INAN;INS;N;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
микрофон улавливает разницу и программа « переводит » силу нажатия в команды .	микрофон улавливать разница и программа « переводить » сила нажатие в команда .	INAN;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG CONJ FEM;INAN;N;NOM;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V _ ACC;FEM;INAN;N;SG GEN;INAN;N;NEUT;SG ADP ACC;FEM;INAN;N;PL _
p.s. в музее целый стенд посвящен казакам , но нет ни одного упоминания о добровольцах - унсовцах .	p.s. в музей целый стенд посвятить казак , но нет ни один упоминание о доброволец - унсовец .	ANIM;INS;MASC;N;SG ADP ESS;INAN;MASC;N;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG MASC;PASS;PFV;PST;SG;V;V.PTCP DAT;INAN;MASC;N;PL _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V NEG;PART GEN;NEUT;NUM GEN;INAN;N;NEUT;SG ADP ANIM;ESS;MASC;N;PL _ ANIM;ESS;MASC;N;PL _
спасибо за " счастливое " детство моих детей !	спасибо за " счастливый " детство мой ребенок !	INAN;N;NEUT;NOM;SG ADP _ ADJ;NEUT;NOM;SG _ INAN;N;NEUT;NOM;SG DET;GEN;PL ANIM;GEN;MASC;N;PL _
а тут немного сгустить - разгустить не возбраняется , а даже , наоборот , правильно иногда делать из полемических соображений .	а тут немного сгустить - разгустить не возбраняться , а даже , наоборот , правильный иногда делать из полемический соображение .	CONJ ADV ADV ACT;NFIN;PFV;V _ ACT;NFIN;PFV;V NEG;PART 3;FIN;FUT;IND;MID;PFV;SG;V _ CONJ PART _ ADV _ ADJ;NEUT;SG ADV ACT;IPFV;NFIN;V ADP ADJ;GEN;PL GEN;INAN;N;NEUT;PL _
приятного аппетита !	приятный аппетит !	ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
партия " яблоко " настроена сменить власть в россии и крыму	партия " яблоко " настроенный сменить власть в россия и крым	FEM;INAN;N;NOM;SG _ INAN;NEUT;NOM;PROPN;SG _ ADJ;FEM;SG ACT;NFIN;PFV;V ACC;FEM;INAN;N;SG ADP ESS;FEM;INAN;PROPN;SG CONJ ESS;INAN;MASC;PROPN;SG
