« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
in de daaropvolgende australian open verslaat ze 's werelds nummer 1 lindsay davenport en maria sharapova in lastige driesetters .	in de daaropvolgend australian open verslaan ze de wereld nummer 1 lindsay davenport en maria sharapova in lastig driesetter .	ADP DEF;DET ADJ PROPN PROPN FIN;PRS;SG;V 3;PRO DEF;DET N;SG N;NEUT;SG NUM PROPN PROPN CONJ PROPN PROPN ADP ADJ N;PL _
vertier	vertier	N;NEUT;SG
alexander pechtold - minister van bestuurlijke vernieuwing en koninkrijksrelaties , kabinet-balkenende ii	alexander pechtold - minister van bestuurlijk vernieuwing en koninkrijksrelatie , kabinet-balkenende ii	PROPN PROPN _ MASC+FEM;N;SG ADP ADJ MASC+FEM;N;SG CONJ N;PL _ NEUT;PROPN;SG PROPN
anne demelenne is algemeen secretaris .	anne demelenne zijn algemeen secretaris .	PROPN PROPN FIN;PRS;SG;V ADJ MASC+FEM;N;SG _
in 2004 trad urbanus samen op met de nederlandse punkgroep de heideroosjes ( die hun naam haalden uit een van zijn conferences ) op het hoofdpodium tijdens rock werchter .	in 2004 treden urbanus samen op met de nederlands punkgroep de heideroosjes ( die hun naam halen uit één van zijn conference ) op het hoofdpodium tijdens rock werchter .	ADP NUM FIN;PST;SG;V MASC+FEM;PROPN;SG ADV ADP ADP DEF;DET ADJ MASC+FEM;N;SG PROPN PROPN _ PRO 3;PRO MASC+FEM;N;SG FIN;PL;PST;V ADP NUM ADP 3;PRO N;PL _ ADP DEF;DET N;NEUT;SG ADP PROPN PROPN _
1946 - albert ramon	1946 - albert ramon	NUM _ PROPN PROPN
een deel van het grote bos hertogenwoud valt in het zuidelijk en oostelijk deel van deze gemeente .	een deel van het groot bos hertogenwoud vallen in het zuidelijk en oostelijk deel van deze gemeente .	DET;INDF N;NEUT;SG ADP DEF;DET ADJ N;NEUT;SG NEUT;PROPN;SG FIN;PRS;SG;V ADP DEF;DET ADJ CONJ ADJ N;NEUT;SG ADP DET MASC+FEM;N;SG _
1968 - eddy merckx	1968 - eddy merckx	NUM _ PROPN PROPN
en de gemeenten in het kanton sankt vith	en de gemeente in het kanton sankt vith	CONJ DEF;DET N;PL ADP DEF;DET N;NEUT;SG PROPN PROPN
de hongaarse , in belgië wonende , ex-geestelijke andras pandy en zijn dochter agnes werden beschuldigd van zes moorden op familieleden .	de hongaars , in belgië wonen , ex-geestelijk andras pandy en zijn dochter agnes worden beschuldigen van zes moord op familielid .	DEF;DET ADJ _ ADP NEUT;PROPN;SG V;V.PTCP _ ADJ PROPN PROPN CONJ 3;PRO MASC+FEM;N;SG MASC+FEM;PROPN;SG FIN;PL;PST;V V;V.PTCP ADP NUM N;PL ADP N;PL _
1975 -- willem peeters	1975 -- willem peeters	NUM _ PROPN PROPN
ook begonnen veel albums allitererende titels te krijgen en moraliserende eindes .	ook beginnen veel album allitereren titel te krijgen en moraliseren einde .	ADV FIN;PL;PST;V DET N;PL V;V.PTCP N;PL ADP NFIN;V CONJ V;V.PTCP N;PL _
de gemeente telt vier voetbalploegen die uitkomen in de kbvb , zijnde ksk wavria in onze-lieve-vrouw-waver , kfc katelijne in het centrum , kgr katelijne aan de grens met mechelen en vk elzestraat aan de grens met duffel .	de gemeente tellen vier voetbalploeg die uitkomen in de kbvb , zijn ksk wavria in onze-lieve-vrouw-waver , kfc katelijne in het centrum , kgr katelijne aan de grens met mechelen en vk elzestraat aan de grens met duffel .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V NUM N;PL PRO FIN;PL;PRS;V ADP DEF;DET MASC+FEM;PROPN;SG _ V;V.PTCP PROPN PROPN ADP NEUT;PROPN;SG _ PROPN PROPN ADP DEF;DET N;NEUT;SG _ PROPN PROPN ADP DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG CONJ PROPN PROPN ADP DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG _
n.b. hiervan zijn tevens zes belgische europarlementariërs lid : de vlaamse liberalen en democraten ( vld ) / vivant ( 3 zetels ) en de mouvement réformateur ( mr ) ( 3 zetels ) .	n.b. hiervan zijn tevens zes belgisch europarlementariër lid : de vlaamse liberalen en democraten ( vld ) / vivant ( 3 zetel ) en de mouvement réformateur ( mr ) ( 3 zetel ) .	_ ADV FIN;PL;PRS;V ADV NUM ADJ N;PL N;NEUT;SG _ DEF;DET PROPN PROPN PROPN PROPN _ MASC+FEM;PROPN;SG _ _ PROPN;SG;{MASC+FEM/NEUT} _ NUM N;PL _ CONJ DEF;DET PROPN PROPN _ MASC+FEM;PROPN;SG _ _ NUM N;PL _ _
1934 - gaston rebry ( )	1934 - gaston rebry ( )	NUM _ PROPN PROPN _ _
3 oost-vlaanderen	3 oost-vlaanderen	NUM NEUT;PROPN;SG
zoek in mijn schrijftafel de groene envelop . "	zoeken in mijn schrijftafel de groen envelop . "	FIN;PRS;SG;V ADP 1;PRO MASC+FEM;N;SG DEF;DET ADJ MASC+FEM;N;SG _ _
bier brouwen voor beginners , simpele handleiding voor de thuisbrouwer	bier brouwen voor beginner , simpel handleiding voor de thuisbrouwer	N;NEUT;SG NFIN;V ADP N;PL _ ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG
ondertussen werkte hij tot 1978 in het belgisch instituut voor ruimte-aeronomie ( bira ) .	ondertussen werken hij tot 1978 in het belgisch instituut voor ruimte-aeronomie ( bira ) .	ADV FIN;PST;SG;V 3;NOM;PRO ADP NUM ADP DEF;DET ADJ N;NEUT;SG ADP MASC+FEM;N;SG _ NEUT;PROPN;SG _ _
twee cowboys staan in de krantenwinkel : « bonanza stopt ?	twee cowboy staan in de krantenwinkel : « bonanza stoppen ?	NUM N;PL FIN;PL;PRS;V ADP DEF;DET MASC+FEM;N;SG _ _ NEUT;PROPN;SG FIN;PRS;SG;V _
billie coppens - laurent roose ( 2001-2002 ) / rob teuwen ( 2002- )	billie coppens - laurent roose ( 2001-2002 ) / rob teuwen ( 2002- )	PROPN PROPN _ PROPN PROPN _ _ _ _ PROPN PROPN _ _ _
de vader van ensor , james frederic ensor , was de zoon van britse ouders .	de vader van ensor , james frederic ensor , zijn de zoon van brits ouder .	DEF;DET MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG _ PROPN PROPN PROPN _ FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADP ADJ N;PL _
vvksm kriko ( sint-niklaas )	vvksm kriko ( sint-niklaas )	PROPN PROPN _ NEUT;PROPN;SG _
de linker is johannes de doper en de rechter is johannes de evangelist/apostel .	de linker zijn johannes de doper en de rechter zijn johannes de evangelist/apostel .	DEF;DET ADJ FIN;PRS;SG;V PROPN PROPN PROPN CONJ DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V PROPN PROPN PROPN _
1949 - fiorenzo magni ( )	1949 - fiorenzo magni ( )	NUM _ PROPN PROPN _ _
andere partijen die zich in het interbellum manifesteerden waren het vlaamsch nationaal verbond ( vnv ) , dat steeds meer neigde naar het fascisme en het nationaal socialisme , en de communistische partij van belgië ( cpb : later kpb ) .	ander partij die zich in het interbellum manifesteren zijn het vlaamsch nationaal verbond ( vnv ) , dat steeds veel neigen naar het fascisme en het nationaal socialisme , en de communistische partij van belgië ( cpb : laat kpb ) .	ADJ N;PL PRO 3;ACC;PRO;REFL ADP DEF;DET N;NEUT;SG FIN;PL;PST;V FIN;PL;PST;V DEF;DET PROPN PROPN PROPN _ NEUT;PROPN;SG _ _ 3;PRO ADV PRO FIN;PST;SG;V ADP DEF;DET N;NEUT;SG CONJ DEF;DET ADJ N;NEUT;SG _ CONJ DEF;DET PROPN PROPN PROPN PROPN _ NEUT;PROPN;SG _ ADJ;CMPR MASC+FEM;PROPN;SG _ _
pater damiaan	pater damiaan	PROPN PROPN
wallonië beslaat :	wallonië beslaan :	NEUT;PROPN;SG FIN;PRS;SG;V _
1982 - gwij mandelinck voor de droefheid is in handbereik	1982 - gwij mandelinck voor de droefheid zijn in handbereik	NUM _ PROPN PROPN ADP DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V ADP N;NEUT;SG
1913 - françois faber	1913 - françois faber	NUM _ PROPN PROPN
vlaams volksvertegenwoordiger ( 1995-... )	vlaams volksvertegenwoordiger ( 1995 )	ADJ MASC+FEM;N;SG _ NUM _
het centrum is praktisch helemaal autovrij of autoluw en bevat verscheidene historische gebouwen .	het centrum zijn praktisch helemaal autovrij of autoluw en bevatten verscheiden historisch gebouw .	DEF;DET N;NEUT;SG FIN;PRS;SG;V ADJ ADV ADJ CONJ ADJ CONJ FIN;PRS;SG;V ADJ ADJ N;PL _
de geallieerden die de grenzen van europa aan het bepalen waren in het congres van wenen waren verbaasd .	de alliëren die de grens van europa aan het bepalen zijn in het congres van wenen zijn verbazen .	DEF;DET V;V.PTCP PRO DEF;DET N;PL ADP NEUT;PROPN;SG ADP DEF;DET NFIN;V FIN;PL;PST;V ADP DEF;DET N;NEUT;SG ADP NEUT;PROPN;SG FIN;PL;PST;V V;V.PTCP _
op 2 juli 1959 trouwde albert met donna paola ruffo di calabria , een italiaanse prinses .	op 2 juli 1959 trouwen albert met donna paola ruffo di calabria , een italiaans prinses .	ADP NUM MASC+FEM;PROPN;SG NUM FIN;PST;SG;V MASC+FEM;PROPN;SG ADP PROPN PROPN PROPN PROPN PROPN _ DET;INDF ADJ MASC+FEM;N;SG _
igor wagner	igor wagner	PROPN PROPN
op te merken valt dat de burgemeesters van de stad sinds de tweede wereldoorlog : camille huysmans , lode craeybeckx , frans detiège en mathilde schroyens , na de fusie zijn dit : bob cools , leona detiège en patrick janssens , allen van socialistische signatuur zijn .	op te merken vallen dat de burgemeester van de stad sinds de tweede wereldoorlog : camille huysmans , lode craeybeckx , frans detiège en mathilde schroyens , na de fusie zijn dit : bob cools , leona detiège en patrick janssens , al van socialistisch signatuur zijn .	ADP ADP NFIN;V FIN;PRS;SG;V CONJ DEF;DET N;PL ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET PROPN PROPN _ PROPN PROPN _ PROPN PROPN _ PROPN PROPN CONJ PROPN PROPN _ ADP DEF;DET MASC+FEM;N;SG FIN;PL;PRS;V 3;PRO _ PROPN PROPN _ PROPN PROPN CONJ PROPN PROPN _ PRO ADP ADJ MASC+FEM;N;SG FIN;PL;PRS;V _
1961 - rik van looy	1961 - rik van looy	NUM _ PROPN PROPN PROPN
de tussen nederland en het franstalige wallonie ingeklemde voerstreek is een enclave welke onderdeel is van vlaanderen , en formeel derhalve nederlandstalig .	de tussen nederland en het franstalig wallonie inklemmen voerstreek zijn een enclave welk onderdeel zijn van vlaanderen , en formeel derhalve nederlandstalig .	DEF;DET ADP NEUT;PROPN;SG CONJ DEF;DET ADJ NEUT;PROPN;SG V;V.PTCP MASC+FEM;PROPN;SG FIN;PRS;SG;V DET;INDF MASC+FEM;N;SG PRO N;NEUT;SG FIN;PRS;SG;V ADP NEUT;PROPN;SG _ CONJ ADJ ADV ADJ _
1911 - octave lapize	1911 - octave lapize	NUM _ PROPN PROPN
« eigen volk eerst » , uitgeverij tyr , 1989 .	« eigen volk eerst » , uitgeverij tyr , 1989 .	_ ADJ N;NEUT;SG ADV _ _ PROPN PROPN _ NUM _
1/2 finale : kim clijsters ( 1 ) - nicole vaidisova ( 7 ) : 6-2 , 7-6	1/2 finale : kim clijsters ( 1 ) - nicole vaidisova ( 7 ) : 6-2 , 7-6	_ MASC+FEM;N;SG _ PROPN PROPN _ NUM _ _ PROPN PROPN _ NUM _ _ _ _ _
mechelse koekoek : een kippenras	mechels koekoek : een kippenras	ADJ MASC+FEM;N;SG _ DET;INDF N;NEUT;SG
malibu comics	malibu comics	PROPN PROPN
koning albert bleef in belgië maar de regering trok zich terug in het franse le havre .	koning albert blijven in belgië maar de regering trekken zich terug in het frans le havre .	MASC+FEM;N;SG MASC+FEM;PROPN;SG FIN;PST;SG;V ADP NEUT;PROPN;SG CONJ DEF;DET MASC+FEM;N;SG FIN;PST;SG;V 3;ACC;PRO;REFL ADV ADP DEF;DET ADJ PROPN PROPN _
overzicht winnaars	overzicht winnaar	N;NEUT;SG N;PL
ondertussen werd albert koning na de dood van zijn broer .	ondertussen worden albert koning na de dood van zijn broer .	ADV FIN;PST;SG;V MASC+FEM;PROPN;SG MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP 3;PRO MASC+FEM;N;SG _
zo doen ze zich een bepaalde tijd voor , maar dat is schone schijn .	zo doen ze zich een bepalen tijd voor , maar dat zijn schoon schijn .	ADV FIN;PL;PRS;V 3;PRO 3;ACC;PRO;REFL DET;INDF V;V.PTCP MASC+FEM;N;SG ADP _ CONJ 3;PRO FIN;PRS;SG;V ADJ MASC+FEM;N;SG _
donald duck	donald duck	PROPN PROPN
externe link	extern link	ADJ MASC+FEM;N;SG
vandersteen liep ook al een paar jaar rond met het idee een ridderstrip te maken .	vandersteen lopen ook al een paar jaar rond met het idee een ridderstrip te maken .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADV ADV DET;INDF N;NEUT;SG N;NEUT;SG ADP ADP DEF;DET N;NEUT;SG DET;INDF MASC+FEM;N;SG ADP NFIN;V _
behalve een kritische analyse over de werking van de politiediensten , beval ze een politiehervorming aan waarbij er sprake zou zijn van een geïntegreerde politiedienst , gestructureerd op twee niveaus .	behalve een kritisch analyse over de werking van de politiedienst , bevelen ze een politiehervorming aan waarbij er sprake zullen zijn van een integreren politiedienst , structureren op twee niveau .	CONJ DET;INDF ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET N;PL _ FIN;PST;SG;V 3;PRO DET;INDF MASC+FEM;N;SG ADP ADV ADV MASC+FEM;N;SG FIN;PST;SG;V NFIN;V ADP DET;INDF V;V.PTCP MASC+FEM;N;SG _ V;V.PTCP ADP NUM N;PL _
in hasselt is er een bloeiend studentenleven met meer dan 50.000 studenten die in hasselt wonen , leven en studeren .	in hasselt zijn er een bloeien studentenleven met veel dan 50.000 student die in hasselt wonen , leven en studeren .	ADP NEUT;PROPN;SG FIN;PRS;SG;V ADV DET;INDF V;V.PTCP N;NEUT;SG ADP PRO CONJ NUM N;PL PRO ADP NEUT;PROPN;SG FIN;PL;PRS;V _ FIN;PL;PRS;V CONJ FIN;PL;PRS;V _
socialistische partij anders	socialistische partij anders	PROPN PROPN PROPN
er is ook een spoorwegnet , geëxploiteerd door de nationale maatschappij der belgische spoorwegen ( nmbs ) .	er zijn ook een spoorwegnet , exploiteren door de nationaal maatschappij de belgisch spoorweg ( nmbs ) .	ADV FIN;PRS;SG;V ADV DET;INDF N;NEUT;SG _ V;V.PTCP ADP DEF;DET ADJ MASC+FEM;N;SG DEF;DET ADJ N;PL _ MASC+FEM;PROPN;SG _ _
in de tweede helft van de 10de eeuw volgden antwerpen , brussel en leuven hun voorbeeld .	in de twee helft van de 10 eeuw volgen antwerpen , brussel en leuven hun voorbeeld .	ADP DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PL;PST;V NEUT;PROPN;SG _ NEUT;PROPN;SG CONJ NEUT;PROPN;SG 3;PRO N;NEUT;SG _
doctor müller	doctor müller	MASC+FEM;N;SG MASC+FEM;PROPN;SG
het gewestelijke statuut voor brussel lijkt niet altijd het meest geschikt in verhouding tot de omvang en aard van het gewest .	het gewestelijk statuut voor brussel lijken niet altijd het veel geschikt in verhouding tot de omvang en aard van het gewest .	DEF;DET ADJ N;NEUT;SG ADP NEUT;PROPN;SG FIN;PRS;SG;V ADV ADV DEF;DET PRO ADJ ADP MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG CONJ MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG _
bekende inwoners	bekend inwoner	ADJ N;PL
in maart 1916 vestigt hij zich in chardstock ( devonshire ) .	in maart 1916 vestigen hij zich in chardstock ( devonshire ) .	ADP MASC+FEM;PROPN;SG NUM FIN;PRS;SG;V 3;NOM;PRO 3;ACC;PRO;REFL ADP NEUT;PROPN;SG _ NEUT;PROPN;SG _ _
politie in nederland	politie in nederland	MASC+FEM;N;SG ADP NEUT;PROPN;SG
politiek	politiek	MASC+FEM;N;SG
bart kaëll a.k.a bart gijselinck ( 02/08/1960 ) , belgische zanger	bart kaëll a.k.a bart gijselinck ( 02/08/1960 ) , belgisch zanger	PROPN PROPN _ PROPN PROPN _ _ _ _ ADJ MASC+FEM;N;SG
de provincieraad van antwerpen telt 84 zetels .	de provincieraad van antwerpen tellen 84 zetel .	DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG FIN;PRS;SG;V NUM N;PL _
in alle andere kabinetten tot de tweede wereldoorlog deden de katholieken met óf de liberalen óf de socialisten als partner mee .	in al ander kabinet tot de tweede wereldoorlog doen de katholiek met of de liberaal of de socialist als partner mee .	ADP DET ADJ N;PL ADP DEF;DET PROPN PROPN FIN;PL;PST;V DEF;DET N;PL ADP CONJ DEF;DET N;PL CONJ DEF;DET N;PL ADP MASC+FEM;N;SG ADP _
in 1513 veroverde de engelse koning hendrik viii doornik .	in 1513 veroveren de engels koning hendrik viii doornik .	ADP NUM FIN;PST;SG;V DEF;DET ADJ MASC+FEM;N;SG PROPN PROPN NEUT;PROPN;SG _
de aclvb hangt een sociaal-liberale filosofie aan en is daarmee een van de weinige vakbonden die zich dan ook ten volle steunt op de liberale ideologie .	de aclvb hangen een sociaal-liberaal filosofie aan en zijn daarmee één van de weinig vakbond die zich dan ook te vol steunen op de liberaal ideologie .	DEF;DET MASC+FEM;PROPN;SG FIN;PRS;SG;V DET;INDF ADJ MASC+FEM;N;SG ADP CONJ FIN;PRS;SG;V ADV NUM ADP DEF;DET PRO N;PL PRO 3;ACC;PRO;REFL ADV ADV ADP ADJ FIN;PRS;SG;V ADP DEF;DET ADJ MASC+FEM;N;SG _
in het begin was het aandeelhouderschap verdeeld onder de schrijvende pers , en dan vooral de dagbladpers .	in het begin zijn het aandeelhouderschap verdelen onder de schrijven pers , en dan vooral de dagbladpers .	ADP DEF;DET N;NEUT;SG FIN;PST;SG;V DEF;DET N;NEUT;SG V;V.PTCP ADP DEF;DET V;V.PTCP MASC+FEM;N;SG _ CONJ ADV ADV DEF;DET N;PL _
frans ( ca. 40% )	frans ( ca. 40% )	NEUT;PROPN;SG _ ADV _ _
uiteindelijk werd er tussen de romeinen en deze frankische stam rond 296 een verbond gesloten en werden ze als verdedigers van de rijksgrens tussen nijmegen en de zee aangesteld .	uiteindelijk worden er tussen de romein en deze frankisch stam rond 296 een verbond sluiten en worden ze als verdediger van de rijksgrens tussen nijmegen en de zee aanstellen .	ADJ FIN;PST;SG;V ADV ADP DEF;DET PL;PROPN CONJ DET ADJ MASC+FEM;N;SG ADP NUM DET;INDF N;NEUT;SG V;V.PTCP CONJ FIN;PL;PST;V 3;PRO ADP N;PL ADP DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG CONJ DEF;DET MASC+FEM;N;SG V;V.PTCP _
1954 - raymond impanis ( )	1954 - raymond impanis ( )	NUM _ PROPN PROPN _ _
deze beweging is zeer divers en bestaat uit verschillende strekkingen , en ook fracties in de bestaande traditionele partijen .	deze beweging zijn zeer divers en bestaan uit verschillend strekking , en ook fractie in de bestaan traditioneel partij .	DET MASC+FEM;N;SG FIN;PRS;SG;V ADV ADJ CONJ FIN;PRS;SG;V ADP ADJ N;PL _ CONJ ADV N;PL ADP DEF;DET V;V.PTCP ADJ N;PL _
in 1894 werd ensor uitgenodigd tot de eerste expositie van " la libre esthétique " en zelf richtte hij , samen met guillaume vogels , in zijn stad de " cercle des beaux arts d'ostende " op .	in 1894 worden ensor uitnodigen tot de één expositie van " la libre esthétique " en zelf richten hij , samen met guillaume vogels , in zijn stad de " cercle des beaux arts d'ostende " op .	ADP NUM FIN;PST;SG;V MASC+FEM;PROPN;SG V;V.PTCP ADP DEF;DET ADJ MASC+FEM;N;SG ADP _ PROPN PROPN PROPN _ CONJ ADV FIN;PST;SG;V 3;NOM;PRO _ ADV ADP PROPN PROPN _ ADP 3;PRO MASC+FEM;N;SG DEF;DET _ PROPN PROPN PROPN PROPN PROPN _ ADP _
gemeenteraadslid antwerpen ( 1995-... )	gemeenteraadslid antwerpen ( 1995 )	N;NEUT;SG NEUT;PROPN;SG _ NUM _
de serie werd een groot succes , evenals de merchandising .	de serie worden een groot succes , evenals de merchandising .	DEF;DET MASC+FEM;N;SG FIN;PST;SG;V DET;INDF ADJ N;NEUT;SG _ CONJ DEF;DET MASC+FEM;N;SG _
het nationaal jenevermuseum , gevestigd in een voormalig gebouw van de franciscanessen of witte nonnen , brengt het verhaal van de belgische jenever tot leven .	het nationaal jenevermuseum , vestigen in een voormalig gebouw van de franciscanessen of wit non , brengen het verhaal van de belgisch jenever tot leven .	DEF;DET ADJ N;NEUT;SG _ V;V.PTCP ADP DET;INDF ADJ N;NEUT;SG ADP DEF;DET PL;PROPN CONJ ADJ N;PL _ FIN;PRS;SG;V DEF;DET N;NEUT;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP N;NEUT;SG _
algemene centrale der openbare diensten - acod	algemene centrale der openbare diensten - acod	PROPN PROPN PROPN PROPN PROPN _ MASC+FEM;PROPN;SG
in 1984 organiseerde zolder een laatste keer de grand prix , waarna hij tot op heden zijn stek vond in francorchamps .	in 1984 organiseren zolder een laat keer de grand prix , waarna hij tot op heden zijn stek vinden in francorchamps .	ADP NUM FIN;PST;SG;V NEUT;PROPN;SG DET;INDF ADJ;RL N;SG;{MASC+FEM/NEUT} DEF;DET PROPN PROPN _ ADV 3;NOM;PRO ADP ADP ADV 3;PRO MASC+FEM;N;SG FIN;PST;SG;V ADP NEUT;PROPN;SG _
f. baaigem ( gavere )	f. baaigem ( gavere )	_ NEUT;PROPN;SG _ NEUT;PROPN;SG _
de britse cavalerie werd overmoedig en wilde meteen ook maar de ' grand batterie ' oprollen , maar die schoot terug .	de brits cavalerie worden overmoedig en willen meteen ook maar de ' grand batterie ' oprollen , maar die schieten terug .	DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V ADJ CONJ FIN;PST;SG;V ADV ADV ADV DEF;DET _ _ _ _ NFIN;V _ CONJ 3;PRO FIN;PST;SG;V ADV _
annemans verzorgde ook enkele rubrieken in het weekblad 't pallieterke , waarvan hij op termijn mogelijk hoofdredacteur zou worden , maar uiteindelijk koos hij voor een engagement in de politiek .	annemans verzorgen ook enkel rubriek in het weekblad het pallieterke , waarvan hij op termijn mogelijk hoofdredacteur zullen worden , maar uiteindelijk kiezen hij voor een engagement in de politiek .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADV DET N;PL ADP DEF;DET N;NEUT;SG DEF;DET NEUT;PROPN;SG _ ADV 3;NOM;PRO ADP MASC+FEM;N;SG ADJ MASC+FEM;N;SG FIN;PST;SG;V NFIN;V _ CONJ ADJ FIN;PST;SG;V 3;NOM;PRO ADP DET;INDF N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG _
ook in " kuifje " , " overal " en " de bond " verschenen zijn tekeningen .	ook in " kuifje " , " overal " en " de bond " verschijnen zijn tekening .	ADV ADP _ MASC+FEM;PROPN;SG _ _ _ MASC+FEM;N;SG _ CONJ _ DEF;DET MASC+FEM;N;SG _ FIN;PL;PST;V 3;PRO N;PL _
de strip is ook volks van aard en toegankelijk .	de strip zijn ook volks van aard en toegankelijk .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V ADV ADJ ADP MASC+FEM;N;SG CONJ ADJ _
suske en wiske werden zo'n succes dat mensen enkel de kranten waarin de strips verschenen kochten .	suske en wiske worden zo'n succes dat mens enkel de krant waarin de strip verschijnen kopen .	PROPN PROPN PROPN FIN;PL;PST;V PRO N;NEUT;SG CONJ N;PL ADV DEF;DET N;PL ADV DEF;DET N;PL FIN;PL;PST;V FIN;PL;PST;V _
« in de gloria » ( 2000-2001 )	« in de gloria » ( 2000-2001 )	_ ADP DEF;DET MASC+FEM;N;SG _ _ _ _
externe link	extern link	ADJ MASC+FEM;N;SG
hiertegen volgden vele protesten met als gevolg een verdeling in een kroondomein ( voor de kongostaat ) , een vrijhandelszone en een voor de handel gesloten gebied .	hiertegen volgen veel protest met als gevolg een verdeling in een kroondomein ( voor de kongostaat ) , een vrijhandelszone en een voor de handel sluiten gebied .	ADV FIN;PL;PST;V PRO N;PL ADP ADP N;NEUT;SG DET;INDF MASC+FEM;N;SG ADP DET;INDF N;NEUT;SG _ ADP DEF;DET MASC+FEM;PROPN;SG _ _ DET;INDF MASC+FEM;N;SG CONJ DET;INDF ADP DEF;DET MASC+FEM;N;SG V;V.PTCP N;NEUT;SG _
tainetaine : perzisch	tainetaine : perzisch	MASC+FEM;PROPN;SG _ ADJ
vlak na de tweede wereldoorlog schreef elsschot nog een van zijn meesterwerken : « het dwaallicht » ( 1946 ) .	vlak na de tweede wereldoorlog schrijven elsschot nog één van zijn meesterwerk : « het dwaallicht » ( 1946 ) .	ADV ADP DEF;DET PROPN PROPN FIN;PST;SG;V MASC+FEM;PROPN;SG ADV NUM ADP 3;PRO N;PL _ _ DEF;DET N;NEUT;SG _ _ NUM _ _
drie andere lichte geallieerde cavaleriebrigades , waaronder een nederlandse , moesten hen komen ontzetten .	drie ander licht alliëren cavaleriebrigade , waaronder een nederlands , moeten hen komen ontzetten .	NUM ADJ ADJ V;V.PTCP N;PL _ ADV DET;INDF ADJ _ FIN;PL;PST;V 3;ACC;PRO NFIN;V NFIN;V _
pierre van remoortere de naeyer ( lib . ) ;	pierre van remoortere de naeyer ( lib . ) ;	PROPN PROPN PROPN PROPN PROPN _ N;PL _ _ _
na een proef op een lijk met het door agnes pandy genoemde product , dat eveneens in grote hoeveelheden in pandy's huis was gevonden , blijkt er na een dag weinig over van het lijk ; zelfs de tanden werden grotendeels opgelost .	na een proef op een lijk met het door agnes pandy noemen product , dat eveneens in groot hoeveelheid in pandy huis zijn vinden , blijken er na een dag weinig over van het lijk ; zelfs de tand worden grotendeels oplossen .	ADP DET;INDF MASC+FEM;N;SG ADP DET;INDF N;NEUT;SG ADP DEF;DET ADP PROPN PROPN V;V.PTCP N;NEUT;SG _ 3;PRO ADV ADP ADJ N;PL ADP PROPN;SG N;NEUT;SG FIN;PST;SG;V V;V.PTCP _ FIN;PRS;SG;V ADV ADP DET;INDF MASC+FEM;N;SG PRO ADP ADP DEF;DET N;NEUT;SG _ ADV DEF;DET N;PL FIN;PL;PST;V ADV V;V.PTCP _
hij neemt deel aan de zesde ( 1882 ) en de zevende ( 1883 ) tentoonstelling van deze groep tentoonstelling .	hij nemen deel aan de zes ( 1882 ) en de zeven ( 1883 ) tentoonstelling van deze groep tentoonstelling .	3;NOM;PRO FIN;PRS;SG;V N;NEUT;SG ADP DEF;DET ADJ _ NUM _ CONJ DEF;DET ADJ _ NUM _ MASC+FEM;N;SG ADP DET MASC+FEM;N;SG MASC+FEM;N;SG _
we hebben gezien welke variatie en souplesse ensor in zijn schilderijen brengt ... " .	we hebben zien welk variatie en souplesse ensor in zijn schilderij brengen ... " .	1;NOM;PRO FIN;PL;PRS;V V;V.PTCP DET MASC+FEM;N;SG CONJ MASC+FEM;N;SG MASC+FEM;PROPN;SG ADP 3;PRO N;PL FIN;PRS;SG;V _ _ _
marie-paule quix	marie-paule quix	PROPN PROPN
michiel scheltema - staatssecretaris van justitie , kabinet-van agt ii	michiel scheltema - staatssecretaris van justitie , kabinet-van agt ii	PROPN PROPN _ MASC+FEM;N;SG ADP MASC+FEM;N;SG _ N;NEUT;SG PROPN PROPN
