oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
mar go gcaithfeadsa bualadh leis .	mar go caith bualadh le .	CONJ PART 1;FUT;IND;SG;V N;NFIN 3;ADP;MASC;SG _
' go cnáimh i mbodach an chóta lachtna , ' a deirimse .	' go cnáimh i bodach an cóta lachna , ' a abair .	_ ADP FEM;N;SG ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG GEN;MASC;N;SG _ _ PART 1;IND;PRS;SG;V _
' m' anam gur dócha go raibh an ceart ag an maor , ' a deir micil , ' ach ceart nó mícheart é , ní gheobhaidh an fear sin aon phunt uaimse níos mó .	' mo anam is dócha go bí an ceart ag an maor , ' a abair micil , ' ach ceart nó ceart é , ní faigh an fear sin aon punt ó níos mór .	_ 1;DET;SG MASC;N;SG PRS;V ADJ PART IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP DEF;DET;SG DEF;MASC;N;SG _ _ PART IND;PRS;V MASC;PROPN;SG _ _ CONJ ADJ CONJ ADJ 3;MASC;PRO;SG _ NEG;PART FUT;IND;V DEF;DET;SG DEF;MASC;N;SG DET DET MASC;N;SG 1;ADP;SG N;SG ADJ;{CMPR/RL} _
tá's ag an lá ach go rabhas ag caoineachán .	bí ag an lá ach go bí ag caoineachán .	IND;MASC;PRS;SG;V ADP DEF;DET;SG DEF;MASC;N;SG CONJ PART 1;IND;PST;SG;V ADP MASC;N;SG _
ar na rudaí a bhí ar ceant bhí turas ar bord an orient express agus deireadh seachtaine do bheirt sa k club .	ar na rud a bí ar ceant bí turas ar bord an orient express agus deireadh seachtain do beirt i k club .	ADP DEF;DET;PL DEF;MASC;N;PL PART IND;PST;V ADP MASC;N;SG IND;PST;V MASC;N;SG ADP MASC;N;SG DEF;DET;SG MASC;PROPN;SG MASC;PROPN;SG CONJ MASC;N;SG FEM;GEN;N;SG ADP FEM;N;SG ADP;SG _ GEN;MASC;N;SG _
agus ...	agus ...	CONJ _
seans gur smaoinigh mé ar an ancient mariner nó bhí mé loite ag leathchuimhní an léinn .	seans gur smaoinigh mé ar an ancient mariner nó bí mé loite ag cuimhneamh an léann .	MASC;N;SG PART;PST IND;PST;V 1;PRO;SG ADP DEF;DET;SG MASC;PROPN;SG MASC;PROPN;SG CONJ IND;PST;V 1;PRO;SG ADJ;V.PTCP ADP MASC;N;PL DEF;DET;SG DEF;GEN;MASC;N;SG _
cén dearcadh atá againn ar sheandaoine sa tír seo sa lá atá inniu ann ?	cé dearcadh bí ag ar duine i tír seo i lá bí inniu i ?	PRO;SG DEF;MASC;N;SG IND;PRS;V 1;ADP;PL ADP MASC;N;PL ADP;SG FEM;N;SG DET ADP;SG DEF;MASC;N;SG IND;PRS;V ADV 3;ADP;MASC;SG _
thiocfadh leat caint agus scríobh fá seo go minic agus go fada .	tar le caint agus scríobh faoi seo go minic agus go fada .	COND;V 2;ADP;SG N;NFIN CONJ N;NFIN 3;MASC;SG PRO PART ADJ CONJ PART ADJ _
foireann : robert de niro , kenneth branagh , tom hulce , helena bonham-carter , john cleese , ian holm , robert hardy .	foireann : robert de niro , kenneth branagh , tom hulce , helena bonham-carter , john cleese , ian holm , robert hardy .	FEM;N;SG _ MASC;PROPN;SG PART MASC;PROPN;SG _ MASC;PROPN;SG MASC;PROPN;SG _ MASC;PROPN;SG MASC;PROPN;SG _ MASC;PROPN;SG MASC;PROPN;SG _ MASC;PROPN;SG MASC;PROPN;SG _ MASC;PROPN;SG MASC;PROPN;SG _ MASC;PROPN;SG MASC;PROPN;SG _
léiríonn an barrghraf ( fíor 38.4 ) mar a úsáideadh an chuid eile den ola idir 1979 agus 1985 .	léirigh an graf ( fíor 38.4 ) mar a úsáid an cuid eile de ola idir 1979 agus 1985 .	IND;PRS;V DEF;DET;SG DEF;MASC;N;SG _ FEM;N;SG NUM _ CONJ PART IND;PST;V DEF;DET;SG DEF;FEM;N;SG DET ADP;SG DEF;FEM;N;SG ADP NUM CONJ NUM _
sin agaibh anois é ' , agus é á shá féin i bpiont go raibh dath an bháis air .	sin ag anois é ' , agus é do sá féin i bpiont go bí dath an bás ar .	PRO 2;ADP;PL ADV 3;MASC;PRO;SG _ _ CONJ 3;MASC;PRO;SG 3;ADP;MASC;SG N;NFIN PRO;REFL ADP MASC;N;SG PART IND;PST;V MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG 3;ADP;MASC;SG _
ba léir dó misneach agus dúshlán céadach na seacht dtúr .	is léir do misneach agus dúshlán céadach na seacht túr .	PST;V ADJ 3;ADP;MASC;SG MASC;N;SG CONJ MASC;N;SG ADJ;MASC;SG DEF;DET;FEM;GEN;SG NUM GEN;MASC;N;PL _
amach leis gur rug sé ar thacsaí .	amach le gur beir sé ar tacsaí .	ADV 3;ADP;MASC;SG PART;PST IND;PST;V 3;MASC;PRO;SG ADP MASC;N;SG _
an mhaidin dar gcionn , dhúisigh mé go tobann agus d' amharc mé timpeall orm .	an maidin dar ceann , dúisigh mé go ann agus do amharc mé timpeall ar .	DEF;DET;SG DEF;FEM;N;SG CONJ DAT;FEM;N;SG _ IND;PST;V 1;PRO;SG PART N;SG CONJ PART IND;PST;V 1;PRO;SG ADV 1;ADP;SG _
bhíodh díospóireachtaí teasaí inár measc fá chúrsaí forbartha agus feabhais ach níor bhain na hoibrithe riamh a súil de cheachtar den dá mhór-riachtanas sin - rudaí nua a thionscnamh agus tacú lena raibh ann cheana .	bí díospóireacht teasaí i measc faoi cúrsa forbairt agus feabhas ach níor bain na oibrí riamh a súil de ceachtar de dó riachtanas sin - rud nua a tionscnamh agus tacú le bí i cheana .	IMP;PST;V FEM;N;PL ADJ;FEM;PL 1;ADP;PL MASC;N;SG 3;MASC;SG MASC;N;PL FEM;GEN;N;SG CONJ GEN;MASC;N;SG CONJ NEG;PART;PST IND;NEG;PST;V DEF;DET;PL MASC;N;PL ADV 3;DET;PL FEM;N;SG ADP PRO ADP;SG DEF;NUM MASC;N;SG DET _ MASC;N;PL ADJ PART N;NFIN CONJ N;NFIN PART IND;PST;V 3;ADP;MASC;SG ADV _
chrom an diúc gur phioc suas é di go cúirtéiseach .	crom an diúc gur pioc suas é do go cúirtéiseach .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG PART;PST IND;PST;V ADV 3;MASC;PRO;SG 3;ADP;FEM;SG PART ADJ _
foilsíodh an chéad chuid den sraith cartún sa bhliain 1983 agus faoin mbliain 1993 bhí sé imleabhar ar fáil .	foilsigh an céad cuid de sraith cartún i bliain 1983 agus faoi bliain 1993 bí sé imleabhar ar fáil .	IND;PST;V DEF;DET;SG NUM FEM;N;SG ADP;SG FEM;N;SG MASC;N;SG ADP;SG DEF;FEM;N;SG NUM CONJ ADP;SG FEM;N;SG NUM IND;PST;V NUM MASC;N;SG ADP N;NFIN _
tugann an seabhac éachtaint bhreise dúinn san alt chéanna ar cén sórt comhairle í .	tabhair an seabhac éachtaint breis do i alt céanna ar cé sórt comhairle í .	IND;PRS;V DEF;DET;SG DEF;MASC;N;SG FEM;N;SG FEM;GEN;N;SG 1;ADP;PL ADP;SG MASC;N;SG ADJ;MASC;SG ADP PRO;SG DEF;MASC;N;SG FEM;GEN;N;SG 3;FEM;PRO;SG _
(4) maidir le gach ceadúnas , díolúine , ceart nó pribhléid a dheonófar don chuideachta nó a bheidh ar teachtadh aici agus a bheidh i bhfeidhm díreach roimh lá an aistrithe i ndáil le fochuideachta , beidh sé nó sí , ar an lá sin agus dá éis , infheidhmithe , le linn dó nó di leanúint i bhfeidhm , ag an bhfochuideachta a mhéid a bhaineann sé nó sí le feidhm a thugtar don fhochuideachta de bhua an achta seo nó a bheidh teagmhasach nó bainteach leis an bhfeidhm sin .	(4) maidir le gach ceadúnas , díolúine , ceart nó pribhléid a deonaigh do cuideachta nó a bí ar teachtadh ag agus a bí i feidhm díreach roimh lá an aistriú i dáil le cuideachta , bí sé nó sí , ar an lá sin agus do éis , feidhmithe , le linn do nó do leanúint i feidhm , ag an cuideachta a méid a bain sé nó sí le feidhm a tabhair do cuideachta de bua an acht seo nó a bí teagmhasach nó bainteach le an feidhm sin .	_ ADP ADP DEF;DET MASC;N;SG _ FEM;N;SG _ MASC;N;SG CONJ FEM;N;SG PART FUT;IND;V ADP;SG FEM;N;SG CONJ PART FUT;IND;V ADP N;NFIN 3;ADP;FEM;SG CONJ PART FUT;IND;V ADP FEM;N;SG MASC;N;SG ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADP FEM;N;SG ADP FEM;N;SG _ FUT;IND;V 3;MASC;PRO;SG CONJ 3;FEM;PRO;SG _ ADP DEF;DET;SG MASC;N;SG DET CONJ 3;ADP;MASC;SG N;SG _ ADJ;V.PTCP _ ADP ADP 3;ADP;MASC;SG CONJ 3;ADP;FEM;SG N;NFIN ADP FEM;N;SG _ ADP DEF;DET;SG FEM;N;SG 3;DET;MASC;SG MASC;N;SG PART IND;PRS;V 3;MASC;PRO;SG CONJ 3;FEM;PRO;SG ADP FEM;N;SG PART IND;PRS;V ADP;SG FEM;N;SG ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG DET CONJ PART FUT;IND;V ADJ CONJ ADJ ADP DEF;DET;SG FEM;N;SG DET _
casaimid beirt ar ár sáil d' aon chéim .	cas beirt ar ár sáil do aon céim .	1;IND;PL;PRS;V FEM;N;SG ADP 1;DET;PL FEM;N;SG PART DET FEM;N;SG _
' ach caithfidh mise a bheith ar shiúl chun an tsiopa .	' ach caith mise a bheith ar siúl chun an siopa .	_ CONJ FUT;IND;V 1;PRO;SG PART N;NFIN ADP N;NFIN ADP DEF;DET;SG DEF;GEN;MASC;N;SG _
tá siad ag iarraidh institiúid / eagrais / cumainn , a bhfuil suim acu sa ghaeilge a chur chun cinn , a spreagthadh chun gníomh ar leith a dhéanamh ar son na teanga le linn seachtain na gaeilge idir an 10ú agus an 17ú márta .	bí siad ag iarraidh institiúid / eagras / cumann , a bí suim ag i gaeilge a cur chun ceann , a spreagadh chun gníomh ar leith a déanamh ar son na teanga le linn seachtain na gaeilge idir an 10 agus an 17 márta .	IND;PRS;V 3;PL;PRO ADP N;V.MSDR FEM;N;SG _ MASC;N;PL _ MASC;N;PL _ PART IND;PRS;V FEM;N;SG 3;ADP;PL ADP;SG DEF;FEM;PROPN;SG PART N;NFIN ADP GEN;MASC;N;SG _ PART N;NFIN ADP MASC;N;SG ADP FEM;N;SG PART N;NFIN ADP ADP DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADP ADP FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG ADP DEF;DET;SG NUM CONJ DEF;DET;SG NUM MASC;N;SG _
' má chaitheann sé an lá inniu tá seans aige , tá sé ag dul trí fhaothú ' a déarfadh duine .	' má caith sé an lá inniu bí seans ag , bí sé ag dul trí fhaothú ' a abair duine .	_ CONJ IND;PRS;V 3;MASC;PRO;SG DEF;DET;SG DEF;MASC;N;SG ADV IND;PRS;V MASC;N;SG 3;ADP;MASC;SG _ IND;PRS;V 3;MASC;PRO;SG ADP N;V.MSDR ADP N;NFIN _ PART COND;V MASC;N;SG _
bhí an máistir ar cuairt ar an mbuailtín tar éis dó an scoilbhliain a chríochnú sa chathair .	bí an máistir ar cuairt ar an buailtín tar éis do an bliain a críochnú i cathair .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP FEM;N;SG ADP DEF;DET;SG MASC;N;SG ADP ADP 3;ADP;MASC;SG DEF;DET;SG FEM;N;SG PART N;NFIN ADP;SG DEF;FEM;N;SG _
má bhí cúrsaí go dona , níor thug an gasúr óg mórán airde air sin .	má bí cúrsa go dona , níor tabhair an gasúr óg mórán aird ar sin .	CONJ IND;PST;V MASC;N;PL PART ADJ _ NEG;PART;PST IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADJ;MASC;SG MASC;N;SG FEM;GEN;N;SG 3;ADP;MASC;SG PRO _
chuiridís oilithrigh amach go dtí compostela mar ionadaithe thar cionn a muintire go léir agus bhailítí airgead chuige sin sa chladach .	cuir oilithreach amach go dtí compostel mar ionadaí thar ceann a muintir go léir agus bailigh airgead chuig sin i cladach .	3;IMP;PL;PST;V MASC;N;PL ADV ADP ADP FEM;N;PL ADP MASC;N;PL ADP DAT;FEM;N;SG 3;DET;PL FEM;GEN;N;SG PART ADJ CONJ IMP;PST;V GEN;MASC;N;PL 3;ADP;MASC;SG PRO ADP;SG MASC;N;SG _
cuirtear bánéadach glan ar an mbord , agus leagtar bulóga sabóideacha air .	cuir bánéadach glan ar an bord , agus leag óg sabóideach ar .	IND;PRS;V MASC;N;SG MASC;N;SG ADP DEF;DET;SG MASC;N;SG _ CONJ IND;PRS;V MASC;N;PL ADJ;PL 3;ADP;MASC;SG _
an uup .	an uup .	DEF;DET;SG _ _
tá sé i gceist an scéil a leathadh ar fud an chontae ar fad i 2001 .	bí sé i ceist an scéal a leathadh ar fud an contae ar fad i 2001 .	IND;PRS;V 3;MASC;PRO;SG ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG PART N;NFIN ADP ADP DEF;DET;SG DEF;GEN;MASC;N;SG ADP MASC;N;SG ADP NUM _
ní móide go n-éireoidh leis an iarracht seo , ach ní shin le rá nach mbeifear á bhrú chun cinn le linn na bliana seo , agus b' fhéidir an bhliain seo chugainn leis .	is mór go éirigh le an iarracht seo , ach is sin le rá nach bí do brú chun ceann le linn na bliain seo , agus is féidir an bliain seo chuig le .	NEG;PRS;V ADJ;{CMPR/RL} PART FUT;IND;V ADP DEF;DET;SG DEF;FEM;N;SG DET _ CONJ NEG;PRS;V PRO ADP N;NFIN NEG;PART FUT;IND;NEG;V 3;ADP;MASC;SG N;NFIN ADP GEN;MASC;N;SG ADP ADP DEF;DET;PL DEF;FEM;GEN;N;SG DET _ CONJ PST;V N;SG DEF;DET;SG DEF;FEM;N;SG DET 1;ADP;PL 3;ADP;MASC;SG _
' dadaí ' agus ' mamaí ' seachas ' mo dheaide ' agus ' mo mhaime ' a thugaidís ar a n-athair agus a máthair .	' dadaí ' agus ' mamaí ' seachas ' mo dheaide ' agus ' mo mam ' a tabhair ar a athair agus a máthair .	_ MASC;N;SG _ CONJ _ FEM;N;SG _ ADP _ 1;DET;SG FEM;N;SG _ CONJ _ 1;DET;SG FEM;GEN;N;SG _ PART 3;IMP;PL;PST;V ADP 3;DET;PL MASC;N;SG CONJ 3;DET;PL FEM;N;SG _
tá liosta de dhá cheann déag de chúraimí atá le cur i gcrích agam , an ceann uileghabhálach seo san áireamh : ' other tasks as deemed necessary by unddsms ( pé hiad féin !	bí liosta de dó ceann déag de cúram bí le cur i críoch ag , an ceann uileghabhálach seo i áireamh : ' other tasks as deemed necessary by unddsms ( pé iad féin !	IND;PRS;V MASC;N;SG ADP DEF;NUM MASC;N;SG N;SG ADP MASC;N;PL IND;PRS;V ADP N;NFIN ADP DAT;FEM;N;SG 1;ADP;SG _ DEF;DET;SG DEF;MASC;N;SG ADJ;MASC;SG DET ADP;SG MASC;N;SG _ _ ADJ N ADP V ADJ ADP PROPN _ PRO 3;PL;PRO PRO;REFL _
is é a tharla ná gur cuireadh an dlí ar burton agus iarradh uirthi a ráiteas a tharraingt siar .	is é a tarlaigh ná gur cuir an dlí ar burton agus iarraidh ar a ráiteas a tarraingt siar .	PRS;V 3;MASC;PRO;SG PART IND;PST;V CONJ PART;PST IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP MASC;PROPN;SG CONJ N;NFIN 3;ADP;FEM;SG 3;DET;FEM;SG MASC;N;SG PART N;NFIN ADV _
' ó tá sé anseo sa gcistin , ' a deir monica .	' ó bí sé anseo i cistin , ' a abair monica .	_ ADP IND;PRS;V 3;MASC;PRO;SG ADV ADP;SG FEM;N;SG _ _ PART IND;PRS;V FEM;PROPN;SG _
tar éis píosa den lá bhuail micil siar abhaile .	tar éis píosa de lá buail micil siar abhaile .	ADP ADP MASC;N;SG ADP;SG MASC;N;SG IND;PST;V MASC;PROPN;SG ADV ADV _
(4) breithneoidh an ard-chomhairle gach aithris chúise agus na nótaí ( más ann dóibh ) ina taobh a leagfar fé n-a bráid fén alt so agus más deimhin léi tar éis an bhreithnithe sin go bhfuil an cúrsa stuidéir agus na scrúduithe le n-a mbaineann an aithris chúise sin gan bheith de shaghas a chuireann in áirithe go mbeidh ag daoine , a gheobhaidh teisteas tástála ón gcoláiste no ón gcólucht a cheangalann ar dhaoine an cúrsa stuidéir agus na scrúduithe sin do chur díobh , an oilteacht agus an t-eolas is gá chun a ngairm do chleachta go héifeachtúil , féadfidh an ard-chomhairle , le hordú , a fhaisnéis ná déanfidh aon teisteas tástála a dheonfidh an coláiste no an cólucht san d' éinne ar an dáta no tar éis an dáta a luadhfar chuige sin san ordú san ceart chun a chláruithe sa chlár do bhronna ar an duine sin .	(4) breithnigh an ard-chomhairle gach aithris cúis agus na nóta ( má i do ) i taobh a leag faoi n-a bráid faoi alt seo agus má deimhin le tar éis an breithniú sin go bí an cúrsa staidéar agus na scrúdú le a bain an aithris cúis sin gan bheith de saghas a cuir i áirithe go bí ag duine , a faigh teastas tástáil ó coláiste nó ó gcólucht a cheangalann ar duine an cúrsa staidéar agus na scrúdú sin do cur de , an oilteacht agus an eolas is gá chun a gairm do cleachta go éifeachtúil , féad an ard-chomhairle , le ordú , a faisnéis ná déan aon teastas tástáil a deonaigh an coláiste no an cólucht sin do duine ar an dáta no tar éis an dáta a luaigh chuig sin i ordú sin ceart chun a clárú i clár do bronnadh ar an duine sin .	_ FUT;IND;V DEF;DET;SG FEM;N;SG DEF;DET FEM;N;SG FEM;GEN;N;SG CONJ DEF;DET;PL DEF;MASC;N;PL _ V 3;ADP;MASC;SG 3;ADP;PL _ 3;ADP;FEM;SG MASC;N;SG PART FUT;IND;V ADP PART FEM;N;SG ADP;SG MASC;N;SG _ CONJ CONJ ADJ 3;ADP;FEM;SG ADP ADP DEF;DET;SG GEN;N;NFIN DET PART IND;PRS;V DEF;DET;SG DEF;MASC;N;SG GEN;MASC;N;SG CONJ DEF;DET;PL DEF;MASC;N;PL ADP PART IND;PRS;V DEF;DET;SG DEF;FEM;N;SG FEM;GEN;N;SG DET ADP N;NFIN ADP MASC;N;SG PART IND;PRS;V ADP FEM;N;SG PART FUT;IND;V ADP MASC;N;PL _ PART FUT;IND;V MASC;N;SG FEM;GEN;N;SG ADP;SG MASC;N;SG CONJ ADP;SG MASC;N;SG PART FEM;N;SG ADP MASC;N;PL DEF;DET;SG DEF;MASC;N;SG GEN;MASC;N;SG CONJ DEF;DET;PL DEF;MASC;N;PL DET ADP N;NFIN 3;ADP;PL _ DEF;DET;SG DEF;FEM;N;SG CONJ DEF;DET;SG DEF;MASC;N;SG PRS;V MASC;N;SG ADP 3;DET;PL FEM;N;SG ADP GEN;N;NFIN PART ADJ _ FUT;IND;V DEF;DET;SG FEM;N;SG _ ADP MASC;N;SG _ PART N;NFIN CONJ FUT;IND;V DET MASC;N;SG FEM;GEN;N;SG PART FUT;IND;V DEF;DET;SG DEF;MASC;N;SG CONJ DEF;DET;SG MASC;N;SG _ ADP MASC;N;SG ADP DEF;DET;SG DEF;MASC;N;SG CONJ ADP ADP DEF;DET;SG DEF;MASC;N;SG PART FUT;IND;V 3;ADP;MASC;SG PRO ADP;SG MASC;N;SG _ N ADP 3;DET;MASC;SG GEN;MASC;N;SG ADP;SG MASC;N;SG ADP N;NFIN ADP DEF;DET;SG DEF;MASC;N;SG DET _
an bille ombudsman ( leasú ) bhailte móra agus ar chathracha eile ar fud na tíre .	an bille ombudsman ( leasú ) baile mór agus ar cathair eile ar fud na tír .	DEF;DET;SG DEF;MASC;N;SG MASC;PROPN;SG _ MASC;N;SG _ GEN;MASC;N;PL ADJ;GEN;PL CONJ ADP FEM;N;PL DET ADP ADP DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG _
le tamall , le fada , le seachtain .	le tamall , le fad , le seachtain .	ADP MASC;N;SG _ ADP MASC;N;SG _ ADP FEM;N;SG _
' ' anois , a pháidín , ' a dúirt sí , ' níl muid ag iarraidh an scéal seo faoin litir a dhul níos faide mar b' fhéidir gur raic eile a bheadh ann dá bharr .	' ' anois , a páidín , ' a abair sí , ' bí muid ag iarraidh an scéal seo faoi litir a dul níos fada mar is féidir is raic eile a bí i de barr .	_ _ ADV _ PART MASC;PROPN;VOC _ _ PART IND;PST;V 3;FEM;PRO;SG _ _ IND;NEG;PRS;V 1;PL;PRO ADP N;V.MSDR DEF;DET;SG MASC;N;SG DET ADP;SG DEF;FEM;N;SG PART N;NFIN N;SG ADJ;{CMPR/RL} CONJ PST;V N;SG PRS;V FEM;N;SG DET PART COND;V 3;ADP;MASC;SG 3;ADP;MASC;SG MASC;N;SG _
is léir ón teideal go bhfuil draíocht i gceist sa dráma seo .	is léir ó teideal go bí draíocht i ceist i dráma seo .	PRS;V ADJ ADP;SG MASC;N;SG PART IND;PRS;V FEM;N;SG ADP FEM;N;SG ADP;SG DEF;MASC;N;SG DET _
ach is lena aghaidh sin a ceapadh na boinn ídín , leis an bhfuil a choinneáil ag sodarnaíl .	ach is le aghaidh sin a ceapadh na bonn ídín , le an fuil a coinneáil ag sodarnaíl .	CONJ PRS;V 3;ADP;MASC;SG FEM;N;SG DET PART N;NFIN DEF;DET;FEM;GEN;SG GEN;MASC;N;SG MASC;N;SG _ ADP DEF;DET;SG FEM;N;SG PART N;NFIN ADP FEM;N;SG _
fear le ceann rí air cuimhní cinn ar phádraig ó hiceadha foilsithe ag coiste dhaonscoil na mumhan teoranta euro 5 is iad coiste dhaonscoil na mumhan a chuir an leabhar cuimhneacháin seo ar phádraig ó hiceadha i dtoll a chéile .	fear le ceann rí ar cuimhne ceann ar pádraig ó hiceadha foilsithe ag coiste daonscoil na mumhan teoranta euro 5 is iad coiste daonscoil na mumhan a cuir an leabhar cuimhneachán seo ar pádraig ó hiceadha i toll a céile .	MASC;N;SG ADP MASC;N;SG GEN;MASC;N;SG 3;ADP;MASC;SG FEM;N;PL GEN;MASC;N;SG ADP MASC;PROPN;SG PART MASC;PL;PROPN ADJ;V.PTCP ADP MASC;N;SG FEM;N;SG DEF;DET;FEM;GEN;SG GEN;MASC;PL;PROPN ADJ MASC;PROPN;SG NUM PRS;V 3;PL;PRO MASC;N;SG FEM;N;SG DEF;DET;FEM;GEN;SG GEN;MASC;PL;PROPN PART IND;PST;V DEF;DET;SG DEF;MASC;N;SG GEN;MASC;N;SG DET ADP MASC;PROPN;SG PART MASC;PL;PROPN ADP MASC;N;SG 3;DET;MASC;SG GEN;MASC;N;SG _
agus ranganna seiteanna agus céilí do dhaoine fásta gach oíche dé luain ag 8.30 .	agus rang seit agus céile do duine fásta gach oíche dé luain ag 8.30 .	CONJ MASC;N;PL GEN;MASC;N;PL CONJ GEN;MASC;N;PL ADP MASC;N;PL ADJ;V.PTCP DEF;DET FEM;N;SG N;SG GEN;MASC;N;SG ADP NUM _
ar dheis ansin fríd an eastát tionsclaíocha .	ar deis ansin fríd an eastát tionsclaíocht .	ADP FEM;N;SG ADV ADP DEF;DET;SG MASC;N;SG FEM;GEN;N;SG _
mar a tchítear do sheosamh mac grianna é caithfidh an t-ealaíontóir an solas a thabhairt don saol agus diúltú do chathú sin na truaillíochta a chuireann an saol ina chosán .	mar a tchí do seosamh mac grianna é caith an ealaíontóir an solas a tabhairt do saol agus diúltú do cathú sin na truaillíochta a cuir an saol i cosán .	CONJ PART IND;PRS;V ADP MASC;PROPN;SG PART GEN;MASC;PROPN;SG 3;MASC;PRO;SG FUT;IND;V DEF;DET;SG DEF;MASC;N;SG DEF;DET;SG DEF;MASC;N;SG PART N;NFIN ADP;SG DEF;MASC;N;SG CONJ MASC;N;SG ADP MASC;N;SG PRO DEF;DET;FEM;GEN;SG FEM;GEN;N;SG PART IND;PRS;V DEF;DET;SG DEF;MASC;N;SG 3;ADP;MASC;SG MASC;N;SG _
tá an páirtí daonlathach iad féin chun é a chur tríd an dáil , dar lena bhforógra , in ainneoin go raibh seans acu é a dhéanamh cheana féin agus iad i gcumhacht .	bí an páirtí daonlathach iad féin chun é a cur trí an dáil , dar le forógra , i ainneoin go bí seans ag é a déanamh cheana féin agus iad i cumhacht .	IND;PRS;V DEF;DET;SG DEF;MASC;N;SG ADJ;MASC;SG 3;PL;PRO PRO;REFL ADP 3;MASC;PRO;SG PART N;NFIN ADP DEF;DET;SG FEM;N;SG _ IND;PRS;V 3;ADP;PL MASC;N;SG _ ADP N;SG PART IND;NEG;PST;V MASC;N;SG 3;ADP;PL 3;MASC;PRO;SG PART N;NFIN ADV PRO;REFL CONJ 3;PL;PRO ADP FEM;N;SG _
b' fhéidir go mba shólás leis sin , cá bhfios - i ndiaidh a raibh céasta aige ag smeara gúscéimhe thar ghaimh ghránna a chnis .	is féidir go is sólás le sin , cá fios - i ndiaidh a bí céasta ag ag sméar gúscéimhe thar ghaimh gránna a cneas .	PST;V N;SG PART PST;V MASC;N;SG 3;ADP;MASC;SG PRO _ ADV MASC;N;SG _ ADP ADP PART IND;PST;V ADJ;V.PTCP 3;ADP;MASC;SG ADP MASC;N;PL FEM;GEN;N;SG ADP FEM;N;SG ADJ 3;DET;MASC;SG GEN;MASC;N;SG _
dúirt sé go dtabharfaidh an bhean an leabhar do mháire .	abair sé go tabhair an bean an leabhar do máire .	IND;PST;V 3;MASC;PRO;SG PART FUT;IND;V DEF;DET;SG DEF;FEM;N;SG DEF;DET;SG DEF;MASC;N;SG ADP FEM;PROPN;SG _
tá an teach a bhí ag an mhinistéir ansin , ' an lios ' , an teach inar thug dúbhglas de h-íde an chuid ba mhó dá óige , ina sheasamh fós , timpeall céad slat isteach ón bhóthar idir dún gar agus bealach an doirín agus ceathrú mhíle ó shéipéal eaglais na héireann a raibh athair dhúbhglais chun a bheith ina reachtaire ann ar an phortach ard .	bí an teach a bí ag an mhinistéir ansin , ' an lios ' , an teach i tabhair dúbhglas de h-íde an cuid is mór de óige , i seasamh fós , timpeall céad slat isteach ó bóthar idir dún gar agus bealach an doirín agus ceathrú míle ó séipéal eaglais na éire a bí athair dhúbhglais chun a bheith i reachtaire i ar an portach ard .	IND;PRS;V DEF;DET;SG DEF;MASC;N;SG PART IND;PST;V ADP DEF;DET;SG MASC;N;SG ADV _ _ DEF;DET;SG DEF;MASC;N;SG _ _ DEF;DET;SG DEF;MASC;N;SG PART IND;PST;V MASC;PROPN;SG PART MASC;PROPN;SG DEF;DET;SG DEF;FEM;N;SG PST;V ADJ;{CMPR/RL} 3;ADP;MASC;SG FEM;N;SG _ 3;ADP;MASC;SG MASC;N;SG ADV _ MASC;N;SG NUM FEM;N;SG ADV ADP;SG MASC;N;SG ADP MASC;N;SG GEN;MASC;N;SG CONJ MASC;N;SG DEF;DET;SG GEN;MASC;PROPN;SG CONJ FEM;N;SG GEN;MASC;N;SG ADP MASC;N;SG FEM;PROPN;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG PART IND;PST;V MASC;N;SG MASC;PROPN;SG ADP PART N;NFIN 3;ADP;MASC;SG MASC;N;SG 3;ADP;MASC;SG ADP DEF;DET;SG MASC;N;SG ADJ;MASC;SG _
( ' oidhe réalt an ghleanna ' , cp ) .	( ' oidhe réalta an gleanna ' , cp ) .	_ _ FEM;N;SG FEM;GEN;N;SG DEF;DET;SG GEN;MASC;PROPN;SG _ _ _ _ _
