část druhá	část druhý	FEM;N;NOM;POS;SG ADJ;FEM;NOM;POS;SG
pokud jsou tyto zálohy vyšší nebo rovny předpokládané dani , účetní jednotka položku " b.i.3._rezerva_na_daň_z_příjmů " neuvede .	pokud být tento záloha vysoký nebo rovný předpokládaný daň , účetní jednotka položka " "b.i.3._rezerva_na_daň_z_příjmů" " uvést .	CONJ 3;ACT;FIN;IND;PL;POS;PRS;V DET;FEM;NOM;PL FEM;N;NOM;PL;POS ADJ;CMPR;FEM;NOM;PL;POS CONJ ADJ;INAN;PL;POS;{FEM/MASC} ADJ;DAT;FEM;POS;SG DAT;FEM;N;POS;SG _ ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG ACC;FEM;N;POS;SG _ _ _ 3;ACT;FIN;IND;NEG;PRS;SG;V _
hlediskem pro účtování a vykazování účetních případů časového rozlišení je skutečnost , že jsou v okamžiku jejich účtování současně známy jejich účel ( věcné vymezení ) , částka a období , kterých se týkají .	hledisko pro účtování a vykazování účetní případ časový rozlišení být skutečnost , že být v okamžik jeho účtování současně známý jeho účel ( věcný vymezení ) , částka a období , který se týkat .	INS;N;NEUT;POS;SG ACC;ADP ACC;N;NEUT;POS;SG CONJ ACC;N;NEUT;POS;SG ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V FEM;N;NOM;POS;SG _ CONJ 3;ACT;FIN;IND;PL;POS;PRS;V ADP;ESS ESS;INAN;MASC;N;POS;SG 3;DET;PSSP GEN;N;NEUT;POS;SG ADV;POS ADJ;INAN;PL;POS;{FEM/MASC} 3;DET;PSSP INAN;MASC;N;NOM;POS;SG _ ADJ;NEUT;NOM;POS;SG N;NEUT;NOM;POS;SG _ _ FEM;N;NOM;POS;SG CONJ N;NEUT;NOM;POS;SG _ DET;GEN;PL ACC;PRO;REFL 3;ACT;FIN;IND;PL;POS;PRS;V _
(5) pokud při přeshraniční přeměně je nástupnickou společností , družstvem nebo přejímajícím společníkem zahraniční osoba a ze zúčastněné zanikající účetní jednotky podle §_1_odst._2_písm._a) vznikne účetní jednotka podle §_1_odst._2_písm._b) , neotevírá tato účetní jednotka ke dni zahájení své činnosti účetní knihy , ale pokračuje ve vedení účetnictví po úpravách provedených v souladu s metodami přeměny společnosti s účinky od rozhodného dne .	(5) pokud při přeshraniční přeměna být nástupnický společnost , družstvo nebo přejímající společník zahraniční osoba a z zúčastněný zanikající účetní jednotka podle §_1_odst._2_písm._a) vzniknout účetní jednotka podle §_1_odst._2_písm._b) , otevírat tento účetní jednotka k den zahájení svůj činnost účetní kniha , ale pokračovat v vedení účetnictví po úprava provedený v soulad s metoda přeměna společnost s účinek od rozhodný den .	_ CONJ ADP;ESS ADJ;ESS;FEM;POS;SG ESS;FEM;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG _ INS;N;NEUT;POS;SG CONJ ACT;ADJ;ANIM;INS;IPFV;MASC;POS;PRS;SG;V.PTCP ANIM;INS;MASC;N;POS;SG ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG CONJ ADP;GEN ADJ;FEM;GEN;POS;SG ACT;ADJ;FEM;GEN;IPFV;POS;PRS;SG;V.PTCP ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG ADP;GEN _ 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG ADP;GEN _ _ 3;ACT;FIN;IND;NEG;PRS;SG;V DET;FEM;NOM;SG ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG ADP;DAT DAT;INAN;MASC;N;POS;SG GEN;N;NEUT;POS;SG DET;FEM;GEN;REFL;SG FEM;GEN;N;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _ CONJ 3;ACT;FIN;IND;POS;PRS;SG;V ADP;ESS ESS;N;NEUT;POS;SG GEN;N;NEUT;POS;SG ADP;ESS ESS;FEM;N;PL;POS ADJ;ESS;FEM;PL;POS ADP;ESS ESS;INAN;MASC;N;POS;SG ADP;INS FEM;INS;N;PL;POS FEM;GEN;N;POS;SG FEM;GEN;N;POS;SG ADP;INS INAN;INS;MASC;N;PL;POS ADP;GEN ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG _
§_31	§_31	_
rozsah vedení účetnictví , účetní doklady , účetní zápisy a účetní knihy	rozsah vedení účetnictví , účetní doklad , účetní zápis a účetní kniha	INAN;MASC;N;NOM;POS;SG GEN;N;NEUT;POS;SG GEN;N;NEUT;POS;SG _ ADJ;INAN;MASC;NOM;PL;POS INAN;MASC;N;NOM;PL;POS _ ADJ;INAN;MASC;NOM;PL;POS INAN;MASC;N;NOM;PL;POS CONJ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS
(9) využije-li účetní jednotka možnosti podle odstavců 7 nebo 8 a dojde ke změně původního předpokladu , a to i v průběhu účetního období , nepoužije účetní jednotka pro účtování a sestavení účetní závěrky mezinárodní účetní standardy od počátku účetního období , ve kterém došlo ke změně původního předpokladu , případně od počátku účetního období , které bylo stanoveno rozhodnutím nejvyššího orgánu účetní jednotky , nebo od následujícího účetního období .	(9) využije-li účetní jednotka možnost podle odstavec 7 nebo 8 a dojít k změna původní předpoklad , a ten i v průběh účetní období , použít účetní jednotka pro účtování a sestavení účetní závěrka mezinárodní účetní standarda od počátek účetní období , v který dojít k změna původní předpoklad , případně od počátek účetní období , který být stanovený rozhodnutí vysoký orgán účetní jednotka , nebo od následující účetní období .	_ N;NEUT;POS ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG FEM;GEN;N;POS;SG ADP;GEN GEN;INAN;MASC;N;PL;POS NUM CONJ NUM CONJ 3;ACT;FIN;IND;POS;PRS;SG;V ADP;DAT DAT;FEM;N;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG _ CONJ ACC;DET;NEUT;SG CONJ ADP;ESS ESS;INAN;MASC;N;POS;SG ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG _ 3;ACT;FIN;IND;NEG;PRS;SG;V ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG ACC;ADP ACC;N;NEUT;POS;SG CONJ ACC;N;NEUT;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG ADJ;FEM;GEN;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG ADP;GEN GEN;INAN;MASC;N;POS;SG ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG _ ADP;ESS DET;ESS;SG;{MASC/NEUT} ACT;NEUT;POS;PST;SG;V;V.PTCP ADP;DAT DAT;FEM;N;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG _ ADV;POS ADP;GEN GEN;INAN;MASC;N;POS;SG ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG _ DET;NEUT;NOM;SG ACT;NEUT;POS;PST;SG;V;V.PTCP ADJ;NEUT;PASS;POS;SG;V.PTCP INS;N;NEUT;POS;SG ADJ;GEN;INAN;MASC;POS;RL;SG GEN;INAN;MASC;N;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _ CONJ ADP;GEN ACT;ADJ;GEN;IPFV;NEUT;POS;PRS;SG;V.PTCP ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG _
(6) uplatnit hospodářský rok za podmínek uvedených v odstavci 5 lze též a) účetní jednotkou do 30 dnů ode dne vzniku účetní jednotky , nebo b) nástupnickou účetní jednotkou , účetní jednotkou rozdělovanou odštěpením nebo přejímajícím společníkem v případě převodu jmění na společníka do 30 dnů ode dne zápisu přeměny společnosti do obchodního rejstříku .	(6) uplatnit hospodářský rok za podmínka uvedený v odstavec 5 lze též a) účetní jednotka do 30 den od den vznik účetní jednotka , nebo b) nástupnický účetní jednotka , účetní jednotka rozdělovaný odštěpení nebo přejímající společník v případ převod jmění na společník do 30 den od den zápis přeměna společnost do obchodní rejstřík .	_ NFIN;POS;V ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG ADP;GEN FEM;GEN;N;PL;POS ADJ;FEM;GEN;PL;POS ADP;ESS ESS;INAN;MASC;N;POS;SG NUM 3;ACT;FIN;IND;POS;PRS;SG;V ADV _ ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG ADP;GEN NUM GEN;INAN;MASC;N;PL;POS ADP;GEN GEN;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _ CONJ _ ADJ;FEM;INS;POS;SG ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG _ ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG ADJ;FEM;INS;POS;SG INS;N;NEUT;POS;SG CONJ ACT;ADJ;ANIM;INS;IPFV;MASC;POS;PRS;SG;V.PTCP ANIM;INS;MASC;N;POS;SG ADP;ESS ESS;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG GEN;N;NEUT;POS;SG ACC;ADP ACC;ANIM;MASC;N;POS;SG ADP;GEN NUM GEN;INAN;MASC;N;PL;POS ADP;GEN GEN;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG FEM;GEN;N;POS;SG FEM;GEN;N;POS;SG ADP;GEN ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG _
(2) položka " d.i.1._náklady_příštích_období " obsahuje výdaje , které se týkají nákladů příštích účetních období .	(2) položka " "d.i.1._náklady_příštích_období" " obsahovat výdaj , který se týkat náklad příští účetní období .	_ FEM;N;NOM;POS;SG _ _ _ 3;ACT;FIN;IND;POS;PRS;SG;V ACC;INAN;MASC;N;PL;POS _ DET;INAN;MASC;NOM;PL ACC;PRO;REFL 3;ACT;FIN;IND;PL;POS;PRS;V GEN;INAN;MASC;N;PL;POS ADJ;GEN;NEUT;PL;POS ADJ;GEN;NEUT;PL;POS GEN;N;NEUT;PL;POS _
§_37b	§_37b	_
(3) položka " b.iii.4._závazky_ke_společníkům,_členům_družstva_a_k_účastníkům_sdružení " obsahuje obdobné tituly jako položka " b.ii.4._závazky_ke_společníkům,_členům_družstva_a_k_účastníkům_sdružení " a dále zejména závazky ke společníkům a členům družstva ve výši jejich podílu na zisku , závazky ke společníkům ve společnostech s ručením omezeným a komanditistům komanditních společností a členům družstev ze závislé činnosti , závazky z upsaných nesplacených akcií a vkladů a závazky k účastníkům sdružení , které není právnickou osobou .	(3) položka " "b.iii.4._závazky_ke_společníkům,_členům_družstva_a_k_účastníkům_sdružení" " obsahovat obdobný titulus jako položka " "b.ii.4._závazky_ke_společníkům,_členům_družstva_a_k_účastníkům_sdružení" " a dále zejména závazek k společník a člen družstvo v výše jeho podíl na zisk , závazek k společník v společnost s ručení omezený a komanditista komanditní společnost a člen družstvo z závislý činnost , závazek z upsaný splacený akcie a vklad a závazek k účastník sdružení , který být právnický osoba .	_ FEM;N;NOM;POS;SG _ _ _ 3;ACT;FIN;IND;POS;PRS;SG;V ACC;ADJ;INAN;MASC;PL;POS ACC;INAN;MASC;N;PL;POS CONJ FEM;N;NOM;POS;SG _ _ _ CONJ ADV ADV ACC;INAN;MASC;N;PL;POS ADP;DAT ANIM;DAT;MASC;N;PL;POS CONJ ANIM;DAT;MASC;N;PL;POS GEN;N;NEUT;POS;SG ADP;ESS ESS;FEM;N;POS;SG 3;DET;PSSP GEN;INAN;MASC;N;POS;SG ADP;ESS ESS;INAN;MASC;N;POS;SG _ INAN;MASC;N;NOM;PL;POS ADP;DAT ANIM;DAT;MASC;N;PL;POS ADP;ESS ESS;FEM;N;PL;POS ADP;INS INS;N;NEUT;POS;SG ADJ;INS;NEUT;POS;SG CONJ ANIM;DAT;MASC;N;PL;POS ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS CONJ ANIM;DAT;MASC;N;PL;POS GEN;N;NEUT;PL;POS ADP;GEN ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _ ACC;INAN;MASC;N;PL;POS ADP;GEN ADJ;FEM;GEN;PL;POS ADJ;FEM;GEN;NEG;PL FEM;GEN;N;PL;POS CONJ GEN;INAN;MASC;N;PL;POS CONJ INAN;MASC;N;NOM;PL;POS ADP;DAT ANIM;DAT;MASC;N;PL;POS GEN;N;NEUT;POS;SG _ DET;NEUT;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;INS;POS;SG FEM;INS;N;POS;SG _
kapitálové fondy	kapitálový fond	ADJ;INAN;MASC;NOM;PL;POS INAN;MASC;N;NOM;PL;POS
(1) položka " c.i._časové_rozlišení " obsahuje tituly časového rozlišení , které mají pasivní zůstatek .	(1) položka " "c.i._časové_rozlišení" " obsahovat titulus časový rozlišení , který mít pasivní zůstatek .	_ FEM;N;NOM;POS;SG _ _ _ 3;ACT;FIN;IND;POS;PRS;SG;V ACC;INAN;MASC;N;PL;POS ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG _ DET;FEM;NOM;PL 3;ACT;FIN;IND;PL;POS;PRS;V ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG _
dotací se rovněž rozumí prominutí části poplatků , pokud to právní předpis umožňuje a příslušný orgán stanovil prominutou část poplatků za dotaci .	dotace se rovněž rozumět prominutí část poplatek , pokud ten právní předpis umožňovat a příslušný orgán stanovit prominutý část poplatek za dotace .	FEM;INS;N;POS;SG ACC;PRO;REFL ADV 3;ACT;FIN;IND;POS;PRS;SG;V ACC;N;NEUT;POS;SG FEM;GEN;N;POS;SG GEN;INAN;MASC;N;PL;POS _ CONJ DET;NEUT;NOM;SG ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V CONJ ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG ACT;MASC;POS;PST;SG;V;V.PTCP ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG GEN;INAN;MASC;N;PL;POS ACC;ADP ACC;FEM;N;POS;SG _
(7) po schválení účetní závěrky nesmí účetní jednotka přidávat další účetní zápisy kdykoli později do uzavřených účetních knih s výjimkou případů přeměny společnosti uvedených v odstavci 3 .	(7) po schválení účetní závěrka smět účetní jednotka přidávat další účetní zápis kdykoliv pozdě do uzavřený účetní kniha s výjimka případ přeměna společnost uvedený v odstavec 3 .	_ ADP;ESS ESS;N;NEUT;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG 3;ACT;FIN;IND;NEG;PRS;SG;V ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG NFIN;POS;V ACC;ADJ;INAN;MASC;PL;POS ACC;ADJ;INAN;MASC;PL;POS ACC;INAN;MASC;N;PL;POS ADV ADV;CMPR;POS ADP;GEN ADJ;FEM;GEN;PL;POS ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS ADP;INS FEM;INS;N;POS;SG GEN;INAN;MASC;N;PL;POS FEM;GEN;N;POS;SG FEM;GEN;N;POS;SG ADJ;FEM;GEN;PL;POS ADP;ESS ESS;INAN;MASC;N;POS;SG NUM _
pokud účetní záznam není podepsán před předáním k přenosu , musí být podepsán nejpozději v okamžiku jeho předání k přenosu .	pokud účetní záznam být podepsaný před předání k přenos , muset být podepsaný pozdě v okamžik jeho předání k přenos .	CONJ ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;MASC;PASS;POS;SG;V.PTCP ADP;INS INS;N;NEUT;POS;SG ADP;DAT DAT;INAN;MASC;N;POS;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V NFIN;POS;V ADJ;MASC;PASS;POS;SG;V.PTCP ADV;CMPR;POS ADP;ESS ESS;INAN;MASC;N;POS;SG 3;DET;PSSS GEN;N;NEUT;POS;SG ADP;DAT DAT;INAN;MASC;N;POS;SG _
(15) účetní jednotky jsou povinny v příslušném účetním období použít účetní metody podle odstavce 8 ve znění platném na jeho počátku .	(15) účetní jednotka být povinný v příslušný účetní období použít účetní metoda podle odstavec 8 v znění platný na jeho počátek .	_ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;INAN;PL;POS;{FEM/MASC} ADP;ESS ADJ;ESS;NEUT;POS;SG ADJ;ESS;NEUT;POS;SG ESS;N;NEUT;POS;SG NFIN;POS;V ACC;ADJ;FEM;PL;POS ACC;FEM;N;PL;POS ADP;GEN GEN;INAN;MASC;N;POS;SG NUM ADP;ESS ESS;N;NEUT;POS;SG ADJ;ESS;NEUT;POS;SG ADP;ESS 3;DET;PSSS ESS;INAN;MASC;N;POS;SG _
vydání standardů oznamuje ministerstvo ve finančním zpravodaji .	vydání standard oznamovat ministerstvo v finanční zpravodaj .	N;NEUT;NOM;POS;SG GEN;INAN;MASC;N;PL;POS 3;ACT;FIN;IND;POS;PRS;SG;V N;NEUT;NOM;POS;SG ADP;ESS ADJ;ESS;INAN;MASC;POS;SG ESS;INAN;MASC;N;POS;SG _
volbu metody ocenění provede účetní jednotka s ohledem na významnost a věrný a poctivý obraz předmětu účetnictví a finanční situace účetní jednotky .	volba metoda ocenění provést účetní jednotka s ohled na významnost a věrný a poctivý obraz předmět účetnictví a finanční situace účetní jednotka .	ACC;FEM;N;POS;SG FEM;GEN;N;POS;SG GEN;N;NEUT;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG ADP;INS INAN;INS;MASC;N;POS;SG ACC;ADP ACC;FEM;N;POS;SG CONJ ACC;ADJ;INAN;MASC;POS;SG CONJ ACC;ADJ;INAN;MASC;POS;SG ACC;INAN;MASC;N;POS;SG GEN;INAN;MASC;N;POS;SG GEN;N;NEUT;POS;SG CONJ ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG ADJ;FEM;GEN;POS;SG FEM;GEN;N;POS;SG _
§_58	§_58	_
(2) účetní jednotky oceňují majetek a závazky a) k okamžiku uskutečnění účetního případu způsoby podle §_25 , b) ke konci rozvahového dne nebo k jinému okamžiku , k němuž se účetní závěrka sestavuje , způsoby podle §_27 ; rovněž toto ocenění je povinna zaznamenat v účetních knihách , ( dále jen " okamžik_ocenění " ) .	(2) účetní jednotka oceňovat majetek a závazek a) k okamžik uskutečnění účetní případ způsoba podle §_25 , b) k konec rozvahový den nebo k jiný okamžik , k jenž se účetní závěrka sestavovat , způsoba podle §_27 ; rovněž tento ocenění být povinný zaznamenat v účetní kniha , ( dále jen " "okamžik_ocenění" " ) .	_ ADJ;FEM;NOM;PL;POS FEM;N;NOM;PL;POS 3;ACT;FIN;IND;PL;POS;PRS;V ACC;INAN;MASC;N;POS;SG CONJ ACC;INAN;MASC;N;PL;POS _ ADP;DAT DAT;INAN;MASC;N;POS;SG GEN;N;NEUT;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG FEM;GEN;N;POS;SG ADP;GEN _ _ _ ADP;DAT DAT;INAN;MASC;N;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG CONJ ADP;DAT ADJ;DAT;INAN;MASC;POS;SG DAT;INAN;MASC;N;POS;SG _ ADP;DAT DAT;PRO;SG;{MASC/NEUT} ACC;PRO;REFL ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V _ FEM;GEN;N;POS;SG ADP;GEN _ _ ADV DET;NEUT;NOM;SG N;NEUT;NOM;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;POS;{FEM/NEUT};{PL/SG} NFIN;POS;V ADP;ESS ADJ;ESS;FEM;PL;POS ESS;FEM;N;PL;POS _ _ ADV PART _ _ _ _ _
(4) podpisovým záznamem se rozumí účetní záznam , jehož obsahem je vlastnoruční podpis nebo uznávaný elektronický podpis podle zvláštního právního předpisu , anebo obdobný průkazný účetní záznam v technické formě , který zaručuje průkaznou a jednoznačnou původnost .	(4) podpisový záznam se rozumět účetní záznam , jenž obsah být vlastnoruční podpis nebo uznávaný elektronický podpis podle zvláštní právní předpis , anebo obdobný průkazný účetní záznam v technický forma , který zaručovat průkazný a jednoznačný původnost .	_ ADJ;INAN;INS;MASC;POS;SG INAN;INS;MASC;N;POS;SG ACC;PRO;REFL 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG _ GEN;PRO;SG;{MASC/NEUT} INAN;INS;MASC;N;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG CONJ ADJ;INAN;MASC;NOM;POS;SG ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG ADP;GEN ADJ;GEN;INAN;MASC;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG _ CONJ ADJ;INAN;MASC;NOM;POS;SG ADJ;INAN;MASC;NOM;POS;SG ADJ;INAN;MASC;NOM;POS;SG INAN;MASC;N;NOM;POS;SG ADP;ESS ADJ;ESS;FEM;POS;SG ESS;FEM;N;POS;SG _ DET;MASC;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V ACC;ADJ;FEM;POS;SG CONJ ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG _
pokud účetní jednotka zjišťuje cenu lesního porostu také jiným způsobem než součinem lesních pozemků s lesním porostem a průměrné hodnoty zásoby surového dřeva podle písmene b) , například v souvislosti s podrobnějším členěním podle skupiny dřevin , a takto zjištěná cena je významně rozdílná , uvede také tuto cenu a informace o způsobu stanovení její výše a jejím účelu .	pokud účetní jednotka zjišťovat cena lesní porost také jiný způsob než součin lesní pozemek s lesní porost a průměrný hodnota zásoba surový dřevo podle písmeno b) , například v souvislost s podrobný členění podle skupina dřevina , a takto zjištěný cena být významně rozdílný , uvést také tento cena a informace o způsob stanovení jeho výše a jeho účel .	CONJ ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ACC;FEM;N;POS;SG ADJ;GEN;INAN;MASC;POS;SG GEN;INAN;MASC;N;POS;SG ADV ADJ;INAN;INS;MASC;POS;SG INAN;INS;MASC;N;POS;SG CONJ INAN;INS;MASC;N;POS;SG ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS ADP;INS ADJ;INAN;INS;MASC;POS;SG INAN;INS;MASC;N;POS;SG CONJ ACC;ADJ;FEM;PL;POS ACC;FEM;N;PL;POS FEM;GEN;N;POS;SG ADJ;GEN;NEUT;POS;SG GEN;N;NEUT;POS;SG ADP;GEN GEN;N;NEUT;POS;SG _ _ ADV ADP;ESS ESS;FEM;N;POS;SG ADP;INS ADJ;CMPR;INS;NEUT;POS;SG INS;N;NEUT;POS;SG ADP;GEN FEM;GEN;N;POS;SG FEM;GEN;N;PL;POS _ CONJ ADV ADJ;FEM;NOM;POS;SG FEM;N;NOM;POS;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADV;POS ADJ;FEM;NOM;POS;SG _ 3;ACT;FIN;IND;POS;PRS;SG;V ADV ACC;DET;FEM;SG ACC;FEM;N;POS;SG CONJ ACC;FEM;N;PL;POS ADP;ESS ESS;INAN;MASC;N;POS;SG GEN;N;NEUT;POS;SG 3;DET;FEM;PSSS;SG FEM;GEN;N;POS;SG CONJ 3;DET;ESS;PSSS;SG;{MASC/NEUT} ESS;INAN;MASC;N;POS;SG _
ustanovení přechodná zavedena vyhláškou č._472/2003_sb._čl._ii	ustanovení přechodný zavedený vyhláška č._472/2003_sb._čl._ii	N;NEUT;NOM;PL;POS ADJ;NEUT;NOM;PL;POS ADJ;PASS;POS;V.PTCP;{FEM/NEUT};{PL/SG} FEM;INS;N;POS;SG _
§_70	§_70	_
(2) v účetní závěrce se navíc za vzájemné zúčtování nepovažuje souhrnné vykázání kursových rozdílů , zisků a ztrát z přecenění majetku a závazků na reálnou hodnotu , pohledávek a závazků , s výjimkou přijatých a poskytnutých záloh , vůči téže fyzické nebo právnické osobě , které mají dobu splatnosti do jednoho roku a jsou vedeny ve stejných měnách , vykázání vlastních dluhopisů a vykázání rezervy na daň z příjmů a uhrazených záloh na daň z příjmů .	(2) v účetní závěrka se navíc za vzájemný zúčtování považovat souhrnný vykázání kursový rozdíl , zisk a ztráta z přecenění majetek a závazek na reálný hodnota , pohledávka a závazek , s výjimka přijatý a poskytnutý záloha , vůči týž fyzický nebo právnický osoba , který mít doba splatnost do jeden rok a být vedený v stejný měna , vykázání vlastní dluhopis a vykázání rezerva na daň z příjem a uhrazený záloha na daň z příjem .	_ ADP;ESS ADJ;ESS;FEM;POS;SG ESS;FEM;N;POS;SG ACC;PRO;REFL ADV ACC;ADP ACC;ADJ;NEUT;POS;SG ACC;N;NEUT;POS;SG 3;ACT;FIN;IND;NEG;PRS;SG;V ADJ;NEUT;NOM;POS;SG N;NEUT;NOM;POS;SG ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS _ GEN;INAN;MASC;N;PL;POS CONJ FEM;GEN;N;PL;POS ADP;GEN GEN;N;NEUT;POS;SG GEN;INAN;MASC;N;POS;SG CONJ GEN;INAN;MASC;N;PL;POS ACC;ADP ACC;ADJ;FEM;POS;SG ACC;FEM;N;POS;SG _ FEM;GEN;N;PL;POS CONJ GEN;INAN;MASC;N;PL;POS _ ADP;INS FEM;INS;N;POS;SG ADJ;FEM;GEN;PL;POS CONJ ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS _ ADP;DAT DAT;DET;FEM;SG ADJ;DAT;FEM;POS;SG CONJ ADJ;DAT;FEM;POS;SG DAT;FEM;N;POS;SG _ DET;FEM;NOM;PL 3;ACT;FIN;IND;PL;POS;PRS;V ACC;FEM;N;POS;SG FEM;GEN;N;POS;SG ADP;GEN GEN;NUM;SG;{MASC/NEUT} GEN;INAN;MASC;N;POS;SG CONJ 3;ACT;FIN;IND;PL;POS;PRS;V ADJ;INAN;PASS;PL;POS;V.PTCP;{FEM/MASC} ADP;ESS ADJ;ESS;FEM;PL;POS ESS;FEM;N;PL;POS _ N;NEUT;NOM;POS;SG ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS CONJ GEN;N;NEUT;PL;POS FEM;GEN;N;POS;SG ACC;ADP ACC;FEM;N;POS;SG ADP;GEN GEN;INAN;MASC;N;PL;POS CONJ ADJ;FEM;GEN;PL;POS FEM;GEN;N;PL;POS ACC;ADP ACC;FEM;N;POS;SG ADP;GEN GEN;INAN;MASC;N;PL;POS _
úschova účetních záznamů	úschova účetní záznam	FEM;N;NOM;POS;SG ADJ;GEN;INAN;MASC;PL;POS GEN;INAN;MASC;N;PL;POS
