eilañ perzhioù an teuliad	eilañ perzh an teuliad	NFIN;V MASC;N;PL DET MASC;N;SG
gounit a ra ar gomunouriezh kalz tachenn e breizh abalamour d' ar roll a-bouez endeus bet ar pcf hag an urss er r brezel .	gounit a ober an komunouriezh kalz tachenn e breizh abalamour da an roll a-bouez kaout kaout an pcf ha an urss e an brezel .	NFIN;V PART 3;FIN;IND;PRS;SG;V DET FEM;N;SG ADP FEM;N;SG ADP PROPN;SG _ ADP DET MASC;N;SG ADJ 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG CONJ DET MASC;N;SG ADP DET MASC;N;SG _
un urzhiataer zo gantañ añ .	un urzhiataer bezañ gant indirect .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V ADP 3;ACC;MASC;PRO;SG _
komzet e vez bemdez gant miliadoù ha miliadoù a dud ha gwelet e vez e pep lec’h e kembre .	komz e bezañ bemdez gant miliad ha miliad a den ha gwelout e bezañ e pep lec’h e kembre .	PST;V;V.PTCP PART 3;FIN;HAB;PRS;SG;V ADV ADP MASC;N;PL CONJ MASC;N;PL ADP MASC;N;PL CONJ PST;V;V.PTCP PART 3;FIN;HAB;PRS;SG;V ADP DET;SG MASC;N;SG ADP PROPN;SG _
ul levr zo ganin _ .	un levr bezañ gant indirect .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V ADP 1;ACC;PRO;SG _
hi zo pempvet .	prpers bezañ pempvet .	3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _
en em c'houlenn a ran hag-eñ e teuy pe ne zeuy ket .	en em goulenn a ober hag-eñ e dont pe ne dont ket .	_ PART;REFL 3;FIN;IND;PRS;SG;V PART 1;FIN;IND;PRS;SG;V PRO PART 3;FIN;FUT;IND;SG;V CONJ ADV;NEG 3;FIN;FUT;IND;SG;V ADV _
bremañ eo bravoc'h .	bremañ bezañ brav .	ADV 3;FIN;IND;PRS;SG;V ADJ;CMPR _
abaoe an dispac'h gall ez eo deuet war-wel ur sell nevez evit renkañ ar strolladoù politikel hag an dud hervez al liv politikel warno no .	abaoe an dispac’h gall e bezañ dont war-wel un sell nevez evit renkañ an strollad politikel ha an den hervez an liv politikel war indirect .	ADP DET MASC;N;SG ADJ PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DET MASC;N;SG ADJ ADP NFIN;V DET MASC;N;PL ADJ CONJ DET MASC;N;PL ADP DET MASC;N;SG ADJ ADP 3;ACC;PL;PRO _
tennit dousik - kenañ war an neudenn evit lakaat donder .	tennañ dousik - kenañ war an neudenn evit lakaat donder .	2;PL;V ADV _ ADV ADP DET FEM;N;SG ADP NFIN;V MASC;N;SG _
unan eus ho kontoù pe meur a gont a gas ar c'hemennadoù nevez d ar restr roadennoù -mañ .	unan eus ho kont pe meur a kont a kas an kemennad nevez da an restr roadenn mañ .	NUM;SG ADP DET FEM;N;PL CONJ _ DET;PL FEM;N;SG PART 3;FIN;IND;PRS;SG;V DET MASC;N;PL ADJ ADP DET FEM;N;SG FEM;N;PL ADV _
betek an hent e tiskenn ar vugale .	betek an hent e diskenn an bugel .	ADP DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V DET MASC;N;PL _
pegoulz e teuio da gêr ?	pegoulz e dont da kêr ?	ADV PART 3;FIN;FUT;IND;SG;V ADP FEM;N;SG _
bet emeus plijadur gant ar plac'h .	kaout kaout plijadur gant an plac’h .	PST;V;V.PTCP 1;FIN;IND;PRS;SG;V FEM;N;SG ADP DET FEM;N;SG _
ret eo deomp _ dont .	ret bezañ da indirect dont .	ADJ 3;FIN;IND;PRS;SG;V ADP 1;ACC;PL;PRO NFIN;V _
ar vugale a zo kreñv .	an bugel a bezañ kreñv .	DET MASC;N;PL PART 3;FIN;IND;PRS;SG;V ADJ _
start a-walc'h eo buhez an dud er r gêriadenn -se .	start a-walc’h bezañ buhez an den e an kêriadenn se .	ADJ ADV 3;FIN;IND;PRS;SG;V FEM;N;SG DET MASC;N;PL ADP DET FEM;N;SG ADV _
me a zo bet o kanañ .	prpers a bezañ bezañ o kanañ .	1;NOM;PRO;SG PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PART NFIN;V _
ur sizhunvezh c'hoazh ...	un sizhunvezh c’hoazh ...	DET FEM;N;SG ADV _
int a zeuy pa roy mammig dezho _ arc'hant .	prpers a dont pa reiñ mammig da indirect arc’hant .	3;NOM;PL;PRO PART 3;FIN;FUT;IND;SG;V CONJ 3;FIN;FUT;IND;SG;V FEM;N;SG ADP 3;ACC;PL;PRO MASC;N;SG _
petra ' roi din _ , plac'h yaouank , me ' yelo d he zapañ ?	petra a reiñ da indirect , plac’h yaouank , prpers a mont da direct zapañ ?	PRO PART 2;FIN;FUT;IND;SG;V ADP 1;ACC;PRO;SG _ FEM;N;SG ADJ _ 1;NOM;PRO;SG PART 3;FIN;FUT;IND;SG;V ADP 3;ACC;FEM;PRO;SG NFIN;V _
evit pennadurezhioù frañs libr eo ret adsevel ar porzh a-raok pep tra .	evit pennadurezh frañs libr bezañ ret adsevel an porzh a-raok pep tra .	ADP FEM;N;PL PROPN;SG ADJ 3;FIN;IND;PRS;SG;V ADJ NFIN;V DET MASC;N;SG ADP DET;SG MASC;N;SG _
e miz gouhere 2013 e vo o kanañ en erer kozh , e karaez .	e miz gouhere 2013 e bezañ o kanañ e erer kozh , e karaez .	ADP _ MASC;N NUM;PL PART 3;FIN;FUT;IND;SG;V PART NFIN;V ADP MASC;N;SG ADJ _ ADP PROPN;SG _
ostel an arc’hant roazhon a oa an hini kentañ eus frañs .	ostel an arc’hant roazhon a bezañ an hini kentañ eus frañs .	MASC;N;SG DET MASC;N;SG PROPN;SG PART 3;FIN;IND;PST;SG;V DET PRO;SG ADJ ADP PROPN;SG _
me a zo bet roet ul levr din _ gant yannig .	prpers a bezañ bezañ reiñ un levr da indirect gant yannig .	1;NOM;PRO;SG PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP DET MASC;N;SG ADP 1;ACC;PRO;SG ADP MASC;PROPN;SG _
n' endeus ket kollet yann al levr .	ne kaout ket koll yann an levr .	ADV;NEG 3;FIN;IND;MASC;PRS;SG;V ADV PST;V;V.PTCP MASC;PROPN;SG DET MASC;N;SG _
labourat a raen gant ma mamm er r parkeier .	labourat a ober gant ma mamm e an park .	NFIN;V PART 1;FIN;IND;PST;SG;V ADP DET FEM;N;SG ADP DET MASC;N;PL _
setu an nor .	setu an dor .	ADV DET FEM;N;SG _
amañ e kavo -hi ur wetur .	amañ e kavout prpers un gwetur .	ADV PART 3;FIN;FUT;IND;SG;V 3;FEM;NOM;PRO;SG DET FEM;N;SG _
hopet pasianted !	kaout pasianted !	2;PL;V FEM;N;SG _
brasaet e voe ar c'hastell hag adsavet e voe moger-dro kêr a-raok he astenn .	brasaat e bezañ an kastell ha adsevel e bezañ moger-tro kêr a-raok he astenn .	PST;V;V.PTCP PART 3;FIN;PST;SG;V DET MASC;N;SG CONJ PST;V;V.PTCP PART 3;FIN;PST;SG;V FEM;N;SG FEM;N;SG ADP DET;PSS MASC;N;SG _
galvet e oa kement den a oa war dro .	gelver e bezañ kement den a bezañ war tro .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V DET;SG MASC;N;SG PART 3;FIN;IND;PST;SG;V ADP FEM;N;SG _
hervez burev etrebroadel al labour , 40% eus an dud gopret er r bed a zo merc'hed .	hervez burev etrebroadel an labour , 40 eus an den gopret e an bed a bezañ merc’h .	ADP MASC;N;SG ADJ DET MASC;N;SG _ NUM;PL ADP DET _ MASC;N;PL ADP DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V FEM;N;PL _
e miz gwengolo 1919 odoa kroget ar c’hevredadoù tiez an degemer da aozañ “ rannvroioù touristel ” diwar ur patrom un tamm disheñvel .	e miz gwengolo 1919 kaout krogiñ an kevredad ti an degemer da aozañ “ rannvro touristel ” diwar un patrom un tamm disheñvel .	ADP _ MASC;N NUM;PL 3;FIN;IND;PL;PST;V PST;V;V.PTCP DET MASC;N;PL MASC;N;PL DET MASC;N;SG ADP NFIN;V _ FEM;N;PL ADJ _ ADP DET MASC;N;SG DET MASC;N;SG ADJ _
o gwelout a ran bremañ .	direct gwelout a ober bremañ .	3;ACC;PL;PRO NFIN;V PART 1;FIN;IND;PRS;SG;V ADV _
kantikoù ha sonennoù a vo kanet er r bloaz -mañ , enozouez _ kantikoù gouestlet d ar werc'hez ha da santez anna .	kantik ha sonenn a bezañ kanañ e an bloaz mañ , e-touez indirect kantik gouestlañ da an gwerc’hez ha da sant anna .	MASC;N;PL CONJ FEM;N;PL PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP DET MASC;N;SG ADV _ ADP 3;ACC;PL;PRO MASC;N;PL PST;V;V.PTCP ADP DET FEM;N;SG CONJ ADP FEM;N;SG FEM;PROPN;SG _
aezamant 28° eo gwrezverk dour ar poull sport .	aezamant 28° bezañ gwrezverk dour an poull sport .	MASC;N;SG NUM;PL 3;FIN;IND;PRS;SG;V MASC;N;SG MASC;N;SG DET MASC;N;SG MASC;N;SG _
o ! pegen kaer ez out , ma bro !	o ! pegen kaer e bezañ , ma bro !	INTJ _ ADV ADJ PART 2;FIN;IND;PRS;SG;V _ DET FEM;N;SG _
a-hed e vuhez e vo yannig pesketaer .	a-hed e buhez e bezañ yannig pesketaer .	ADP DET;PSS FEM;N;SG PART 3;FIN;FUT;IND;SG;V MASC;PROPN;SG MASC;N;SG _
klikit war echuiñ evit krouiñ danevell an daolenn kroaziet dinamek .	klikañ war echuiñ evit krouiñ danevell an taolenn kroaziañ dinamek .	2;PL;V ADP NFIN;V ADP NFIN;V FEM;N;SG DET FEM;N;SG PST;V;V.PTCP ADJ _
ne'z ajen ket .	ne monet ket .	ADV;NEG 1;SG;V ADV _
rankout a ra an aozadurioù foran prientiñ ha kas da benn ur steuñv yezh .	rankout a ober an aozadur foran prientiñ ha kas da penn un steuñv yezh .	NFIN;V PART 3;FIN;IND;PRS;SG;V DET MASC;N;PL ADJ NFIN;V CONJ NFIN;V ADP MASC;N;SG DET MASC;N;SG ADJ _
warc'hoazh e kouskint .	warc’hoazh e kousket .	ADV PART 3;FIN;FUT;IND;PL;V _
embann a ra ivez levrioù ha pennadoù niverus .	embann a ober ivez levr ha pennad niverus .	NFIN;V PART 3;FIN;IND;PRS;SG;V ADV MASC;N;PL CONJ MASC;N;PL ADJ _
kevreañ ouzh ur servijer ldap evit klask ha gwiriañ ar chomlec'hioù postel ha titouroù all .	kevreañ ouzh un servijer ldap evit klask ha gwiriañ an chomlec’h postel ha titour all .	NFIN;V ADP DET MASC;N;SG MASC;N;SG ADP NFIN;V CONJ NFIN;V DET MASC;N;PL MASC;N;SG CONJ MASC;N;PL ADJ _
■ 60 tonennad produioù da naetaat marc'hadoù hag abadennoù .	■ 60 tonennad produ da naetaat marc’had ha abadenn .	_ NUM;PL FEM;N;SG MASC;N;PL ADP NFIN;V MASC;N;PL CONJ FEM;N;PL _
me a gane .	prpers a kanañ .	1;NOM;PRO;SG PART 3;FIN;IND;PST;SG;V _
miliadoù a dud yaouank ( 16 345 e 2015 ) a ya da skolioù seurt -se adal ar skol-vamm betek fin al lise .	miliad a den yaouank ( 16 345 e 2015 ) a mont da skol seurt se adal an skol-mamm betek fin an lise .	MASC;N;PL ADP MASC;N;PL ADJ _ NUM;PL ADP NUM;PL _ PART 3;FIN;IND;PRS;SG;V ADP FEM;N;PL MASC;N;SG ADV ADP DET FEM;N;SG ADP FEM;N;SG DET MASC;N;SG _
skipailh frañs , a veze sellet outañ _ evel ouzh unan kreñv , n' eo ket bet d al live gortozet .	skipailh frañs , a bezañ sellout ouzh indirect evel ouzh unan kreñv , ne bezañ ket bezañ da an live gortoz .	MASC;N;SG PROPN;SG _ PART 3;FIN;HAB;PST;SG;V PST;V;V.PTCP ADP 3;ACC;MASC;PRO;SG ADP ADP NUM;SG ADJ _ ADV;NEG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP DET MASC;N;SG PST;V;V.PTCP _
koulskoude ezeus bet tabut e-pad pell e breizh diwar-benn an doare-skrivañ ha dreist-holl enebiezh ouzh ar peurunvan .	koulskoude bezañ bezañ tabut e-pad pell e breizh diwar-benn an doare-skrivañ ha dreist-holl enebiezh ouzh an peurunvan .	ADV 3;FIN;IND;PRS;SG;V PST;V;V.PTCP MASC;N;SG ADP ADJ ADP PROPN;SG ADP DET MASC;N;SG CONJ ADV FEM;N;SG ADP DET MASC;N;SG _
tro-dro da vourk lanniliz e vez aozet tro broleon bewech .	tro-dro da bourk lanniliz e bezañ aozañ tro bro-leon bewech .	_ ADP MASC;N;SG PROPN;SG PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP FEM;N;SG PROPN;SG ADV _
ermaez eus an emsav e adkaver nebeut implij eus ar yezh vrezhon war an dachenn bolitikel .	er-maez eus an emsav e adkavout nebeut implij eus an yezh brezhon war an tachenn politikel .	ADV ADP DET MASC;N;SG PART FIN;IND;PRS;V ADV MASC;N;SG ADP DET FEM;N;SG ADJ ADP DET FEM;N;SG ADJ _
koll a reas an abatioù eus o galloud neuze .	koll a ober an abati eus o galloud neuze .	NFIN;V PART 3;FIN;PST;SG;V DET MASC;N;PL ADP DET MASC;N;SG ADV _
bet emeus tri lur diganti i .	kaout kaout tri lur digant indirect .	PST;V;V.PTCP 1;FIN;IND;PRS;SG;V MASC;NUM;PL MASC;N;SG ADP 3;ACC;FEM;PRO;SG _
an hini ma lennan e levr a zo aze .	an hini ma lenn e levr a bezañ aze .	DET PRO;SG CONJ 1;FIN;IND;PRS;SG;V DET;PSS MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADV _
da eil e c'helloc'h stabilaat an traoù da vat ha diskuizhañ un tamm .	da eil e gellout stabilaat an tra da vat ha diskuizhañ un tamm .	ADP NUM PART 2;FIN;FUT;IND;PL;V NFIN;V DET MASC;N;PL _ ADV CONJ NFIN;V DET MASC;N;SG _
e kêr e welas yannig anezho .	e kêr e gwelout yannig direct .	ADP FEM;N;SG PART 3;FIN;PST;SG;V MASC;PROPN;SG 3;ACC;PL;PRO _
savet eo .	sevel bezañ .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V _
perak en em walc'hez ?	perak en em gwalc’hañ ?	ADV _ PART;REFL 2;FIN;IND;PRS;SG;V _
dre veskañ ar meteier sokial ha diskouez heñvelderioù mab-den e sav ar film goulennoù dedennus-tre -tre .	dre meskañ an metoù sokial ha diskouez heñvelder mab-den e sevel an film goulenn dedennus tre .	ADP NFIN;V DET MASC;N;PL ADJ CONJ NFIN;V MASC;N;PL MASC;N;SG PART 3;FIN;IND;PRS;SG;V DET MASC;N;SG MASC;N;PL ADJ ADV _
al levr a lenner .	an levr a lenn .	DET MASC;N;SG PART FIN;IND;PRS;V _
deiziataer ar c'hevredigezhioù	deiziataer an kevredigezh	MASC;N;SG DET FEM;N;PL
met skrivañ eo e oberiantiz pennañ .	met skrivañ bezañ e oberiantiz pennañ .	CONJ NFIN;V 3;FIN;IND;PRS;SG;V DET;PSS MASC;N;SG ADJ _
ur milion a oa koustet dezho _ .	un milion a bezañ koustañ da indirect .	DET MASC;N;SG PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP 3;ACC;PL;PRO _
ho puhez karantez a vo disheñvel .	ho buhez karantez a bezañ disheñvel .	DET FEM;N;SG FEM;N;SG PART 3;FIN;FUT;IND;SG;V ADJ _
er _ skolioù -se e vez desket dre ar brezhoneg ( 4 087 skoliad da vare an distro-skol e 2015 ) .	e an skol se e bezañ deskiñ dre an brezhoneg ( 4 087 skoliad da mare an distro-skol e 2015 ) .	ADP DET FEM;N;PL ADV PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP ADP DET MASC;N;SG _ _ NUM;PL MASC;N;SG ADP MASC;N;SG DET MASC;N;SG ADP NUM;PL _ _
meskit an daou zoare toaz .	meskañ an daou doare toaz .	2;PL;V DET MASC;NUM;PL MASC;N;SG MASC;N;SG _
en ur girin , savit da erc'h ar 4 gwenn-vi .	e un kirin , sevel da erc’h an 4 gwenn-vi .	ADP DET FEM;N;SG _ 2;PL;V ADP MASC;N;SG DET NUM;PL MASC;N;SG _
ne oa bet skipailh breizhadezed ebet o vont ken uhel er r c'hampionad evit ar poent .	ne bezañ bezañ skipailh breizhad ebet o mont ken uhel e an kampionad evit an poent .	ADV;NEG 3;FIN;IND;PST;SG;V PST;V;V.PTCP MASC;N;SG FEM;N;PL ADV PART NFIN;V ADV ADJ ADP DET MASC;N;SG ADP DET MASC;N;SG _
gant ur c'hresk a 35 % eus ar veajourien dindan pemp bloaz , emañ breizh e penn rannvroioù frañs evit an ter .	gant un kresk a 35 % eus an beajour dindan pemp bloaz , bezañ breizh e penn rannvro frañs evit an ter .	ADP DET MASC;N;SG ADP _ NUM;PL ADP DET MASC;N;PL ADP NUM;PL MASC;N;SG _ 3;FIN;IND;PRS;SG;V PROPN;SG ADP MASC;N;SG FEM;N;PL PROPN;SG ADP DET MASC;N;SG _
ma fell deoc h kemer perzh en n erer yaouank e c'hellit lakaat hoc'h anv e-pad ur pennadig c'hoazh .	ma fellout da indirect kemer perzh e an arar yaouank e gellout lakaat ho anv e-pad un pennadig c’hoazh .	CONJ 3;FIN;IND;PRS;SG;V ADP 2;ACC;PL;PRO NFIN;V MASC;N;SG ADP DET MASC;N;PL ADJ PART 2;FIN;IND;PL;PRS;V NFIN;V DET MASC;N;SG ADP DET MASC;N;SG ADV _
evit an 23e gwech e vo aozet ar gouel -se e sant-brieg .	evit an 23e gwech e bezañ aozañ an gouel se e sant-brieg .	ADP DET NUM;SG FEM;N;SG PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP DET MASC;N;SG ADV ADP PROPN;SG _
warno _ e veze lakaet anv ar gwaz pe hini ar wreg .	war indirect e bezañ lakaat anv an gwaz pe hini an gwreg .	ADP 3;ACC;PL;PRO PART 3;FIN;HAB;PST;SG;V PST;V;V.PTCP MASC;N;SG DET MASC;N;SG CONJ PRO;SG DET FEM;N;SG _
fentus eo pa soñjer e c'hallfe bezañ degemeret e gwened er r mizioù a zeu ar ... paris sant - jermen marteze .	fentus bezañ pa soñjal e gallout bezañ degemer e gwened e an miz a dont an ... pariz sant - jermen marteze .	ADJ 3;FIN;IND;PRS;SG;V CONJ FIN;IND;PRS;V PART 3;COND;SG;V NFIN;V PST;V;V.PTCP ADP PROPN;SG ADP DET MASC;N;PL PART 3;FIN;IND;PRS;SG;V DET _ PROPN;SG MASC;N;SG _ PROPN;SG ADV _
koustañ a ra daou euro mui ar frejoù post .	koustañ a ober daou euro mui an frejoù post .	NFIN;V PART 3;FIN;IND;PRS;SG;V MASC;NUM;PL MASC;N;SG ADV DET MASC;N;PL MASC;N;SG _
muioc'h-mui e adkaver ivez ar yezh vrezhon e-liamm gant ar bed ekonomikel .	muioc’h-mui e adkavout ivez an yezh brezhon e-liamm gant an bed ekonomikel .	ADV PART FIN;IND;PRS;V ADV DET FEM;N;SG ADJ ADV ADP DET MASC;N;SG ADJ _
ma'z ouzhpenner ar familh hag ar vignoned , pedet ur wezh an amzer , e tizher e-tro 3 milion den .	ma ouzhpennañ an familh ha an mignon , pediñ un gwezh an amzer , e tizhout e-tro 3 milion den .	CONJ FIN;IND;PRS;V DET FEM;N;SG CONJ DET MASC;N;PL _ PST;V;V.PTCP DET FEM;N;SG DET FEM;N;SG _ PART FIN;IND;PRS;V ADP NUM;PL MASC;N;SG MASC;N;SG _
e gambrig-kousket e oa divi o naetaat gant evezh .	e kambrig-kousket e bezañ divi o naetaat gant evezh .	DET;PSS FEM;N;SG PART 3;FIN;IND;PST;SG;V MASC;PROPN;SG PART NFIN;V ADP MASC;N;SG _
mona a zebr he boued er r gegin .	mona a debriñ he boued e an kegin .	FEM;PROPN;SG PART 3;FIN;IND;PRS;SG;V DET;PSS MASC;N;SG ADP DET FEM;N;SG _
me ne brenin ket an dra -se .	prpers ne prenañ ket an tra se .	1;NOM;PRO;SG ADV;NEG 1;FIN;FUT;IND;SG;V ADV DET MASC;N;SG ADV _
kerzhout a rajen .	kerzhout a ober .	NFIN;V PART 1;SG;V _
gant ar ps hag an udb e oa bet embannet diazez ur politikerezh yezh gant pennaennoù resis zoken .	gant an ps ha an udb e bezañ bezañ embann diazez un politikerezh yezh gant pennaenn resis zoken .	ADP DET MASC;N;SG CONJ DET MASC;N;SG PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PST;V;V.PTCP MASC;N;SG DET MASC;N;SG FEM;N;SG ADP FEM;N;PL ADJ ADV _
ne c'haller ouzhpennañ implijer ebet d ar roll .	ne gallout ouzhpennañ implijer ebet da an roll .	ADV;NEG FIN;IND;PRS;V NFIN;V MASC;N;SG ADV ADP DET MASC;N;SG _
an dud -se ne lennont ket .	an den se ne lenn ket .	DET MASC;N;PL ADV ADV;NEG 3;FIN;IND;PL;PRS;V ADV _
koll a reas yann al levr .	koll a ober yann an levr .	NFIN;V PART 3;FIN;PST;SG;V MASC;PROPN;SG DET MASC;N;SG _
muioc'h-mui a dud a zebr boued bio .	muioc’h-mui a den a debriñ boued bio .	ADV ADP MASC;N;PL PART 3;FIN;IND;PRS;SG;V MASC;N;SG ADJ _
ur gevezadeg ziaes ha brudet eo an olimpiadennoù , met ouzhpenn an dra -se ez int .	un kevezadeg diaes ha brudet bezañ an olimpiadenn , met ouzhpenn an tra se e bezañ .	DET FEM;N;SG ADJ CONJ ADJ 3;FIN;IND;PRS;SG;V DET FEM;N;PL _ CONJ ADP DET MASC;N;SG ADV PART 3;FIN;IND;PL;PRS;V _
e 1994 e oa bet gouestlet un diskouezadeg adsell dezhañ _ gant mirdi montroulez .	e 1994 e bezañ bezañ gouestlañ un diskouezadeg adsell da indirect gant mirdi montroulez .	ADP NUM;PL PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PST;V;V.PTCP DET FEM;N;SG MASC;N;SG ADP 3;ACC;MASC;PRO;SG ADP MASC;N;SG PROPN;SG _
an ti a zo bihan .	an ti a bezañ bihan .	DET MASC;N;SG PART 3;FIN;IND;PRS;SG;V ADJ _
takad testenn	takad testenn	MASC;N;SG FEM;N;SG
piv eo an den -se ?	piv bezañ an den se ?	PRO 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADV _
an den a lavaras an dra -se a oa eno .	an den a lavarout an tra se a bezañ eno .	DET MASC;N;SG PART 3;FIN;PST;SG;V DET MASC;N;SG ADV PART 3;FIN;IND;PST;SG;V ADV _
e pariz ne gavo ho preudeur labour ebet .	e pariz ne kavout ho breur labour ebet .	ADP PROPN;SG ADV;NEG 3;FIN;FUT;IND;SG;V DET MASC;N;PL MASC;N;SG ADV _
lenn a ra lenaig al levr .	lenn a ober lenaig an levr .	NFIN;V PART 3;FIN;IND;PRS;SG;V FEM;PROPN;SG DET MASC;N;SG _
trizek sizhunvezh e oa padet kendivizoù ar prosez , etre c'hwevrer ha mezheven 2007 .	trizek sizhunvezh e bezañ padout kendiviz an prosez , etre c’hwevrer ha mezheven 2007 .	NUM;PL FEM;N;SG PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP MASC;N;PL DET MASC;N;SG _ ADP MASC;N CONJ MASC;N NUM;PL _
kinnig ar gêr pe ar vro	kinnig an kêr pe an bro	NFIN;V DET FEM;N;SG CONJ DET FEM;N;SG
krouet eo bet holl an deskadurezh laik e rannvro emren tibet goude an dispac'h .	krouiñ bezañ bezañ holl an deskadurezh laik e rannvro emren tibet goude an dispac’h .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET DET FEM;N;SG ADJ ADP FEM;N;SG ADJ PROPN;SG ADP DET MASC;N;SG _
tro broleon , savet e 1984 , a oa da gentañ ur redadeg mirc'hi - houarn evit an dud na oant ket a-vicher .	tro bro-leon , sevel e 1984 , a bezañ da kentañ un redadeg marc’h - houarn evit an den na bezañ ket a-vicher .	FEM;N;SG PROPN;SG _ PST;V;V.PTCP ADP NUM;PL _ PART 3;FIN;IND;PST;SG;V ADP ADJ DET FEM;N;SG MASC;N;PL _ MASC;N;SG ADP DET MASC;N;PL NEG;PART 3;FIN;IND;PL;PST;V ADV ADJ _
met gant an dispac’h greantel e voe desachet ur bern tud eus an diavaez da su kembre .	met gant an dispac’h greantel e bezañ desachañ un bern den eus an diavaez da su kembre .	CONJ ADP DET MASC;N;SG ADJ PART 3;FIN;PST;SG;V PST;V;V.PTCP DET MASC;N;SG MASC;N;PL ADP DET MASC;N;SG ADP MASC;N;SG PROPN;SG _
o naetaat e oa divi e gambrig-kousket gant evezh .	o naetaat e bezañ divi e kambrig-kousket gant evezh .	PART NFIN;V PART 3;FIN;IND;PST;SG;V MASC;PROPN;SG DET;PSS FEM;N;SG ADP MASC;N;SG _
n' eo ket diorroet brav an armerzh .	ne bezañ ket diorren brav an armerzh .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADJ DET MASC;N;SG _
stad ar c’hinnig kentelioùnoz	stad an kinnig kentel-noz	FEM;N;SG DET MASC;N;SG FEM;N;PL
e gresianeg a-vremañ e vez skrivet μπ evit ober diouzh ar son .	e gresianeg a-vremañ e bezañ skrivañ μπ evit ober diouzh an son .	ADP MASC;N;SG ADV PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP _ ADP NFIN;V ADP DET MASC;N;SG _
met 60% eus an dud a c'hounez nebeutoc'h eget 1 $ bemdez a zo merc'hed .	met 60 eus an den a gounit nebeutoc’h eget 1 $ bemdez a bezañ merc’h .	CONJ NUM;PL ADP DET MASC;N;PL PART 3;FIN;IND;PRS;SG;V _ ADP NUM;SG _ ADV PART 3;FIN;IND;PRS;SG;V FEM;N;PL _
kement-se a zegasas un diskar en n dregantad a gembraegerien er r rannvroioù -se , dre ma oa kresket ar boblañs eno en un taol .	kement-se a degas un diskar e an dregantad a kembraeger e an rannvro se , dre ma bezañ kreskiñ an poblañs eno e un taol .	PRO;SG PART 3;FIN;PST;SG;V DET MASC;N;SG ADP DET MASC;N;SG ADP MASC;N;PL ADP DET FEM;N;PL ADV _ _ CONJ 3;FIN;IND;PST;SG;V PST;V;V.PTCP DET FEM;N;SG ADV ADP DET MASC;N;SG _
ne gavo ket ho preudeur a labour e pariz .	ne kavout ket ho breur a labour e pariz .	ADV;NEG 3;FIN;FUT;IND;SG;V ADV DET MASC;N;PL ADP MASC;N;SG ADP PROPN;SG _
war ar memes tro eo aloubet reter an enezenn gant pobloù german , an angled hag ar saozon peurgetket , a argas ar vrezhoned trema ar c'hornôg .	war an memes tro bezañ aloubiñ reter an enezenn gant pobl german , an angl ha an saoz peurgetket , a argas an brezhon trema an kornôg .	ADP DET ADJ FEM;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP MASC;N;SG DET FEM;N;SG ADP FEM;N;PL ADJ _ DET MASC;N;PL CONJ DET MASC;N;PL ADV _ PART 3;FIN;IND;PRS;SG;V DET MASC;N;PL ADP DET MASC;N;SG _
e gwirionez e vez implijet ar skeul -se gant ur bern muzikoù er r bed .	e gwirionez e bezañ implijout an skeul se gant un bern muzik e an bed .	ADP FEM;N;SG PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP DET FEM;N;SG ADV ADP DET MASC;N;SG MASC;N;PL ADP DET MASC;N;SG _
ur film a roio levenez d an holl en desped da bep tra .	un film a reiñ levenez da an holl en desped da bep tra .	DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V FEM;N;SG ADP DET PL;PRO _ _ ADP DET;SG MASC;N;SG _
