това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
предлаганите мерки за ускоряване на приватизацията ще могат да бъдат прилагани без промени в нормативната база и изискват единствено координираните усилия на агенцията за приватизация , агенцията за чуждестранни инвестиции , центъра за масова приватизация и отрасловите министерства .	предлагам мярка за ускоряване на приватизация ще мога да бъда прилагам без промяна в нормативен база и изисквам единствено координирам усилие на агенция за приватизация , агенция за чуждестранен инвестиция , център за масов приватизация и отраслов министерство .	ADJ;DEF;IPFV;PASS;PL;V.PTCP FEM;INDF;N;PL ADP INDF;N;NEUT;SG ADP DEF;FEM;N;SG V 3;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACT;FIN;IND;PFV;PL;PRS;V INDF;IPFV;PASS;PL;V;V.PTCP ADP FEM;INDF;N;PL ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V ADV ADJ;DEF;PASS;PFV;PL;V.PTCP INDF;N;NEUT;PL ADP DEF;FEM;N;SG ADP FEM;INDF;N;SG _ DEF;FEM;N;SG ADP ADJ;INDF;PL FEM;INDF;N;PL _ DEF;MASC;N;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG CONJ ADJ;DEF;PL INDF;N;NEUT;PL _
върна ли книгата на петър ?	върна-(се) ли книга на петър ?	2;ACT;FIN;IND;PFV;PST;SG;V PART DEF;FEM;N;SG ADP INDF;MASC;PROPN;SG _
ще говоря , който и да сте вие .	ще говоря , който и да съм аз .	V 1;ACT;FIN;IND;IPFV;PRS;SG;V _ MASC;NOM;PRO;SG CONJ V 2;ACT;FIN;IND;IPFV;PL;PRS;V 2;NOM;PRO;SG _
лили иванова подгря фенките на кларк	лили иванова подгрея фенка на кларк	FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V DEF;FEM;N;PL ADP INDF;MASC;PROPN;SG
лизаразу бе охраняван от полиция , след като сепаратисти от баската терористична организация ета го притискаха да им даде пари със заплашително писмо преди две седмици .	лизаразу съм охранявам от полиция , след като сепаратист от баски терористичен организация ета аз притискам-(се) да аз дам-(се) пара със заплашителен писмо преди два седмица .	INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PST;SG;V INDF;IPFV;MASC;PASS;SG;V;V.PTCP ADP FEM;INDF;N;SG _ ADP ADP INDF;MASC;N;PL ADP ADJ;DEF;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG FEM;INDF;PROPN;SG 3;ACC;MASC;PRO;SG 3;ACT;FIN;IND;IPFV;PL;V V 3;DAT;PL;PRO 3;ACT;FIN;IND;PFV;PRS;SG;V FEM;INDF;N;PL ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP FEM;INDF;NUM;PL FEM;INDF;N;PL _
на другия ден стоят в кръчмата махмурлии селяни и си приказват .	на друг ден стоя в кръчма махмурлия селянин и се приказвам .	ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;FEM;N;SG INDF;MASC;N;PL INDF;MASC;N;PL CONJ DAT;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V _
определи къде ти е най-удобно да учиш .	определя къде аз съм удобно да уча-(се) .	2;FIN;IMP;PFV;SG;V ADV 2;DAT;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV;RL V 2;ACT;FIN;IND;IPFV;PRS;SG;V _
вашата военна академия работи по всички стандарти .	ваш военен академия работя по всеки стандарт .	2;DEF;DET;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP DET;NOM;PL INDF;MASC;N;PL _
- обвинихте шефовете и играчите на " ловеч " в уреждане на мача в събота .	- обвиня шеф и играч на " ловеч " в уреждане на мач в събота .	_ 2;ACT;FIN;IND;PFV;PL;PST;V DEF;MASC;N;PL CONJ DEF;MASC;N;PL ADP _ INDF;MASC;PROPN;SG _ ADP INDF;N;NEUT;SG ADP DEF;MASC;N;SG ADP FEM;INDF;N;SG _
малките патрони развиват по-голяма скорост и причиняват по-тежки рани .	малък патрон развивам-(се) голям скорост и причинявам тежък рана .	ADJ;DEF;PL INDF;MASC;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;CMPR;FEM;INDF;SG FEM;INDF;N;SG CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;CMPR;INDF;PL FEM;INDF;N;PL _
време ни е да тръгваме .	време аз съм да тръгвам-(си) .	INDF;N;NEUT;SG 1;DAT;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V V 1;ACT;FIN;IND;IPFV;PL;PRS;V _
после показва покани за изложби на художници .	после показвам-(се) покана за изложба на художник .	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;PL ADP FEM;INDF;N;PL ADP INDF;MASC;N;PL _
има кой да ми каже .	имам кой да аз кажа .	3;ACT;FIN;IND;IPFV;PRS;SG;V MASC;NOM;PRO;SG V 1;DAT;PRO;SG 3;ACT;FIN;IND;PFV;PRS;SG;V _
две години чука камъни , дълбае букви и релефи на варненските гробища , преди да го приемат в художествената академия в класа на проф. димитър бойков .	два година чукам-(се) камък , дълбая буква и релеф на варненски гробище , преди да аз приема в художествен академия в клас на проф. димитър бойков .	FEM;INDF;NUM;PL FEM;INDF;N;PL 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;PL _ 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;PL CONJ INDF;MASC;N;PL ADP ADJ;DEF;PL INDF;N;NEUT;PL _ ADP V 3;ACC;MASC;PRO;SG 3;ACT;FIN;IND;PFV;PL;PRS;V ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP DEF;MASC;N;SG ADP INDF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
- оттегляте ли се от " берое " ?	- оттеглям-(се) ли се от " берое " ?	_ 2;ACT;FIN;IND;IPFV;PL;PRS;V PART ACC;PRO;REFL ADP _ INDF;NEUT;PROPN;SG _ _
пристанищата в дувър и фалмът бяха затворени .	пристанище в дувър и фалмът съм затворя-(се) .	DEF;N;NEUT;PL ADP INDF;MASC;PROPN;SG CONJ INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PL;PST;V INDF;PASS;PFV;PL;V;V.PTCP _
- за съжаление в областта на сигурността никога няма прости отговори .	- за съжаление в област на сигурност никога нямам прост отговор .	_ ADP INDF;N;NEUT;SG ADP DEF;FEM;N;SG ADP DEF;FEM;N;SG ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;PL INDF;MASC;N;PL _
проблемът се задълбочава , защото в края на ноември повечето общини не бяха получили почти никакви пари за отопление и на много места училищата съкратиха часовете до 35 минути .	проблем се задълбочавам-(се) , защото в край на ноември повече община не съм получа почти никакъв пара за отопление и на много място училище съкратя час до 35 минута .	DEF;MASC;N;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V _ ADV ADP DEF;MASC;N;SG ADP INDF;MASC;N;SG ADV;DEF;PL FEM;INDF;N;PL NEG;PART 3;ACT;FIN;IND;IPFV;PL;PST;V ACT;INDF;PFV;PL;PST;V;V.PTCP ADV DET;PL FEM;INDF;N;PL ADP INDF;N;NEUT;SG CONJ ADP ADV;INDF;PL INDF;N;NEUT;PL DEF;N;NEUT;PL 3;ACT;FIN;IND;PFV;PL;PST;V DEF;MASC;N;PL ADP INDF;NUM;PL FEM;INDF;N;PL _
400 деца бяха евакуирани заради пожар в кърджалийско училище в сряда следобед , съобщи мвр .	четиристотин дете съм евакуирам заради пожар в кърджалийски училище в сряда следобед , съобщя мвр .	INDF;NUM;PL INDF;N;NEUT;PL 3;ACT;FIN;IND;IPFV;PL;PST;V INDF;PASS;PFV;PL;V;V.PTCP ADP INDF;MASC;N;SG ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP FEM;INDF;N;SG ADV _ 3;ACT;FIN;IND;PFV;PST;SG;V DEF;NEUT;PROPN;SG _
откъде идва сега най-голямата опасност за българия ?	къде идвам сега голям опасност за българия ?	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADJ;DEF;FEM;RL;SG FEM;INDF;N;SG ADP FEM;INDF;PROPN;SG _
явно трупата на благоевградския театър с удоволствие лансира съседски таланти .	явно трупа на благоевградски театър с удоволствие лансирам съседски талант .	ADV DEF;FEM;N;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;PL INDF;MASC;N;PL _
икономика	икономика	FEM;INDF;N;SG
, пише консуело .	, пиша консуело .	_ 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;PROPN;SG _
когато се върнах при близките си , ми трябваше само една чаша ракия , за да падна в леглото и да заспя .	когато се върна-(се) при близък свой , аз трябвам само един чаша ракия , за да падна-(се) в легло и да заспя .	ADV ACC;PRO;REFL 1;ACT;FIN;IND;PFV;PST;SG;V ADP ADJ;DEF;PL NOM;PRO;REFL _ 1;DAT;PRO;SG 3;ACT;FIN;IND;IPFV;SG;V ADV FEM;INDF;NUM;SG FEM;INDF;N;SG FEM;INDF;N;SG _ ADP V 1;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;N;NEUT;SG CONJ V 1;ACT;FIN;IND;PFV;PRS;SG;V _
едва ли !	едва ли !	ADV PART _
налогът се плаща в данъчната служба , с пощенски запис или чрез банков превод по сметката на съответното данъчно подразделение .	налог се плащам в данъчен служба , с пощенски запис или чрез банков превод по сметка на съответен данъчен подразделение .	DEF;MASC;N;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _ ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG CONJ ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP DEF;FEM;N;SG ADP ADJ;DEF;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
в края на февруари 1997 г. вучев уволни шефа й никола пукалски , като се позова на ревизионен акт за 97 млн. лв. злоупотреби .	в край на февруари 1997 година вучев уволня-(се) шеф неин никола пукалски , като се позова-(се) на ревизионен акт за 97 милион лев злоупотреба .	ADP DEF;MASC;N;SG ADP INDF;MASC;N;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG 3;PRO INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ CONJ ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP INDF;NUM;PL MASC;N MASC;N FEM;INDF;N;PL _
той търсеше очилата си да види надписа .	аз търся очила свой да видя-(се) надпис .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;SG;V DEF;N NOM;PRO;REFL V 3;ACT;FIN;IND;PFV;PRS;SG;V DEF;MASC;N;SG _
той предполага сила да видиш истината и смелост да я кажеш .	аз предполагам сила да видя-(се) истина и смелост да аз кажа .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG V 2;ACT;FIN;IND;PFV;PRS;SG;V DEF;FEM;N;SG CONJ FEM;INDF;N;SG V 3;ACC;FEM;PRO;SG 2;ACT;FIN;IND;PFV;PRS;SG;V _
аморузо и панкаро ( автогол ) се разписаха за гостите , михайлович намали от дузпа в края , а вратарят на " лацио " перуци получи червен картон преди паузата .	аморузо и панкаро ( автогол ) се разпиша-(се) за гост , михайлович намаля от дузпа в край , а вратар на " лацио " перуци получа червен картон преди пауза .	INDF;MASC;PROPN;SG CONJ INDF;MASC;PROPN;SG _ INDF;MASC;N;SG _ ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PL;PST;V ADP DEF;MASC;N;PL _ INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADP FEM;INDF;N;SG ADP DEF;MASC;N;SG _ CONJ DEF;MASC;N;SG ADP _ INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP DEF;FEM;N;SG _
според статистиците 2000 г. е била с най-висок ръст на безработица за всички години .	според статистик 2000 година съм съм с висок ръст на безработица за всеки година .	ADP DEF;MASC;N;PL ADJ;FEM;INDF;SG FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;FEM;IND;INDF;IPFV;SG;V;V.PTCP ADP ADJ;INDF;MASC;RL;SG INDF;MASC;N;SG ADP FEM;INDF;N;SG ADP DET;NOM;PL FEM;INDF;N;PL _
джипът " теракрос " има стъклен покрив със свалящи се панели и седалки , които се въртят около оста си , така че вътре в колата да може да се оформи и каре за карти .	джип " теракрос " имам стъклен покрив със свалям се панел и седалка , който се въртя-(се) около ос свой , така че вътре в кола да може да се оформя-(се) и каре за карта .	DEF;MASC;N;SG _ INDF;MASC;PROPN;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP ACT;ADJ;INDF;IPFV;PL;PRS;V.PTCP ACC;PRO;REFL INDF;MASC;N;PL CONJ FEM;INDF;N;PL _ NOM;PL;PRO ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;FEM;N;SG NOM;PRO;REFL _ ADV CONJ ADV ADP DEF;FEM;N;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V CONJ INDF;N;NEUT;SG ADP FEM;INDF;N;PL _
целта била да се убеждават евроекспертите .	цел съм да се убеждавам-(се) евроексперт .	DEF;FEM;N;SG ACT;FEM;IND;INDF;IPFV;SG;V;V.PTCP V ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;MASC;N;PL _
щях аз да му кажа .	ща аз да аз кажа .	1;ACT;FIN;IND;IPFV;SG;V 1;NOM;PRO;SG V 3;DAT;MASC;PRO;SG 1;ACT;FIN;IND;PFV;PRS;SG;V _
добре е , че научих за тази идея .	добре съм , че науча-(се) за този идея .	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ 1;ACT;FIN;IND;PFV;PST;SG;V ADP DET;FEM;NOM;SG FEM;INDF;N;SG _
култура	култура	FEM;INDF;N;SG
повече от 15 минути трябваха на кларк да се придвижи по коридора на втория етаж до студио 4 .	повече от 15 минута трябвам на кларк да се придвижа-(се) по коридор на втори етаж до студио четири .	ADV;INDF;PL ADP INDF;NUM;PL FEM;INDF;N;PL 3;ACT;FIN;IND;IPFV;PL;V ADP INDF;MASC;PROPN;SG V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;MASC;N;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP INDF;N;NEUT;SG INDF;NUM;PL _
действията им са в знак на протест срещу бруталното поведение на над 200 войници от кейфор , които вчера към 4 часа сутринта предприеха акция за търсене на оръжие в населената със сърби част на града .	действие техен съм в знак на протест срещу брутален поведение на над двеста войник от кейфор , който вчера към четири час сутрин предприема акция за търсене на оръжие в населя със сърбин част на град .	DEF;N;NEUT;PL 3;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP INDF;MASC;N;SG ADP INDF;MASC;N;SG ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADP ADP INDF;NUM;PL INDF;MASC;N;PL ADP FEM;INDF;PL;PROPN _ NOM;PL;PRO ADV ADP INDF;NUM;PL MASC;N DEF;FEM;N;SG 3;ACT;FIN;IND;PFV;PL;PST;V FEM;INDF;N;SG ADP INDF;N;NEUT;SG ADP INDF;N;NEUT;SG ADP ADJ;DEF;FEM;PASS;PFV;SG;V.PTCP ADP INDF;MASC;N;PL FEM;INDF;N;SG ADP DEF;MASC;N;SG _
, се провиква добрият войник швейк .	, се провиквам-се добър войник швейк .	_ ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;DEF;MASC;SG INDF;MASC;N;SG INDF;MASC;PROPN;SG _
решението за създаване на регионален пазар за електричество беше прието миналата година на среща на енергийните министри на страните от региона в солун .	решение за създаване на регионален пазар за електричество съм приема мина-(се) година на среща на енергиен министър на страна от регион в солун .	DEF;N;NEUT;SG ADP INDF;N;NEUT;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PST;SG;V INDF;NEUT;PASS;PFV;SG;V;V.PTCP ACT;ADJ;DEF;FEM;PFV;PST;SG;V.PTCP FEM;INDF;N;SG ADP FEM;INDF;N;SG ADP ADJ;DEF;PL INDF;MASC;N;PL ADP DEF;FEM;N;PL ADP DEF;MASC;N;SG ADP INDF;MASC;PROPN;SG _
сега да му мисли министър-председателят	сега да му мисля министър-председател	ADV V PART 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG
общият баланс обаче ни позволява да поддържаме тези цени в българия .	общ баланс обаче аз позволявам-(си) да поддържам този цена в българия .	ADJ;DEF;MASC;SG INDF;MASC;N;SG ADV 1;DAT;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V V 1;ACT;FIN;IND;IPFV;PL;PRS;V DET;PL FEM;INDF;N;PL ADP FEM;INDF;PROPN;SG _
нека да не елементаризираме толкова българския политически процес .	нека да не елементаризирам толкова български политически процес .	PART V NEG;PART 1;ACT;FIN;IND;IPFV;PL;PRS;V ADV ADJ;DEF;MASC;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG _
само тези две страни , и то само в даденото предприятие могат да договарят заплащането на труда .	само този два страна , и то само в дам-(се) предприятие мога да договарям-(се) заплащане на труд .	ADV DET;PL FEM;INDF;NUM;PL FEM;INDF;N;PL _ CONJ PART ADV ADP ADJ;DEF;NEUT;PASS;PFV;SG;V.PTCP INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;N;NEUT;SG ADP DEF;MASC;N;SG _
имало е промяна в разписанието и на други полети .	има съм промяна в разписание и на друг полет .	ACT;INDF;IPFV;NEUT;SG;V;V.PTCP 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;N;SG ADP DEF;N;NEUT;SG CONJ ADP ADJ;INDF;PL INDF;MASC;N;PL _
дощя му се под покрив да живее .	доще-ми-се аз се под покрив да живея .	3;ACT;FIN;IND;PFV;PST;SG;V 3;DAT;MASC;PRO;SG ACC;PRO;REFL ADP INDF;MASC;N;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V _
от 10 г. само несъгласието на патриарх максим спъваше визитата на светия отец в българия .	от 10 година само несъгласие на патриарх максим спъвам-(се) визита на свет отец в българия .	ADP INDF;NUM;PL FEM;INDF;N;PL ADV DEF;N;NEUT;SG ADP INDF;MASC;N;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;SG;V DEF;FEM;N;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP FEM;INDF;PROPN;SG _
шефовете на бдж заплашили да уволнят дисциплинарно служителите , които стачкуват .	шеф на бдж заплаша да уволня-(се) дисциплинарно служител , който стачкувам .	DEF;MASC;N;PL ADP FEM;INDF;PL;PROPN ACT;INDF;PFV;PL;PST;V;V.PTCP V 3;ACT;FIN;IND;PFV;PL;PRS;V ADV DEF;MASC;N;PL _ NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V _
дали не звуча като безпомощна гимназиална глупачка ?	дали не звуча като безпомощен гимназиален глупачка ?	PART NEG;PART 1;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;FEM;INDF;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _
когато се разрази скандалът около надутите компенсаторни записи , областният управител казал пред медии , че експертът е полуидиот .	когато се разразя-се скандал около надуя-(се) компенсаторен запис , областен управител кажа пред медия , че експерт съм полуидиот .	ADV ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PASS;PFV;PL;V.PTCP ADJ;INDF;PL INDF;MASC;N;PL _ ADJ;DEF;MASC;SG INDF;MASC;N;SG ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP ADP FEM;INDF;N;PL _ CONJ DEF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG _
негово право е да обжалва освобождаването си в срок от 6 месеца , коментира кметът на район " панчарево " николай иванов .	мой право съм да обжалвам освобождаване свой в срок от шест месец , коментирам кмет на район " панчарево " николай иванов .	3;DET;INDF;NEUT;SG INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;N;NEUT;SG NOM;PRO;REFL ADP INDF;MASC;N;SG ADP INDF;NUM;PL MASC;N _ 3;ACT;FIN;IND;IPFV;PST;SG;V DEF;MASC;N;SG ADP INDF;MASC;N;SG _ INDF;NEUT;PROPN;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
че тя ще дойде тук , е радостно .	че аз ще дойда там , съм радостно .	CONJ 3;FEM;NOM;PRO;SG V 3;ACT;FIN;IND;PFV;PRS;SG;V ADV _ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV _
с полет през цюрих вчера пристигнаха американците маршал феруедър и джони уилямс , които ще бъдат на проби в баскетшампиона " левски " .	с полет през цюрих вчера пристигна американец маршал феруедър и джони уилямс , който ще бъда на проба в баскетшампион " левски " .	ADP INDF;MASC;N;SG ADP INDF;MASC;PROPN;SG ADV 3;ACT;FIN;IND;PFV;PL;PST;V DEF;MASC;N;PL INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG CONJ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ NOM;PL;PRO V 3;ACT;FIN;IND;PFV;PL;PRS;V ADP FEM;INDF;N;PL ADP DEF;MASC;N;SG _ INDF;MASC;PROPN;SG _ _
режисьор на спектакъла е иван урумов , който е поканил актьорите йорданка стефанова , иван радоев , димитър манчев , весела казакова , тодор близнаков , мимоза базова , вяра коларова , пламен сираков , георги кадурин , калин сърменов .	режисьор на спектакъл съм иван урумов , който съм поканя актьор йорданка стефанова , иван радоев , димитър манчев , весела казакова , тодор близнаков , мимоза базова , вяра коларова , пламен сираков , георги кадурин , калин сърменов .	INDF;MASC;N;SG ADP DEF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP DEF;MASC;N;PL FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
той подрежда предимствата , като се залага железен принцип .	аз подреждам-(се) предимство , като се залагам железен принцип .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;N;NEUT;PL _ CONJ ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;SG INDF;MASC;N;SG _
нещата могат много бързо да тръгнат в преговори , но трябва сръбските власти да подпишат споразумението .	някой мога много бързо да тръгна-(си) в преговори , но трябва сръбски власт да подпиша-(се) споразумение .	DEF;NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V ADV;INDF;PL ADV V 3;ACT;FIN;IND;PFV;PL;PRS;V ADP INDF;N _ CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;DEF;PL FEM;INDF;N;PL V 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;N;NEUT;SG _
- през тази седмица ще имаме заседание на управителния съвет и там ще изберем новия наставник .	- през този седмица ще имам заседание на управителен съвет и там ще избера нов наставник .	_ ADP DET;FEM;NOM;SG FEM;INDF;N;SG V 1;ACT;FIN;IND;IPFV;PL;PRS;V INDF;N;NEUT;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG CONJ ADV V 1;ACT;FIN;IND;PFV;PL;PRS;V ADJ;DEF;MASC;SG INDF;MASC;N;SG _
грубо казано , ако сега сме направили мимолетно , бързо и светкавично усилие като състезателите по вдигане на тежести , сега ни очаква дълго маратонско бягане , обясни премиерът .	грубо кажа , ако сега съм направя-(се) мимолетен , бърз и светкавичен усилие като състезател по вдигане на тежест , сега аз очаквам дълъг маратонски бягане , обясня-(се) премиер .	ADV ADJ;INDF;NEUT;PASS;PFV;SG;V.PTCP _ CONJ ADV 1;ACT;FIN;IND;IPFV;PL;PRS;V ACT;INDF;PFV;PL;PST;V;V.PTCP ADJ;INDF;NEUT;SG _ ADJ;INDF;NEUT;SG CONJ ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADP DEF;MASC;N;PL ADP INDF;N;NEUT;SG ADP FEM;INDF;N;PL _ ADV 1;ACC;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;SG _
военнослужещите на наборна военна служба , изпаднали в тежка материална нужда , могат да бъдат подпомагани с парични средства .	военнослужещ на наборен военен служба , изпадна в тежък материален нужда , мога да бъда подпомагам с паричен средство .	DEF;MASC;N;PL ADP ADJ;FEM;INDF;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _ ACT;ADJ;INDF;PFV;PL;PST;V.PTCP ADP ADJ;FEM;INDF;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _ 3;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACT;FIN;IND;PFV;PL;PRS;V INDF;IPFV;PASS;PL;V;V.PTCP ADP ADJ;INDF;PL INDF;N;NEUT;PL _
дългите и уместни въпроси на емил симон тук са съкратени , без да бъдат променени .	дълъг и уместен въпрос на емил симон там съм съкратя , без да бъда променя-(се) .	ADJ;DEF;PL CONJ ADJ;INDF;PL INDF;MASC;N;PL ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG ADV 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;PASS;PFV;PL;V;V.PTCP _ ADP V 3;ACT;FIN;IND;PFV;PL;PRS;V INDF;PASS;PFV;PL;V;V.PTCP _
